danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.667,Yung Yury,42Ztw2ZtZR3mtWjXpg0R5I,TABU.,0,0.702,0.219,135302,-8.49,0.169,148.978
0.55,Udo Lindenberg,7oQepKHmXDaPC3rgeLRvQu,Komet,7,0.5,0.285,167357,-5.779,0.045,115.016
0.841,Apache 207,0pC6XqDVKQC4czY2bgF7nj,Neunzig,5,0.818,0.00113,145607,-4.682,0.0465,129.002
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.801,reezy,1t3DUBo9FDyH8vROTU4fAi,EXPENSIVE SHIT,10,0.707,0.0415,179623,-6.298,0.415,150.006
0.62,Ikke Hüftgold,62NrIrsxxNXJVvtRivWYjM,Bumsbar,0,0.925,0.0322,150857,-3.15,0.0565,139.947
0.68,RAF Camora,2H4HtOA24KXUYiINpGZ1ju,ANNA,5,0.692,0.0952,144200,-6.924,0.0471,89.967
0.618,RAF Camora,4taclmQm9wFcK4dKQjR5ny,All Night,9,0.84,0.0822,153675,-6.213,0.164,97.704
0.616,HoodBlaq,1ZKMMvWLhxXlk7VXqS7YRG,PASS AUF,3,0.646,0.158,205994,-5.349,0.0662,124.772
0.743,01099,5TYmnScjaRecWuBqEaA7S5,Anders,8,0.809,0.527,155021,-7.924,0.214,75.035
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002
0.637,Eminem,561jH07mF1jHuk7KlaeF0s,Mockingbird,0,0.678,0.209,250760,-3.798,0.266,84.039
0.701,Apache 207,3pyvUdSZvgrmZbXcEsL2bs,Breaking your heart,0,0.857,0.0337,170580,-4.667,0.0432,164.965
0.726,Bonez MC,4GUrzAwDBOyEMQTo42GGzf,Cinnamon Roll,8,0.671,0.27,167821,-5.994,0.0898,86.059
0.624,Nimo,2xve0qJZJkcJD4BlwXg1xs,Du,1,0.615,0.0567,174084,-7.407,0.231,142.469
