danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.68,RAF Camora,2H4HtOA24KXUYiINpGZ1ju,ANNA,5,0.692,0.0952,144200,-6.924,0.0471,89.967
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082
0.688,TEYA,3gUC7tGDPVLOq42vvTUVdI,Who the Hell Is Edgar?,11,0.644,0.0234,159418,-7.629,0.0596,145.926
0.55,Udo Lindenberg,7oQepKHmXDaPC3rgeLRvQu,Komet,7,0.5,0.285,167357,-5.779,0.045,115.016
0.667,Yung Yury,42Ztw2ZtZR3mtWjXpg0R5I,TABU.,0,0.702,0.219,135302,-8.49,0.169,148.978
0.563,Alessandra,14LdhxElpZS0rKVV4nxtdA,Queen of Kings,4,0.908,0.0696,147980,-4.25,0.0868,125.972
0.618,RAF Camora,4taclmQm9wFcK4dKQjR5ny,All Night,9,0.84,0.0822,153675,-6.213,0.164,97.704
0.726,Bonez MC,4GUrzAwDBOyEMQTo42GGzf,Cinnamon Roll,8,0.671,0.27,167821,-5.994,0.0898,86.059
0.637,Eminem,561jH07mF1jHuk7KlaeF0s,Mockingbird,0,0.678,0.209,250760,-3.798,0.266,84.039
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.801,reezy,1t3DUBo9FDyH8vROTU4fAi,EXPENSIVE SHIT,10,0.707,0.0415,179623,-6.298,0.415,150.006
0.616,HoodBlaq,1ZKMMvWLhxXlk7VXqS7YRG,PASS AUF,3,0.646,0.158,205994,-5.349,0.0662,124.772
0.561,David Guetta,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),7,0.965,0.00383,175238,-3.673,0.0343,128.04
0.442,Tom Odell,7jtQIBanIiJOMS6RyCx6jZ,Another Love,4,0.538,0.717,244360,-8.55,0.0451,122.758
0.841,Apache 207,0pC6XqDVKQC4czY2bgF7nj,Neunzig,5,0.818,0.00113,145607,-4.682,0.0465,129.002
0.743,01099,5TYmnScjaRecWuBqEaA7S5,Anders,8,0.809,0.527,155021,-7.924,0.214,75.035
0.825,Ricchi E Poveri,6OMjtuz1sYVsHpdeZPUR1n,Sarà perché ti amo,4,0.752,0.122,189800,-8.134,0.0373,120.19
0.797,Luciano,7sJNeWTXkZCEC7OnFMpGWL,Bamba (feat. Aitch & BIA),10,0.791,0.119,203560,-6.281,0.33,138.026
0.848,Bonez MC,6eeUDtR2OHjdDnAlFaO4cl,Babylon,7,0.706,0.0505,141431,-7.294,0.285,96.973
0.892,Nina Chuba,6LBmaJYwbLHfQwIreMCLlw,Wildberry Lillet,6,0.503,0.0642,132000,-7.086,0.178,139.928
0.624,Nimo,2xve0qJZJkcJD4BlwXg1xs,Du,1,0.615,0.0567,174084,-7.407,0.231,142.469
0.777,reezy,3plgMV8SGOfWFOALXY09vF,SHOOT,4,0.578,0.133,159836,-7.497,0.112,137.07
0.633,Macklemore,22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),2,0.927,0.0267,258432,-4.468,0.0839,146.097
0.602,David Guetta,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,7,0.91,0.00126,140018,-3.404,0.0308,127.944
0.819,RAF Camora,23SqoExnmW4BTJEYzMJze8,Blaues Licht,8,0.828,0.39,144264,-4.906,0.108,144.953
0.326,Teya Dora,2fF8V1O1i1Y8s06FmJHJlz,Džanum,6,0.232,0.876,174045,-10.566,0.0302,130.26
0.667,Miksu / Macloud,5qEGAHerczFt3HmL9lhh4j,Nachts wach (Lila Wolken Bootleg),10,0.849,0.165,158080,-4.4,0.124,155.002
0.563,AK AUSSERKONTROLLE,0mNWBN7udBbA3ZtkB80TPM,BLACKOUT,2,0.572,0.0651,165680,-6.132,0.423,88.743
0.705,Tiësto,3IhM5Mber8KA0NaRNpK2px,Lay Low,9,0.663,0.18,140160,-5.289,0.0367,124.988
0.52,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,As It Was,6,0.731,0.342,167303,-5.338,0.0557,173.93
0.62,Ikke Hüftgold,62NrIrsxxNXJVvtRivWYjM,Bumsbar,0,0.925,0.0322,150857,-3.15,0.0565,139.947
0.792,AYLIVA,7DyDjhZMEIK5Ied4juTCyc,Sie weiß (feat. Mero),9,0.679,0.517,151320,-5.516,0.041,119.932
0.607,MEDUZA,3rb0tMq42WfggucPm0HHkA,Bad Memories (feat. Elley Duhé & FAST BOY),5,0.767,0.118,148629,-6.069,0.0474,123.998
0.712,Sam Smith,0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),2,0.463,0.011,156943,-7.399,0.0797,131.199
0.697,OneRepublic,4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,0,0.802,0.0988,148120,-6.412,0.0456,139.951
0.804,Miksu / Macloud,7xaqxUl08zOg0YNUHokQpq,Sehnsucht,6,0.645,0.642,152827,-7.069,0.0773,142.09
0.681,Noa Kirel,6dUregFbvUNqHP5nphqesK,Unicorn,6,0.868,0.0216,170900,-5.499,0.095,130.126
0.793,Ed Sheeran,3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,11,0.52,0.246,194926,-7.457,0.0696,107.014
0.628,Amy Macdonald,2T3jgoAMbBXiMMD8pSc6QL,This Is The Life,1,0.882,0.259,184413,-5.024,0.0323,95.083
0.766,Bonez MC,05Mp2UJulSttxQ4E6hQPH3,Ohne mein Team,1,0.8,0.16,188504,-6.062,0.0938,129.999
0.874,Matt Sassari,5ZduaRci3iNUiDfJbBfAaf,Give It To Me - Full Vocal Mix,1,0.869,0.00116,102861,-5.996,0.0315,126.027
0.89,Ion Miles,35DkXhxqTMiQB582tfjowU,Powerade,6,0.72,0.193,142400,-5.202,0.0729,150.09
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.647,Samra,6VzzDH0vafw2Lwye7pvlaC,Müde,11,0.767,0.151,182529,-6.436,0.388,100.079
0.846,Luciano,5xX2LYdXyx0Boa61rZOjq5,Beautiful Girl,11,0.42,0.296,178453,-8.659,0.104,139.883
0.908,Eminem,7lQ8MOhq6IN2w8EYcFNSUk,Without Me,7,0.669,0.00286,290320,-2.827,0.0738,112.238
0.719,Miksu / Macloud,3kgt8Ys78I6GBZlQrWqZiA,Nachts wach,6,0.685,0.569,178973,-7.083,0.257,136.172
