danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.765,Gustaph,320jqrATpl9762bCQkmLDf,Because Of You,5,0.827,0.0169,179908,-5.204,0.0388,126.555
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.563,Alessandra,14LdhxElpZS0rKVV4nxtdA,Queen of Kings,4,0.908,0.0696,147980,-4.25,0.0868,125.972
0.636,Calvin Harris,5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),9,0.869,0.0378,186496,-5.289,0.0412,143.011
0.713,No Limit,7EO5oDxrq2dvYDgBjFvFYY,LA RUE,2,0.59,0.348,225137,-8.651,0.196,138.065
0.573,Libianca,26b3oVLrRUaaybJulow9kz,People,10,0.422,0.551,184791,-7.621,0.0678,124.357
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95
0.561,David Guetta,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),7,0.965,0.00383,175238,-3.673,0.0343,128.04
0.777,DYSTINCT,4TBxB7MulrQ1Nb2uxHwJX1,Tek Tek (feat. MHD),7,0.537,0.592,161506,-8.842,0.0609,92.996
0.442,Tom Odell,7jtQIBanIiJOMS6RyCx6jZ,Another Love,4,0.538,0.717,244360,-8.55,0.0451,122.758
0.602,David Guetta,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,7,0.91,0.00126,140018,-3.404,0.0308,127.944
0.748,Maan,4fWyBvLIPO68D2Ff87t1em,Stiekem,1,0.579,0.0156,203438,-8.046,0.0323,127.974
0.52,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,As It Was,6,0.731,0.342,167303,-5.338,0.0557,173.93
0.793,Ed Sheeran,3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,11,0.52,0.246,194926,-7.457,0.0696,107.014
0.681,Noa Kirel,6dUregFbvUNqHP5nphqesK,Unicorn,6,0.868,0.0216,170900,-5.499,0.095,130.126
0.867,Naps,2f8JQJctq8LZtaq6Hgdgb8,C'est carré le S,0,0.723,0.281,201533,-4.276,0.125,135.033
0.718,SDM,0EzNyXyU7gHzj2TN8qYThj,Bolide allemand,4,0.643,0.441,176747,-7.473,0.16,131.825
0.856,Goldband,2LcmbuYX7tyR4DWy3b273L,Noodgeval,2,0.89,0.131,214383,-6.463,0.0627,139.003
0.734,Metejoor,7Gzz44FpTbZu0DNVVZjwPs,Wat Wil Je Van Mij,6,0.564,0.364,199433,-7.199,0.032,116.025
0.705,Tiësto,3IhM5Mber8KA0NaRNpK2px,Lay Low,9,0.663,0.18,140160,-5.289,0.0367,124.988
0.688,Ninho,6RLVnSWFkT7ywpXv0XyRhY,Freestyle LVL UP 1,2,0.676,0.422,114183,-6.984,0.247,180.075
0.697,OneRepublic,4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,0,0.802,0.0988,148120,-6.412,0.0456,139.951
0.633,Macklemore,22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),2,0.927,0.0267,258432,-4.468,0.0839,146.097
0.792,Ayra Starr,1xs8bOvm3IzEYmcLJVOc34,Rush,1,0.503,0.0369,185093,-8.044,0.0626,99.97
0.687,Ninho,7DOqkqVZuvPhKIAtVXjZo1,Freestyle LVL UP 2,11,0.824,0.293,149065,-5.066,0.365,187.544
0.712,Sam Smith,0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),2,0.463,0.011,156943,-7.399,0.0797,131.199
0.637,Eminem,561jH07mF1jHuk7KlaeF0s,Mockingbird,0,0.678,0.209,250760,-3.798,0.266,84.039
0.78,Beyoncé,1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,7,0.689,0.0368,225389,-5.668,0.141,115.042
0.688,TEYA,3gUC7tGDPVLOq42vvTUVdI,Who the Hell Is Edgar?,11,0.644,0.0234,159418,-7.629,0.0596,145.926
0.767,Creeds,3AjSfp5FDvwtMU9XBsbS8j,Push Up - Main Edit,7,0.83,0.209,139300,-8.78,0.206,75.023
0.525,Måneskin,7exHT4swWOKL5addPeqkLP,THE LONELIEST,2,0.599,0.00151,247067,-5.001,0.0281,129.841
0.696,PinkPantheress,6AQbmUe0Qwf5PZnt4HmTXv,Boy's a Liar Pt. 2,5,0.809,0.252,131013,-8.254,0.05,132.962
0.587,Oliver Tree,73vIOb4Q7YN6HeJTbscRx5,Miss You,6,0.742,0.0128,206000,-6.64,0.0529,145.007
0.551,Stephen Sanchez,1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,10,0.55,0.777,176440,-5.339,0.0286,101.19
0.538,RAYE,5mHdCZtVyb4DcJw8799hZp,Escapism.,2,0.742,0.138,272373,-5.355,0.114,96.107
0.679,Lost Frequencies,3K00Ib1shkOEiAXU5pec6e,Back To You,0,0.548,0.234,155909,-7.495,0.0298,115.954
0.69,Purple Disco Machine,2F2p7b5Xq20mRyEeWYaeUF,Substitution,0,0.89,0.00903,181478,-4.866,0.0507,124.018
0.603,Moha K,0WCiCbdRB54GMzlRGs3Fa4,DARBA 9ADIYA,11,0.581,0.354,149209,-6.293,0.144,87.781
0.844,Hamza,4BZZTXcd5ROagKhynqj61X,Nocif,11,0.55,0.0318,229387,-7.903,0.0882,121.971
0.486,Coldplay,1mea3bSkSGXuIRvnydlB5b,Viva La Vida,5,0.617,0.0954,242373,-7.115,0.0287,138.015
0.726,PLK,66TAAKeoOD0cFpVRug9IXZ,Demain,1,0.675,0.272,183013,-8.251,0.16,137.954
0.518,Loreen,2knr7ikPt4l7bk92qS4ZXW,Euphoria,11,0.679,0.079,214133,-5.406,0.0355,132.146
0.799,Rema,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),11,0.802,0.429,239318,-5.196,0.0371,107.008
0.718,La Zarra,18ZX6YaDSOopXPRvfIh8DM,Évidemment,11,0.743,0.129,181000,-4.581,0.069,120.044
0.484,Vance Joy,7yq4Qj7cqayVTp3FF9CWbm,Riptide,1,0.731,0.431,204280,-6.694,0.0379,101.654
0.637,Taylor Swift,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,4,0.643,0.13,200690,-6.571,0.0519,97.008
0.565,Rosa Linn,6zJejIfVYLgjud3lTk4DLB,SNAP,0,0.636,0.107,179551,-8.198,0.0638,170.01
