danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.711,Calin,1tpWtFdAuY9chjl5YhzsTP,Safír,8,0.578,0.0737,149589,-7.759,0.0814,146.097
0.706,STEIN27,5FXDsBtTJRSMmmWhFxhAI0,Habibi,5,0.65,0.0021,146939,-7.791,0.249,147.015
0.654,Sofian Medjmedj,3zvg1jGv8J5laammbEvkzf,Slzy,10,0.588,0.538,149951,-7.772,0.141,135.916
0.647,Calin,0Pl0foFNy1vuVgx1NHVjSE,Dívej,1,0.551,0.125,155493,-7.812,0.205,141.913
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.533,Viktor Sheen,0J3SIAOndpL1MS2Vq2RMQ9,Stíny,8,0.784,0.0756,172541,-6.578,0.164,92.42
0.848,Calin,4enbO9cZhJLSZ6Tf21LRnv,Cikády,11,0.537,0.0935,168923,-8.671,0.0571,130.013
0.583,Calin,2sXnat46y10FtAbW2A0ira,Hannah Montana,6,0.784,0.0621,158608,-6.708,0.0882,135.08
0.778,Calin,163UXyyrFlAIQapVN3DqIp,Praha/Vídeň,6,0.449,0.41,162462,-7.464,0.0339,130.007
0.712,Viktor Sheen,65sTVVVMDnczku5Gt2PTmt,Rozdělený světy,9,0.66,0.331,211892,-7.68,0.032,111.068
0.58,Viktor Sheen,4UZ91aYQisCeUTyaw0YxZ2,Ibalgin,4,0.89,0.0543,215172,-6.149,0.0385,128.058
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082
0.604,Calin,4ToxkJ4VvWs026R3QfHDI3,Santé,2,0.649,0.4,114000,-8.458,0.0524,120.111
0.741,Viktor Sheen,3rxHQ7HeJCpiei1d6ANDPW,Až na měsíc,3,0.572,0.265,208696,-10.405,0.0645,115.093
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.561,David Guetta,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),7,0.965,0.00383,175238,-3.673,0.0343,128.04
0.762,Calin,1iOXr3xZSuF62boF7ygB6L,Benz,2,0.742,0.309,124615,-6.984,0.205,104.063
0.771,Viktor Sheen,2sNrirJx5Se5MO2tU2lJVL,Blessed,5,0.666,0.318,130286,-7.507,0.159,140.03
0.528,Calin,54H0xbH1zRSpIooA56rHva,Růže,7,0.329,0.139,255000,-15.353,0.0395,79.994
0.665,Viktor Sheen,7E8LK4R9gAkSG4CD1kqvsX,Virtuální drogy,10,0.781,0.22,214737,-8.07,0.0722,113.991
0.545,Vesna,59md7R7fW5LjSbZITzzn3n,My Sister's Crown,4,0.919,0.0512,176800,-5.879,0.159,149.869
0.697,OneRepublic,4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,0,0.802,0.0988,148120,-6.412,0.0456,139.951
0.563,Alessandra,14LdhxElpZS0rKVV4nxtdA,Queen of Kings,4,0.908,0.0696,147980,-4.25,0.0868,125.972
0.667,Hard Rico,592mMetMyxrHCM9jJaNZjX,Nezhasnu,8,0.594,0.0451,160541,-7.064,0.209,73.975
0.763,CA$HANOVA BULHAR,7xWbvfPrSjTWdsBNHOqdJJ,Praha den a noc,5,0.666,0.276,120000,-8.44,0.306,160.05
0.442,Tom Odell,7jtQIBanIiJOMS6RyCx6jZ,Another Love,4,0.538,0.717,244360,-8.55,0.0451,122.758
0.762,Separ,4WXX611x1aCtwcqVJgA3xb,Sunset,1,0.805,0.237,155520,-6.63,0.386,124.977
