danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.732,Ukendt Kunstner,5dNSfOZb6AlEF0Xg6C970o,Uden Dig,1,0.737,0.31,191342,-7.234,0.115,163.084
0.636,Ukendt Kunstner,2rIZdL5X9vCyMp5z0bNNGC,Dansktop,1,0.527,0.366,242351,-8.242,0.135,75.996
0.746,Ukendt Kunstner,5M44hk5WAFjUzZq64lff5p,Gran Turismo,4,0.517,0.425,274288,-8.231,0.244,77.011
0.785,Ukendt Kunstner,6V4uTyQqs8tq21qbMUYrWA,Hele Dagen,10,0.544,0.0637,177135,-6.054,0.0452,84.031
0.499,Ukendt Kunstner,13vWmXJwgVFIb2EOdCGsYZ,Hena,2,0.097,0.971,90900,-15.301,0.0433,103.607
0.785,Ukendt Kunstner,0n4eXmkGEhgvagEecQt4fc,Fastelavn,9,0.547,0.561,166390,-8.452,0.273,101.961
0.67,Ukendt Kunstner,3un3EfKXpZbOq0vzyeOKVV,Stjernekigger,1,0.436,0.581,218668,-8.715,0.0596,77.017
0.869,Benny Jamz,2hFdRvBjl6eWf0tPt9NYID,Tudo Bem (feat. Gilli),0,0.652,0.0512,130494,-6.9,0.086,128.047
0.625,Ukendt Kunstner,4bgoQq0XDzMdEK1CJzbQlU,For Livet,3,0.623,0.83,399342,-8.395,0.171,127.856
0.729,Danser Med Piger,71JW11U2IpJQBRicrFUzMZ,God Pige (feat. TopGunn),10,0.805,0.174,167228,-7.087,0.0682,101.056
0.802,ICEKIID,38xttLsyfUwd284fbNjymm,Jumeirah,7,0.839,0.109,162487,-4.742,0.0627,102.955
0.316,Ukendt Kunstner,4bblp2UqV5NieAQw50LDK9,Kerosin,1,0.0346,0.985,85778,-20.065,0.0366,138.254
0.593,Ukendt Kunstner,0FXz5HSVciam4DyXqbZJ4e,Aerosol,8,0.498,0.331,228904,-8.03,0.0375,130.045
0.714,D1MA,3neYAjvKDOfvBUpIgReOkC,MOONLIGHT,8,0.492,0.566,197043,-8.252,0.209,118.987
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002
0.575,TopGunn,0twnZu2JhBywPQBOX92gSl,For Altid,8,0.561,0.103,143451,-8.065,0.253,101.423
0.58,Ukendt Kunstner,7HNJjx0odqrEZ2m4qSVSw0,Interlude,3,0.0254,0.993,78194,-22.626,0.0526,109.806
0.841,andreas odbjerg,0Mo3Jmq9uU1QJyhZu4DkR5,smugryger,8,0.541,0.162,163254,-7.567,0.0425,140.039
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.686,Tobias Rahim,4EKSw9Jzun2WFvjm2HU58X,Flyvende Faduma,7,0.779,0.0636,198659,-5.907,0.0316,75.0
0.774,Benny Jamz,7a2ZJ7zftM3SkQ0sDvI4Aa,Palermo (feat. KESI),5,0.779,0.0806,163483,-5.248,0.0633,141.024
0.681,Tobias Rahim,0JFhEbH1Ij9BIrO800IEIK,Orange,9,0.493,0.524,191093,-7.218,0.0311,95.736
0.533,Ida Laurberg,6ImP4OQ986Bed0EL3XOlFo,Terrier,11,0.693,0.343,200500,-5.646,0.038,85.294
0.667,Tobias Rahim,0BGEImCBesJKIm5kZ0fOkH,STOR MAND (feat. Andreas Odbjerg),5,0.671,0.178,182816,-6.097,0.0466,145.975
0.636,Saint clara,2MDw2DwUDTAhexLMREWsYW,Oh My God,7,0.557,0.304,159886,-6.086,0.21,74.792
0.565,Gilli,2rfl7SRwfel3gNhXBmL60u,Verden Vågner (feat. Saveus),5,0.764,0.371,156137,-5.452,0.306,94.686
0.789,Lamin,63Dymm6U4WHLRy87e8GBbo,"Gode Dage, Gode Drinks",0,0.703,0.0448,140089,-7.401,0.367,112.025
0.636,Calvin Harris,5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),9,0.869,0.0378,186496,-5.289,0.0412,143.011
0.67,Blæst,5PIiJ3kodpPftCM6alodDE,All In (feat. Lamin),1,0.727,0.239,176430,-5.311,0.323,101.709
