danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.725,Saiko,0zY2rypOdM8xmsf4tUyafF,Supernova,10,0.743,0.256,139091,-4.185,0.148,87.979
0.801,Lola Indigo,4rKQ8daoK0aklVptea8A9E,EL TONTO,0,0.801,0.406,188088,-5.369,0.1,110.029
0.768,ROSALÍA,609E1JCInJncactoMmkDon,BESO,5,0.644,0.736,194543,-6.671,0.136,95.05
0.775,Marshmello,51FvjPEGKq2zByeeEQ43V9,El Merengue,8,0.677,0.0313,189357,-4.703,0.0442,124.011
0.796,Jhayco,4aJzxp3gimtAdgJn3DL776,Mami Chula,7,0.701,0.215,220600,-3.599,0.0447,119.986
0.859,Feid,6XSqqQIy7Lm7SnwxS4NrGx,Classy 101,11,0.658,0.145,195987,-4.79,0.159,100.065
0.863,Chanel,26V1bLUk0SBYkLEwl4caPR,Clavaito,3,0.664,0.0427,162741,-3.902,0.0666,133.028
0.72,KAROL G,0DWdj2oZMBFSzRsi2Cvfzf,TQG,4,0.63,0.673,199440,-3.547,0.277,179.974
0.783,Yandel,4FAKtPVycI4DxoOHC01YqD,Yandel 150,6,0.729,0.0492,216148,-3.549,0.0691,167.968
0.802,Vicco,20CozgjF6bshBw8cLhN23B,Nochentera,8,0.728,0.0233,202185,-6.456,0.0533,121.92
0.748,Shakira,7txjUEY6McJDJKqIo1Rxjp,Acróstico,11,0.478,0.837,170786,-8.886,0.121,143.866
0.812,Yng Lvcas,2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,2,0.479,0.213,234353,-5.678,0.333,169.922
0.587,Álvaro De Luna,4rQu72zFJz3qne1bnEkVSt,Todo Contigo,8,0.732,0.000739,165528,-5.288,0.0378,119.938
0.793,Quevedo,0Sfn2TYbpQtCGMBf6C0Y6T,PLAYA DEL INGLÉS,7,0.736,0.0822,237525,-3.254,0.0469,112.993
0.823,Feid,3Gs7mVfWKl567mjozgxmXv,Niña Bonita,7,0.615,0.104,187653,-4.19,0.147,90.952
0.838,Taiu,7MVIfkyzuUmQ716j8U7yGR,Rara Vez,5,0.708,0.176,128677,-4.668,0.166,119.984
0.683,Eladio Carrion,0PB0O24JqAuNdOAFVJljMS,Coco Chanel,2,0.764,0.0427,160325,-5.995,0.0441,149.949
0.913,TINI,04ndZkbKGthTgYSv3xS7en,Cupido,9,0.584,0.521,174370,-5.263,0.223,119.873
0.724,Quevedo,0Iozrbed8spxoBnmtBMshO,WANDA,4,0.631,0.249,160909,-4.42,0.0686,176.076
0.469,Eladio Carrion,3qXZqXGniqNt3PK2CBSZgM,Si La Calle Llama - Remix,10,0.639,0.564,240000,-5.381,0.32,172.37
0.795,Aitana,7lrMkztvl0MnRSB2i3KRRe,Los Ángeles,11,0.889,0.053,158484,-5.216,0.0902,122.023
0.835,Manuel Turizo,3tt9i3Hhzq84dPS8H7iSiJ,La Bachata,7,0.679,0.583,162638,-5.329,0.0364,124.98
0.838,LiL CaKe,1DxEbt6OSbrkRthk6pjZue,MERCHO,6,0.79,0.431,161452,-1.602,0.108,92.927
0.668,Eslabon Armado,3qQbCzHBycnDpGskqOWY0E,Ella Baila Sola,5,0.758,0.483,165671,-5.176,0.0332,147.989
0.751,Quevedo,4WiQA1AGWHFvaxBU6bHghs,PUNTO G,11,0.761,0.251,151325,-4.113,0.15,92.032
0.709,Rvfv,63lpWMzGpcjpN9DGoDbl7W,Que te vaya bien,1,0.654,0.132,204960,-7.219,0.212,124.952
0.767,Maikel Delacalle,7q1KFoWUNYudhKW8RYJFsZ,Mi Nena Remix,11,0.701,0.335,220000,-5.458,0.106,125.948
