danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082
0.819,SHRTY,4NbcnW0v1yoeq2IAuWFriv,Pariisin kevät,8,0.733,0.0809,154914,-4.164,0.0351,115.972
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002
0.563,Alessandra,14LdhxElpZS0rKVV4nxtdA,Queen of Kings,4,0.908,0.0696,147980,-4.25,0.0868,125.972
0.853,Costi,2ZJ50ZqUlqFnva0hCvmWkh,PARTYBOY,1,0.52,0.0859,161477,-6.246,0.0853,97.93
0.81,Gettomasa,6gC4zm1oONWkl0zvo4Cwg6,Meit ei oo,11,0.565,0.117,174284,-6.318,0.0946,80.015
0.817,Korelon,6ie36ZZnVBzZgkdfghyRQ7,CITYBOY,0,0.676,0.0224,181741,-5.426,0.225,140.041
0.499,Antti Tuisku,3rsDUslPzGw6sGHjkM4lg2,Auto jää (feat. Käärijä),7,0.886,0.00294,172088,-5.051,0.143,138.055
0.863,Cledos,6KE32hoeVholHEoGeSoWQ5,Kauemmas,1,0.521,0.0278,192030,-6.546,0.0601,125.016
0.689,Joker Out,14ibwN44PVKuvEqLiaNkKu,Carpe Diem,1,0.663,0.00906,165703,-8.778,0.0427,131.936
0.681,Noa Kirel,6dUregFbvUNqHP5nphqesK,Unicorn,6,0.868,0.0216,170900,-5.499,0.095,130.126
0.718,Costi,0Md23O27tBkiiuzsCTetpl,Maailman ympäri,0,0.676,0.103,150488,-5.543,0.0723,84.046
0.577,KUUMAA,4TXoHT9YxXfczvs2ccf5MK,Ylivoimainen,4,0.762,0.0328,181947,-5.402,0.0648,163.987
0.785,Fabe,1o9alBDLkoE0sMHw3PTk94,Lojaali (feat. Mikael Gabriel),1,0.666,0.15,135728,-5.573,0.124,102.931
0.734,ABREU,4s8HU5QtwF2vuBUlvVpKgy,Eilisen mä,8,0.807,0.134,153487,-7.427,0.0376,99.995
0.717,Isac Elliot,2iyem3u1Bl9WBRhLyn1Yv9,Riidellään,9,0.601,0.364,182597,-9.436,0.0412,123.954
0.74,KUUMAA,50MCpRAPLw8KXn8j6j2yb7,Tulipalo,10,0.677,0.248,183806,-7.519,0.0286,122.025
0.695,william,061FQTXf0Fmprx1Jjg35B0,Champagne sippA,1,0.597,0.258,152093,-5.328,0.0956,86.008
0.688,TEYA,3gUC7tGDPVLOq42vvTUVdI,Who the Hell Is Edgar?,11,0.644,0.0234,159418,-7.629,0.0596,145.926
0.776,Joe L,7pLVekYOyxNtBTeaXl9PU5,Ovet paukkuu (feat. william),1,0.454,0.0581,156026,-9.82,0.0374,119.98
0.545,Vesna,59md7R7fW5LjSbZITzzn3n,My Sister's Crown,4,0.919,0.0512,176800,-5.879,0.159,149.869
0.526,pehmoaino,4Ac4YAaS8HkCuIX7zr8Ycu,mietin sua pahalla,3,0.521,0.632,183269,-7.42,0.06,128.874
0.904,BLANKA,3xxjYOFR1y7By2wNDS51XV,Solo,11,0.642,0.179,154710,-6.721,0.0401,98.945
0.718,La Zarra,18ZX6YaDSOopXPRvfIh8DM,Évidemment,11,0.743,0.129,181000,-4.581,0.069,120.044
0.816,vitunleija,2QqVRDgYIZbOXCKp3qrd6m,"B-Day (feat. DAVI, baka®, Korelon)",8,0.795,0.0867,124377,-7.559,0.198,97.986
0.496,Remo Forrer,4ih4oGbMt9b6PbKhTPbAmw,Watergun,8,0.357,0.211,172555,-13.42,0.0351,137.96
0.865,Gettomasa,3KOKML3DT5AbPOQYWjBZTh,Shamppanjadieetillä,8,0.53,0.212,154571,-5.749,0.0972,102.008
0.853,Turisti,5TclMfBUkcXEIW23ytQ3Dp,Tällee näin,1,0.657,0.0264,180038,-4.144,0.101,100.01
0.641,TUULI,04ajBAZ4nicx6flU5D6PdB,OnlyFans (feat. ibe),2,0.741,0.0136,174527,-7.303,0.0574,90.0
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.613,Gettomasa,12zIIWVV5guPmsV7yQGsOM,Vastustamaton,2,0.737,0.324,218473,-6.052,0.143,125.03
0.609,KUUMAA,2hCsRJpmsetg49AXeyhuAN,Anna mulle mitä vaan,2,0.823,0.0181,147812,-7.163,0.0383,160.049
0.809,Nebi,68YijaiOaZVDrvELVak9WI,HuOMiOO,5,0.424,0.0582,202138,-9.546,0.129,114.01
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.903,Jami Faltin,7b5eGNsoccPe4bDgPBWE6d,ALAX? - feat. Pihlaja,8,0.639,0.502,159474,-4.581,0.161,124.058
0.484,Käärijä,1v4jBEOmyYluJSBk6WUELN,Välikuolema,1,0.668,0.00752,192717,-6.194,0.306,177.581
0.65,Bee,3STatpBP2zJ1CTca7PRSKp,Viimeisiä sanoja,10,0.823,0.00517,209052,-5.666,0.045,148.019
0.871,JVG,0WzmYcHhfkchwvZagvItxK,Amatimies,7,0.687,0.0721,121961,-4.417,0.155,115.963
0.867,VJ,2dpENa47X8ZDGCAwCEfdVr,Shh (feat. Turisti),8,0.578,0.031,147572,-5.907,0.0768,121.982
0.432,Andrew Lambrou,5dRAJ9UsR0qyMMKnonWewz,Break a Broken Heart,3,0.736,0.0643,178507,-4.068,0.038,129.667
0.687,BESS,3miCmoC4ELhFxtrUZXR011,Kädet ylös,5,0.753,0.000238,179927,-7.069,0.0555,144.041
0.602,David Guetta,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,7,0.91,0.00126,140018,-3.404,0.0308,127.944
