danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.713,No Limit,7EO5oDxrq2dvYDgBjFvFYY,LA RUE,2,0.59,0.348,225137,-8.651,0.196,138.065
0.867,Naps,2f8JQJctq8LZtaq6Hgdgb8,C'est carré le S,0,0.723,0.281,201533,-4.276,0.125,135.033
0.688,Ninho,6RLVnSWFkT7ywpXv0XyRhY,Freestyle LVL UP 1,2,0.676,0.422,114183,-6.984,0.247,180.075
0.718,SDM,0EzNyXyU7gHzj2TN8qYThj,Bolide allemand,4,0.643,0.441,176747,-7.473,0.16,131.825
0.687,Ninho,7DOqkqVZuvPhKIAtVXjZo1,Freestyle LVL UP 2,11,0.824,0.293,149065,-5.066,0.365,187.544
0.726,PLK,66TAAKeoOD0cFpVRug9IXZ,Demain,1,0.675,0.272,183013,-8.251,0.16,137.954
0.724,Tiakola,4wNyrbY6B2Okii8VeKo2B2,Meuda,9,0.593,0.508,152547,-6.498,0.0766,141.901
0.717,GAULOIS,16FTTvpIgihyei3EBNw1jd,Jolie (feat. Ninho),1,0.686,0.141,159573,-6.388,0.0483,134.067
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.768,Djadja & Dinaz,4f0ytSBF6dlKOIFQsfeemV,Capitaine,0,0.662,0.37,155920,-5.92,0.182,151.937
0.762,SDM,1xLCwgQcF6bKncTJmRGGws,Mr. Ocho,0,0.59,0.34,226653,-7.039,0.165,122.105
0.792,Ayra Starr,1xs8bOvm3IzEYmcLJVOc34,Rush,1,0.503,0.0369,185093,-8.044,0.0626,99.97
0.801,Werenoi,2GMXeFK2Zz6DqUP5LT9NHz,Laboratoire,5,0.604,0.463,162840,-6.525,0.21,125.024
0.765,Werenoi,0uSjZhPKuYBcObeetfVlpn,Solitaire,1,0.744,0.244,146441,-9.147,0.0644,117.989
0.941,Jul,4F1fVi7f1h1fN4FrwoyWMa,La faille,5,0.775,0.227,291280,-5.151,0.167,130.028
0.681,Lomepal,4otT81iBBpaf36roGtzT4a,Decrescendo,0,0.459,0.595,218587,-7.178,0.0398,83.47
0.844,Hamza,4BZZTXcd5ROagKhynqj61X,Nocif,11,0.55,0.0318,229387,-7.903,0.0882,121.971
0.679,Werenoi,3d7vLNeOXnzdBwUGbqklPE,Ciao,2,0.646,0.129,216333,-6.606,0.202,147.969
0.709,Zola,5Q967UCPfCsQeEgFhT1umT,AMBER,6,0.762,0.0877,182493,-8.919,0.243,141.052
0.836,Vacra,6pIciAIov7TP5Zj4PTN9rc,Tiki Taka,7,0.879,0.416,174830,-5.187,0.0433,112.035
0.695,Gazo,3D29kjUyWxsT3jUUTtARVQ,DIE,8,0.63,0.229,240413,-7.16,0.035,130.968
0.643,Louane,7dISpxgINJOQSuXUTEfB9x,Secret,5,0.276,0.901,191173,-8.481,0.0596,149.503
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95
0.626,Nuit Incolore,5bOWPM362XpMa8zn6UR9te,Dépassé,0,0.569,0.365,172394,-7.971,0.0457,76.992
0.536,PLK,7d391WfC0HtftRcetDFQUy,Nouvelles,11,0.655,0.011,179653,-7.636,0.22,196.007
0.841,Naps,6sR9M21Bl17LNMs07QSjyb,La danse du roro,11,0.891,0.302,212360,-2.136,0.237,136.038
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.845,Jul,0goer5e8B6SJaTV2B51k6f,La bandite,5,0.717,0.666,160893,-6.771,0.211,122.491
0.71,Favé,7A2DyRIqqelhZ4caPJMaFI,Urus,11,0.712,0.0297,147788,-7.436,0.3,162.106
0.658,Jok'air,69Nu2qG69WCvju2bZvrxlu,Quoi de neuf bébé,10,0.525,0.219,202760,-6.764,0.117,147.125
0.851,Zola,7jbu9k6w67hWlhSinmGT3c,COEUR DE ICE (feat. Damso),2,0.567,0.215,192213,-8.074,0.231,119.969
0.673,Gazo,0i9RysNKssk6syOrKDX3U2,FLEURS (feat. Tiakola),10,0.636,0.268,210933,-7.431,0.0771,127.021
0.793,Zola,6QPFWJJLKKPjnwRQJ1OwSC,TOUTE LA JOURNÉE (feat. Tiakola),9,0.536,0.412,167933,-7.497,0.0707,140.09
0.569,Tayc,3dl81ypaK6k0y0RCszBKS4,Room 69,11,0.554,0.2,189926,-6.731,0.106,123.927
0.746,Gazo,6D1HiF2e3Z0F8FwQ5uLxwn,NO LÈCHE,0,0.736,0.0741,194202,-8.439,0.353,156.017
0.636,Calvin Harris,5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),9,0.869,0.0378,186496,-5.289,0.0412,143.011
0.8,Ninho,0Jh6iWjna1wk5le0Ahn7No,La vie qu'on mène,7,0.756,0.687,193444,-4.4,0.0367,113.204
0.737,Stefy De Cicco,79DFRI318iJU1hvZnPzA4K,Superstar,7,0.927,0.0195,172143,-4.0,0.0441,126.015
0.602,David Guetta,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,7,0.91,0.00126,140018,-3.404,0.0308,127.944
0.777,DYSTINCT,4TBxB7MulrQ1Nb2uxHwJX1,Tek Tek (feat. MHD),7,0.537,0.592,161506,-8.842,0.0609,92.996
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002
0.833,Black Eyed Peas,2EMkEil00JbwV78CoRgd3E,Bailar contigo,1,0.777,0.347,223352,-5.199,0.0592,124.992
0.787,Werenoi,41owO9tpVFmNAZ4IEpM2iK,Escorte,8,0.582,0.208,194627,-6.99,0.227,97.511
0.52,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,As It Was,6,0.731,0.342,167303,-5.338,0.0557,173.93
0.573,Libianca,26b3oVLrRUaaybJulow9kz,People,10,0.422,0.551,184791,-7.621,0.0678,124.357
0.786,Djadja & Dinaz,2gH0sY8ATBTt01imXPZJdH,Pas là,2,0.643,0.622,147000,-5.42,0.0316,125.045
0.755,Josman,6qvyN6NTUpdfOJRYjtSSd7,Intro,8,0.636,0.324,147720,-6.529,0.281,144.953
0.576,Werenoi,1WkliDsYrTr7UdNcQVDy2Q,La League,4,0.672,0.871,179573,-7.382,0.236,104.198
0.756,Damso,6YWjskKykdPsBuiTBOg1VK,Δ. Dieu ne ment jamais,11,0.736,0.0597,199347,-7.719,0.0443,115.985
0.694,Aden Foyer,3aiOu3VFNOD9omIGG7nSq1,The Ballet Girl,1,0.816,0.0796,201425,-4.741,0.0293,118.036
