danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002
0.799,Marco Schuitmaker,2C2vSufLm1wLq2GjDH3iMh,Engelbewaarder,8,0.919,0.112,196520,-4.821,0.0398,130.006
0.881,Kevin,309wfX4hjhywRlyknsgm8N,Trust,11,0.442,0.299,172241,-9.245,0.237,115.027
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.748,Maan,4fWyBvLIPO68D2Ff87t1em,Stiekem,1,0.579,0.0156,203438,-8.046,0.0323,127.974
0.636,Calvin Harris,5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),9,0.869,0.0378,186496,-5.289,0.0412,143.011
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.663,Bizzey,7MmAM3JjAekFdmuY7p2SMV,Zin In De Zomer Man,0,0.795,0.0246,135694,-7.695,0.0413,107.96
0.734,Metejoor,7Gzz44FpTbZu0DNVVZjwPs,Wat Wil Je Van Mij,6,0.564,0.364,199433,-7.199,0.032,116.025
0.784,Turfy Gang,7vjvSnuolvOBNgJDSodY2B,Padellen,6,0.804,0.133,128198,-6.604,0.0357,128.958
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082
0.573,Libianca,26b3oVLrRUaaybJulow9kz,People,10,0.422,0.551,184791,-7.621,0.0678,124.357
0.777,DYSTINCT,4TBxB7MulrQ1Nb2uxHwJX1,Tek Tek (feat. MHD),7,0.537,0.592,161506,-8.842,0.0609,92.996
0.763,Claude,18tV3JqwwB5Acsa8vP12lp,Layla,7,0.754,0.332,163429,-7.006,0.0586,104.977
0.563,Alessandra,14LdhxElpZS0rKVV4nxtdA,Queen of Kings,4,0.908,0.0696,147980,-4.25,0.0868,125.972
0.689,Jonna Fraser,6BCYTbYrUoOMcPVHwtM8gY,Toute La Night,9,0.487,0.445,154333,-5.839,0.163,178.033
0.602,David Guetta,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,7,0.91,0.00126,140018,-3.404,0.0308,127.944
0.755,Claude,0LVjBdjZvJykxed42ExTLf,Ladada (Mon Dernier Mot),5,0.569,0.51,164903,-7.48,0.0339,117.938
0.534,Suzan & Freek,5tiTVSryX1Hu09cPsNvaIR,Slapeloosheid,8,0.752,0.0381,177143,-6.715,0.0958,167.963
0.705,Tiësto,3IhM5Mber8KA0NaRNpK2px,Lay Low,9,0.663,0.18,140160,-5.289,0.0367,124.988
0.856,Goldband,2LcmbuYX7tyR4DWy3b273L,Noodgeval,2,0.89,0.131,214383,-6.463,0.0627,139.003
0.584,FLEMMING,1vYF6O8JLonzVYrJGSGNNW,Verleden Tijd,3,0.594,0.403,167245,-7.105,0.149,120.053
0.792,Ayra Starr,1xs8bOvm3IzEYmcLJVOc34,Rush,1,0.503,0.0369,185093,-8.044,0.0626,99.97
0.636,Zoë Tauran,323zcUSa2qrq0aUAwL30sT,Therapie,10,0.603,0.0498,181667,-6.586,0.105,179.923
0.464,FLEMMING,50vXZhuyOfXaEkG3jVacmd,Paracetamollen,4,0.588,0.139,171818,-7.427,0.255,153.89
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95
0.793,Ed Sheeran,3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,11,0.52,0.246,194926,-7.457,0.0696,107.014
0.912,Frenna,3D0wRuJbUqjoLdeXEYc5E3,Broski’s,8,0.666,0.21,179346,-5.016,0.216,136.009
0.679,Lost Frequencies,3K00Ib1shkOEiAXU5pec6e,Back To You,0,0.548,0.234,155909,-7.495,0.0298,115.954
0.668,Trobi,7EPNjzimfSsX4bsjQZwAIm,Ome Duo,2,0.686,0.0808,161698,-7.128,0.137,126.049
0.616,Felix Jaehn,5YdnOm5990Kfq1Jodws98B,Call It Love,5,0.841,0.0559,154561,-4.779,0.076,110.029
0.653,Acda en de Munnik,2UI9rmmINuXVWeOrprjWBy,Morgen Wordt Fantastisch,1,0.79,0.14,158605,-6.947,0.0679,112.012
0.498,Post Malone,5w40ZYhbBMAlHYNDaVJIUu,Chemical,2,0.897,0.00136,184013,-4.907,0.045,169.902
0.794,Zoë Tauran,70VDwHuba0z6HMHG6UifIG,Outside,7,0.745,0.0687,167324,-7.697,0.164,140.11
0.712,Goldband,0pw06mcIzuAeLPOHZT7W4Z,Rommel,11,0.736,0.0495,196000,-9.162,0.0576,159.993
0.571,Victor Thompson,2VGGQdroduj4dIMGPsBzDG,THIS YEAR (Blessings),9,0.348,0.771,126207,-9.391,0.0854,66.337
0.678,Lewis Capaldi,3W5KHP0Yr56ejVDns9vci3,Wish You The Best,3,0.48,0.588,210880,-3.607,0.0298,107.934
0.603,Moha K,0WCiCbdRB54GMzlRGs3Fa4,DARBA 9ADIYA,11,0.581,0.354,149209,-6.293,0.144,87.781
0.613,SERA,60sCCPmAff8HfYWpaXQQ9e,Head Held High,1,0.579,0.128,196220,-6.428,0.0381,94.958
0.282,Mia Nicolai,5pjp1jN7hitQTuSlT2jOep,Burning Daylight,3,0.433,0.584,184000,-8.538,0.0353,71.294
0.561,David Guetta,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),7,0.965,0.00383,175238,-3.673,0.0343,128.04
0.509,Cian Ducrot,0JIhRhZPF5j5dx0FGqTWxy,I'll Be Waiting,1,0.619,0.355,172547,-4.102,0.0391,155.955
0.64,Davina Michelle,0pbLHJrEZFFo3qijqi7XDl,Heartbeat,4,0.712,0.0685,198803,-5.611,0.0616,110.538
0.566,Kris Kross Amsterdam,5gl0Sw1FaHzio6Sw0s7sQi,How You Samba,11,0.704,0.0461,151680,-8.003,0.0752,124.933
0.636,P!nk,1gUwi1o1S9W9P0FQgJdY8s,TRUSTFALL,8,0.888,0.00162,237200,-3.889,0.0945,122.032
0.442,Tom Odell,7jtQIBanIiJOMS6RyCx6jZ,Another Love,4,0.538,0.717,244360,-8.55,0.0451,122.758
0.601,Libianca,0SCOKZU2gpsrvLa4T1VStt,People (feat. Cian Ducrot),10,0.398,0.584,184633,-8.755,0.0463,197.88
0.571,Niall Horan,1yHVHoz6Ny29gbbWJYVnFt,Heaven,5,0.761,0.0708,186043,-3.485,0.0261,91.991
0.69,Purple Disco Machine,2F2p7b5Xq20mRyEeWYaeUF,Substitution,0,0.89,0.00903,181478,-4.866,0.0507,124.018
0.565,KM,5RpEwmsV97REIDvj3rVPJ9,February Stories,3,0.539,0.169,143347,-8.008,0.364,92.733
