danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.825,Azahriah,5ZY255MSISgMrvHmRZux1E,3korty,0,0.69,0.223,193398,-6.943,0.114,103.049
0.652,Azahriah,2EAvOY1uymm5ZAd0ZbnnPW,Introvertált dal,1,0.815,0.126,169841,-4.849,0.0606,151.046
0.771,Azahriah,3DTF2AIcHMwZ1q1gz9zspi,szosziazi,8,0.615,0.135,206038,-7.929,0.19,105.993
0.808,Azahriah,3UlXaigjBM3sHyOpDbh1RI,Casa de papel,5,0.679,0.646,160000,-7.034,0.125,135.064
0.551,Azahriah,7AQgdMSlaJCU1J75INPyK1,Delirium,0,0.727,0.46,263981,-8.093,0.298,135.074
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.538,Azahriah,1o0TkBcMTkkOg1KUeB4riK,four moods,2,0.669,0.37,203529,-8.325,0.217,101.993
0.77,Azahriah,1Qzkw4QaTXbVd1TmDzSNOv,Gát,9,0.812,0.349,189784,-7.646,0.114,104.067
0.418,Azahriah,3viRS8dmqrg2j71qisdECB,Kaotikus egy ház!,6,0.709,0.377,169730,-7.723,0.311,167.831
0.678,Beton.Hofi,18DVypBkvcJtVFzQr5Ly7J,BAGIRA,11,0.825,0.194,124273,-5.422,0.299,86.11
0.561,Azahriah,4BHHsydPdymvTW0cmasgAR,Four moods 2,2,0.755,0.277,264630,-6.767,0.139,173.96
0.833,DESH,3XKdJfbBwnxUnn5tdaJoYL,Papa,5,0.722,0.382,140769,-7.579,0.0748,104.017
0.858,Pogány Induló,1Y9crZGy8iOyCPxFBPfMDP,Afro Beat,8,0.436,0.0481,192000,-12.827,0.108,125.002
0.682,Dzsúdló,0nQuoTxzDIVoWzaTgF5xtW,Várnék,6,0.691,0.405,187105,-4.227,0.0627,75.96
0.848,KKevin,1jI95q1ZSLZuVNdOMwaoUL,Csavargó,6,0.694,0.322,174000,-5.255,0.398,79.987
0.633,Dzsúdló,2WO6S8AQfpwB7QVqvaOnDP,Függő,7,0.753,0.102,200000,-3.894,0.151,139.759
0.812,T. Danny,79djK7ACKQHCrIXOZozQv0,Félek,2,0.36,0.0518,171707,-6.167,0.0402,123.011
0.748,Follow The Flow,2FLH8pUVYNRJIEZcwLyzYy,Szélcsend,11,0.719,0.173,158955,-5.432,0.129,133.875
0.65,Ekhoe,2KQoXxQzVL7h4rMsmP8t5L,Százszorszép,0,0.465,0.149,146014,-10.832,0.0828,142.837
0.683,Azahriah,1tAyEL10PQDcIvEL2o75wt,figyelj,9,0.683,0.124,164291,-7.846,0.036,110.933
0.781,ByeAlex és a Slepp,38qhsm0c4QVk6BMhtvZFWv,Csokko,4,0.651,0.592,162821,-4.816,0.202,156.084
0.399,Carson Coma,55pp0M1iFTL6sPPLTuD4Rf,FELDOBOM A KÖVET,7,0.407,0.00973,312871,-16.916,0.0756,167.326
0.824,Kain,5sybMF2Gbm98ociatHQFpT,Latyo és haze,1,0.536,0.0725,153650,-8.997,0.143,125.046
0.836,Dzsúdló,2DlC1q5HjHwf4VAxDOvfPR,Rosszlány,8,0.572,0.576,116000,-5.167,0.124,127.133
0.726,Azahriah,6Rc6C6S4lgT5j1OekgI155,Pullup,11,0.632,0.106,137000,-8.655,0.112,86.905
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.59,Azahriah,4MKnUrPgpE61RbKriwQLBf,Hessdalen,1,0.562,0.319,206719,-9.089,0.0408,128.129
0.763,Ekhoe,59wn91U7xuJ5S1zkX8HmpK,Smash!,11,0.531,0.193,144000,-7.748,0.124,80.023
0.753,Azahriah,24FcipgSN2fLdcEZ1zKQYX,Depicentrum (outro),4,0.59,0.656,128000,-8.392,0.0901,101.026
0.561,David Guetta,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),7,0.965,0.00383,175238,-3.673,0.0343,128.04
0.611,VALMAR,3uAoUHEPlLa5pWKpOrmIxo,SZÍNVAK,10,0.767,0.053,198279,-4.695,0.038,133.885
0.837,DESH,5FW58MYtSU6mFxp88eOHI8,Malibu,10,0.644,0.129,138713,-7.508,0.0684,101.012
0.697,Bruno X Spacc,1Bx2uFBMPWHZ7ctb4XkIs4,Fantom,10,0.632,0.519,217679,-4.735,0.0345,129.07
0.696,Azahriah,7cU3vDXfkH4bAemYBxuoJT,Miafasz,8,0.707,0.368,193543,-6.704,0.217,87.478
0.731,Beton.Hofi,4Os68ICIOhJVOPfl53TjBP,TISZALÖK,11,0.578,0.138,156195,-5.059,0.167,79.997
0.729,Azahriah,38U5WKJpBQncqAss18dLrO,Habibi,9,0.57,0.283,161083,-6.072,0.181,156.999
0.881,Kolg8eight,6WBuRbov384zl6wPJ49piD,Rizikó,1,0.701,0.502,224697,-5.895,0.27,94.955
0.741,Azahriah,7lemjnVRAqQtqqLdSqCKqM,Mind1,2,0.658,0.548,191538,-8.631,0.0717,103.942
0.837,BSW,2RXUQI9ymvyPCmD2V5Hm44,Kamagra Gang,4,0.622,0.478,169362,-6.305,0.331,140.981
0.571,Ekhoe,1cf5u4F1zIvn9wUjhqzxm9,Forog a világ,6,0.312,0.187,156039,-15.002,0.0816,154.023
0.728,VZS,1k5srHy6QKbhOCApsBRFYu,Trónfosztó,5,0.814,0.107,168000,-7.391,0.315,200.124
0.902,KKevin,6w9aIT3TyqClXIcKyw6W1a,Topshit,1,0.504,0.0955,166165,-7.136,0.174,91.013
0.593,Pogány Induló,1PLekMr5mC9sf0n37TWv5G,Gettó csirke,6,0.476,0.456,136286,-13.459,0.862,176.112
0.446,Azahriah,1K17dNOOtcoC1gLcAbccPp,Tisztán iszom,0,0.655,0.644,180750,-6.945,0.0439,162.924
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082
0.79,Dzsúdló,3sUOONjFxjepoSXvKYrz5E,Lej,1,0.503,0.527,168800,-9.301,0.206,75.008
0.649,Manuel,1WMymP7Mj6GrI2VReJFSJD,Toxic,5,0.895,0.197,191205,-5.486,0.0623,165.918
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002
0.629,Kiss Kevin,33zWUivvsRkfnOYx4FUmPt,Csinibaba,3,0.855,0.172,150000,-7.04,0.0735,134.028
0.721,Tóth Andi,0TbhapWcm8UxFS4wU27Ooa,Elhagyott,2,0.614,0.0303,159490,-7.904,0.0365,98.031
