danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.726,Finesse,2hHC2jw8qiE4IAPDGjU4Fu,"Gelosa (feat. Shiva, Sfera Ebbasta, Guè)",7,0.672,0.0378,182400,-5.5,0.0704,150.068
0.652,Lazza,0mHC3BK9vFGoEU0EcGPWRZ,CENERE,2,0.628,0.305,208324,-6.529,0.107,119.856
0.735,Geolier,7Da5kjy5GByLHE5OPQ4tpg,IL MALE CHE MI FAI (feat. Marracash),6,0.798,0.141,167339,-7.157,0.122,109.044
0.802,Rhove,3UYr4TdhtCthMH9ujhx0BA,Pelé,9,0.712,0.139,133859,-7.204,0.423,101.896
0.617,BLANCO,6ds6kgkB0qRSpSnxcBomCO,Un Briciolo Di Allegria (con MINA),2,0.707,0.467,207615,-4.31,0.0399,91.925
0.756,Geolier,5x9LonDyHxGUO2VzfHJHLE,COME VUOI,8,0.631,0.13,172615,-5.297,0.0502,130.052
0.761,Annalisa,1UcJs6RsX9upkeaFCNPBNs,Mon Amour,0,0.815,0.0078,203226,-3.023,0.0953,124.056
0.701,AriBeatz,4e1U6KRJGed8gh3uRbAv3P,"MIRAGE (feat. Ozuna, GIMS & Sfera Ebbasta)",7,0.601,0.0271,206282,-7.171,0.325,172.101
0.33,Tananai,74cyFjvgjyiFiQ3QxszFWq,TANGO,6,0.668,0.232,209062,-5.949,0.0613,127.228
0.781,Geolier,2E32Pv8w20r6ZH4oFecxOf,X CASO (feat. Sfera Ebbasta),10,0.464,0.334,215422,-6.88,0.0443,100.021
0.635,Marco Mengoni,4eI0ncpnZuv4A3ssTJRSDY,Due Vite,2,0.541,0.4,225653,-6.157,0.0314,116.938
0.633,Matteo Paolillo - Icaro,3X6QTmtaKukOu5lISJYi4g,ORIGAMI ALL'ALBA - CLARA,8,0.751,0.577,153759,-6.479,0.0643,143.91
0.621,Bizarrap,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",2,0.782,0.0125,198938,-5.548,0.044,128.033
