danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.68,Kudos,2sbvNhKsY8OUEwlbZb7hXV,Haien Kommer (Sharkdog),6,0.776,0.095,196693,-7.237,0.0897,144.038
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082
0.547,Brødrene Bausa,6lEjeruLQP9MAnKKzThhsv,Turné,3,0.57,0.422,174987,-7.673,0.0528,139.728
0.563,Alessandra,14LdhxElpZS0rKVV4nxtdA,Queen of Kings,4,0.908,0.0696,147980,-4.25,0.0868,125.972
0.742,UNDERGRUNN,4KjHgPOIsA8LlMwyAJRlfv,Michelin Stjerner,7,0.882,0.0622,184347,-3.606,0.0997,96.002
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.641,Morgan Sulele,4EtmxzuZK9NvRjdlpHD229,Danse En Gang Til,10,0.907,0.0285,128795,-4.312,0.0696,140.003
0.611,Emma Steinbakken,0oQOmpUTham7BqNPAMBImy,Delilah,0,0.581,0.295,158102,-8.52,0.0337,101.969
0.515,Albin Lee Meldau,2gwirjNHYJPlBwOJ5Aftwv,Josefin,4,0.454,0.836,221218,-10.119,0.0306,81.009
0.81,Roc Boyz,3gZrQYFNYJmRKeVcZMHy8w,Sett deg ned,2,0.572,0.0395,152000,-7.046,0.169,123.028
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.93,UNDERGRUNN,5OGnojWHysrkcgLzBAj2SA,Klikk,11,0.83,0.179,154763,-4.685,0.255,95.983
0.367,Emma Steinbakken,6TYFXyFTDZ6qwFPuBJfWpK,Floden,3,0.438,0.245,212962,-9.78,0.034,119.408
0.839,Johanne Holmedahl,3jpeo8JtADAgw5VViBifUN,Til Dovre Faller,0,0.639,0.0243,221205,-6.036,0.0593,117.952
0.748,UNDERGRUNN,3h2IRgTZrU4hSNCePszT23,Italia,11,0.703,0.0336,170281,-6.349,0.0464,110.011
0.742,Hagle,4docWah77XQ5t9jexaJKBG,Danse på panseret,1,0.892,0.0036,144000,-6.892,0.0534,105.009
0.74,UNDERGRUNN,0eoNXHlt2V32uXCy60jCCa,Lenge Leve,7,0.789,0.307,135347,-5.931,0.06,130.042
0.527,Dagny,6C5LnlnUGRZFASpBKVPJYw,Heartbreak In The Making,8,0.733,0.00708,194347,-3.64,0.0305,123.888
0.638,LongMen,6zLT7LoAaYD4F9Hwkt2wJ1,Pyton 2023 (Vet du vil ha meg),1,0.699,0.0174,187420,-9.814,0.493,144.727
0.652,RykkinnFella,0OdiUIuHz3W2178hAdC6rt,17. Mai er vi så glad i,4,0.593,0.151,154805,-8.957,0.363,127.928
0.584,Zara Larsson,4vOoQh9MhS9pyrbvc8LyMz,Can't Tame Her,6,0.915,0.00686,196940,-3.199,0.11,181.882
0.867,Ballinciaga,56kyGGwLIVAR30ZFiASn8Q,Dans På Bordet,8,0.699,0.15,143520,-3.436,0.0554,125.023
0.832,Broiler,6NaSSp1G4OUCZjTPXuZNP9,1,5,0.617,0.0911,112907,-8.412,0.055,125.994
0.561,David Guetta,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),7,0.965,0.00383,175238,-3.673,0.0343,128.04
0.602,David Guetta,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,7,0.91,0.00126,140018,-3.404,0.0308,127.944
0.707,Jonas Benyoub,3DEpiDGy8aebrTZrZB5CYY,TRILLE,5,0.781,0.0117,162017,-4.251,0.204,131.614
0.498,Post Malone,5w40ZYhbBMAlHYNDaVJIUu,Chemical,2,0.897,0.00136,184013,-4.907,0.045,169.902
0.59,Alan Walker,1rBTBbtkJlSDk78gg8Dw9F,Hero,5,0.681,0.046,175764,-7.289,0.0305,126.02
0.681,Noa Kirel,6dUregFbvUNqHP5nphqesK,Unicorn,6,0.868,0.0216,170900,-5.499,0.095,130.126
0.725,Ringnes-Ronny,7iWb4MyDsYf0GcE6mCCsJc,Helg,4,0.821,0.29,171009,-6.59,0.046,128.032
0.641,Ramón,7oodjYvd9RYhRjUufF2QTW,17.mai,10,0.674,0.49,158600,-9.184,0.0879,119.895
0.803,Kamelen,2nUlmWTApV6PdzUUATOawa,Damn Girl,0,0.79,0.057,151800,-6.325,0.167,125.134
0.591,vinni,7BUb5sLSVC8xIE54NN8Vx1,evig og alltid (med Emma Steinbakken),9,0.675,0.0303,184453,-5.923,0.256,120.029
0.586,Emma Steinbakken,2sozHYsnyu73izwt9BoSa5,Home,9,0.828,0.279,155418,-3.009,0.0936,139.929
0.709,Ballinciaga,3mrOghCXTH1wg1JliCHenY,En Shot,11,0.88,0.0575,144375,-7.129,0.0425,127.994
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.521,Chris Holsten,0cnyiYBUwlP64AtIN5FrRI,Rekk opp hånda,2,0.5,0.564,180127,-7.461,0.0363,124.756
0.818,C.Gambino,3pBTElvw1OK7pDDI3MR4qC,G63,5,0.506,0.284,162105,-10.91,0.201,113.981
0.732,Ringnes-Ronny,5CqyzTnsaP20NBBiDZZe5H,5 SHOTS,7,0.889,0.109,128772,-6.049,0.0637,140.0
0.635,Blackie,7IfJ76AmwueC2QiN3USbyt,WONDERLAND,8,0.689,0.218,141472,-6.715,0.113,105.308
0.752,Kris Winther,63W1J9kATzxUMbINhRwn3D,Barra Brava,1,0.868,0.0331,117333,-6.475,0.166,135.062
0.479,TIX,1dBfRwPwKEqyKuC6lBQcRz,STUDIO 23,7,0.912,0.0354,150353,-4.032,0.178,169.921
0.678,Lewis Capaldi,3W5KHP0Yr56ejVDns9vci3,Wish You The Best,3,0.48,0.588,210880,-3.607,0.0298,107.934
0.814,Rambow,0accAkIfqV6MxWMBCzk97y,F.H.D.S!,6,0.735,0.0325,158837,-4.613,0.0808,96.977
0.827,Karpe,2coLAzVouJE4BC8lrKbDLk,PAF.no,8,0.421,0.824,226706,-8.996,0.0609,98.041
0.799,Rema,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),11,0.802,0.429,239318,-5.196,0.0371,107.008
0.589,Vidar Villa,7Kbnj5tbe6b0N8u0uRgiSW,Fy Faen Så Deilig,0,0.826,0.12,156914,-4.549,0.0462,85.755
0.486,Jens Book-Jenssen,4S1De6Tx74tNuxyRODRLXY,"Norge i rødt, hvitt og blått - 2006 Remastered Version",5,0.74,0.632,201720,-7.405,0.049,114.651
0.701,Roc Boyz,2Ah0Z0ZFAhmfyJAakATMCR,Creem,4,0.837,0.0195,212160,-4.671,0.181,124.926
