danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002
0.904,BLANKA,3xxjYOFR1y7By2wNDS51XV,Solo,11,0.642,0.179,154710,-6.721,0.0401,98.945
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.858,sanah,7nWQQ9OhSt0w5umRS94PJV,Marcepan,5,0.729,0.34,188727,-6.733,0.0995,109.979
0.72,Kizo,6tARtPlcilM1u4tbAWgato,Taxi,7,0.772,0.221,180937,-6.354,0.237,128.029
0.563,Alessandra,14LdhxElpZS0rKVV4nxtdA,Queen of Kings,4,0.908,0.0696,147980,-4.25,0.0868,125.972
0.718,Kizo,31xzEogE9mXNUGF92kJqv1,COLOSSEUM,11,0.754,0.131,185600,-6.613,0.213,150.015
0.481,Szpaku,4ROC81h8HweWDJcSw0JtF9,UZUMAKI FORMA OSTATECZNA,6,0.581,0.487,198773,-8.056,0.131,80.821
0.37,Dawid Podsiadło,2yxPqxHbj1L7vrCpHLtAcG,mori,6,0.497,0.634,194827,-7.579,0.0501,125.032
0.857,Przemek.pro,62CjIeDBUEjvWp4PUuUCAR,Akropol,9,0.917,0.147,134897,-4.759,0.149,144.956
0.704,Måneskin,44Xyja7xYPlVC6v2CeweSi,GOSSIP (feat. Tom Morello),9,0.819,0.00176,168280,-2.974,0.0626,139.921
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.674,Oki,1ZZ7uFD6pS1Rt3ELtMqsSl,SPRZEDAŁEM SIĘ,2,0.76,0.0263,207720,-5.108,0.194,132.002
0.622,Białas,6eEOdkX7WzYUnK7pHj5Jdh,Uzi,1,0.584,0.166,175519,-6.83,0.0838,123.959
0.787,2115,3Nqxx5fdl3FQlrk3zarRmA,DRESSCODE,11,0.564,0.161,166333,-8.894,0.192,90.002
0.857,Przemek.pro,35XEhELJFZ1wEN1a444t9t,Fatamorgana,0,0.942,0.166,179556,-4.159,0.252,134.951
0.719,Kuban,0RM8O4t1Bhm5kqp0v6bdlp,na okrągło,7,0.526,0.33,188182,-8.337,0.253,175.891
0.681,Noa Kirel,6dUregFbvUNqHP5nphqesK,Unicorn,6,0.868,0.0216,170900,-5.499,0.095,130.126
0.681,ReTo,3ebV1wNl0sJZUMkS7T7K2g,Król jest nagi,9,0.695,0.141,184733,-7.389,0.264,160.143
0.636,club2020,09bXpqLbPGZum6I4lDcnMX,Malibu Barbie,5,0.688,0.185,189296,-7.573,0.096,141.869
0.648,Jann,0vbp3qthXlRVsLXTbPrkX1,Gladiator,8,0.785,0.173,211644,-5.73,0.0922,146.025
0.771,Cyrko,2VYT8yaxvwXyRvAWZqM7Ws,Prywatny bal,1,0.753,0.121,156800,-3.697,0.11,75.003
0.821,White 2115,5YvL3ytkusKcM5ozxD9fKN,RiRi,2,0.522,0.28,151107,-8.308,0.059,135.079
0.773,Favst,7vXWyqGHBqZi8oec17wYIl,ztb,8,0.847,0.174,207000,-6.731,0.193,110.025
0.733,Kuban,2LMXAlcaN53mR1eHiwnJbb,same zmartwienia,2,0.692,0.328,166579,-7.063,0.142,90.053
0.58,Smolasty,3FZPXHN1fgFeZEiXlMtosR,Herbata Z Imbirem,9,0.493,0.509,136619,-8.532,0.0359,125.154
0.419,sanah,384lHduuDsrR4HPUwR3fG4,Nic dwa razy (W. Szymborska),8,0.292,0.655,189000,-10.349,0.0684,197.158
0.708,FAST BOY,1YWr18dWRmuvPgAsPBsOow,Forget You,7,0.709,0.157,147987,-5.881,0.0641,128.034
0.509,Gibbs,3f9Ugg030LDe0p6ospTORC,Piękny Świat,4,0.765,0.0703,233425,-9.142,0.0763,90.356
0.763,ReTo,1UDGkY3eLCkufBwagAk2NT,Billy Kid,1,0.554,0.256,180531,-7.209,0.0627,140.052
0.717,Guzior,4BgTgPsNeDz2KG4QsshjL9,BLUEBERRY,6,0.725,0.467,176000,-6.287,0.162,119.926
0.682,White 2115,2nFaT0t36H6UX3wN3Vxvjm,California,2,0.675,0.251,192760,-8.29,0.0486,134.974
0.705,Tiësto,3IhM5Mber8KA0NaRNpK2px,Lay Low,9,0.663,0.18,140160,-5.289,0.0367,124.988
0.626,Daria Zawiałow,3VjEZW12YW8yIxjKIzUZfi,FIFI HOLLYWOOD,6,0.731,0.0139,183885,-6.831,0.0303,139.038
0.663,Dawid Podsiadło,5GdFPcbGDQqtbVO2jl6Ez5,To co masz Ty!,0,0.811,0.0103,215453,-6.614,0.0301,119.03
0.77,Waima,4II2mvGJcwuiXJe4CvLUIe,Hotline,2,0.575,0.0666,155955,-11.883,0.156,96.494
0.689,Joker Out,14ibwN44PVKuvEqLiaNkKu,Carpe Diem,1,0.663,0.00906,165703,-8.778,0.0427,131.936
0.711,Kizo,17zc6mHfcteESkUnIusMd3,Avatar,0,0.87,0.0202,169714,-5.756,0.085,139.952
0.632,Kubańczyk,7ADOC6GgrL0WlJEQ0ERKru,Ta Noc,11,0.801,0.0467,181200,-5.521,0.0425,100.192
0.544,club2020,6Zqigzh6qzzkJyEuYAR0oh,Landlord,7,0.643,0.0807,190909,-6.732,0.357,132.046
0.799,Rema,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),11,0.802,0.429,239318,-5.196,0.0371,107.008
0.572,Popek,1mgtLt6PfNvYCmYQAiOzI5,Wodospady,6,0.857,0.3,182000,-7.511,0.0984,137.016
0.812,Vito Bambino,5T8U0S9VDlzyVOKb4pRRPP,Ulek i Dawcia,7,0.65,0.351,260240,-10.389,0.103,119.907
0.561,David Guetta,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),7,0.965,0.00383,175238,-3.673,0.0343,128.04
0.664,Miszel,6t2QcPF3STBCrqjOW7VECE,dres,8,0.617,0.352,175000,-8.804,0.115,146.098
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95
0.873,Matlane,1ryBtjEDxoMI1YsHzJ3zRw,Dach,1,0.481,0.424,149508,-10.486,0.0712,122.057
0.718,La Zarra,18ZX6YaDSOopXPRvfIh8DM,Évidemment,11,0.743,0.129,181000,-4.581,0.069,120.044
0.636,Calvin Harris,5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),9,0.869,0.0378,186496,-5.289,0.0412,143.011
