danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.644,rares,2BsJFgVnk4FYTyzyovwQ5A,"La tine și la bani - From ""Romina VTM"" The Movie",10,0.696,0.359,145618,-5.116,0.158,177.773
0.752,Tzanca Uraganu,65uHYuqIZqueZNG6DbpSJi,Emirate,6,0.88,0.0667,129000,-4.033,0.248,160.046
0.844,Iuly Neamtu,7jOlpikiyyYEpPGeJQdcnM,"Lalele mentolate - From ""Romina VTM"" The Movie",5,0.759,0.649,135146,-4.529,0.0739,103.045
0.757,Jador,0PrEHlFBgEsAxwJ3oKgxX3,Skinny,6,0.8,0.39,166765,-2.521,0.132,170.068
0.88,Ian,09Ylu166NCvXW8ZY4lA39W,Timeout,1,0.797,0.266,76460,-6.104,0.0344,112.898
0.72,6ix9ine,4epHhc2lvhFYzMlKA23O3G,MALA,5,0.825,0.689,206550,-3.627,0.0424,100.008
0.867,Tzanca Uraganu,1cr9iS5IDEcrxNrRszr6wr,"Trotinete - From ""Romina VTM"" The Movie",7,0.933,0.344,169412,-4.064,0.0731,170.071
0.895,Tzanca Uraganu,4i9Ul89UPf5YPppdOspCH6,Havana,2,0.578,0.349,165882,-4.895,0.081,135.965
0.811,Delia,7Kc7iJU1ZPjna0890AX8J7,Lololo,2,0.519,0.0307,132604,-5.813,0.131,144.99
0.911,Bogdan DLP,4vc40DbwS0XjindGtlZkwq,Ebal - From “Romina VTM” The Movie,9,0.743,0.179,148238,-5.262,0.177,144.057
0.759,Costel Biju,3ELepxj3JfSWBMcAacT8d8,Antalya,9,0.594,0.034,121263,-7.532,0.0484,95.053
0.876,AlbertNbn,043xuu25Tey8erikkqAoIT,Terorist,8,0.83,0.144,158298,-5.278,0.163,93.98
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082
0.698,RAVA,7q7KhsazHZG8EM8Qt08YmO,BULIBA$HA,7,0.713,0.67,97391,-5.743,0.144,138.252
0.652,RAVA,3id20FwrVRUnH1jX86SWfr,RĂMAS BUN & KATAPULTA,6,0.823,0.149,213818,-6.167,0.107,165.014
0.843,4 226,54AaoVuA8xhAiiOq56cbd5,SEMAKA,2,0.526,0.0707,220000,-6.775,0.096,124.123
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002
0.873,RAVA,0EIUssA2gv881GM16RzSQy,SHOTGUN,1,0.539,0.0524,166286,-8.138,0.0972,87.502
0.69,Vescan,3NP3h1rnq4cksYTAhLrmx0,Colegi de apartament,9,0.703,0.539,237706,-5.876,0.164,170.006
0.722,M.G.L.,2GH3qovtX07peehotrxoxA,PACHETE,2,0.666,0.0652,157714,-8.822,0.187,175.001
0.662,RAVA,60sy8u1IoawaNCSKG0g7t9,IN LIPSA TA,11,0.615,0.183,192000,-6.322,0.0338,149.974
0.747,Stefan Costea,5QfTd25qZ0lCIUC4zMWWUq,Seara De Seara,10,0.401,0.332,173913,-6.246,0.0374,118.727
0.874,Alex Velea,0OTJA25ZML2VwZA1AFt7Gv,Dau în ei ca-n aparate,11,0.815,0.0879,162508,-4.358,0.155,95.953
0.8,Ian,1AjiCgTkzq2QeGw8G3gBRR,E,4,0.534,0.123,167853,-7.327,0.079,162.952
0.804,M.G.L.,5h1Zucrq9PfrPdMBryoTW5,CONTACT FATAL 2,8,0.702,0.237,145846,-6.583,0.0821,130.075
0.821,Ian,4XLLdFJdwmvdtkwQuXAFut,La san,5,0.682,0.0474,207435,-9.65,0.0644,94.014
0.683,Petre Stefan,0AFTEC66MiVSaRN0AobM2n,Sânge pe pat și pe podea,1,0.643,0.628,169542,-8.196,0.046,117.99
0.812,Ian,5jjPoxrz3NRainOx1DtAPv,Urgențe,2,0.766,0.00218,200179,-6.631,0.0797,155.977
0.654,Aerozen,4ZIUTq57n9YpRCIl5WLM0i,BUGATTI,9,0.79,0.000229,160552,-6.119,0.0448,144.916
0.722,Stefan Costea,2Vvb9PCb8Sg6nwjvzb0Kwo,Lipsa Ta,5,0.518,0.594,196535,-8.909,0.0911,126.905
0.861,Tzanca Uraganu,1KDSdCDKLSVJNREpp7OICq,Alo baza baza,10,0.669,0.0789,173174,-8.798,0.426,74.99
0.702,Iuly Neamtu,1b8wUmTTj17WAEHlu9UFsl,Test Drive,6,0.822,0.161,150957,-5.253,0.293,188.21
0.705,Iuly Neamtu,26i4jKBlWSrlzpiB9V9gDB,Fata cu paharul,6,0.616,0.0665,142166,-4.603,0.21,171.956
0.855,Connect-R,5H0LWXNKJAaSnlPwDN4OeC,Lasa-ma Sa Te...,6,0.715,0.203,207458,-6.02,0.0628,118.044
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.727,YNY Sebi,6r2UqgPxaMxZEXwrOnZ7bm,Tarabanele,2,0.827,0.0139,139780,-3.464,0.047,91.015
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95
0.938,NLE Choppa,0WoVfPjxsf9MTvPt9ptqeE,SLUT ME OUT,6,0.606,0.117,123673,-6.396,0.419,121.108
0.866,Ian,1YvYEbR7ITXJ0Msk4ORZxY,Lumea asta,5,0.561,0.0141,166788,-7.92,0.119,134.932
0.342,IDK,0yssm9ttK7TvO7QymKJlVT,Stai,9,0.398,0.744,170286,-9.803,0.0627,73.355
0.723,Tzanca Uraganu,4FG6TOqiQprPinFIAY3Zr5,Te-am vazut fara inel,10,0.827,0.0116,177000,-5.409,0.0528,160.076
0.687,Bogdan DLP,4j8mVMGhUkL2mCZnebKSPL,Libera,5,0.721,0.0247,171429,-6.73,0.0844,139.976
0.828,Berechet,5NqkejuzfUFg1cGF1YBv90,Bam Bam Bam,6,0.812,0.433,119877,-6.309,0.197,161.027
0.684,Metro Boomin,2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),7,0.671,0.189,199920,-4.392,0.0464,88.048
0.798,Ian,7FnJTkhJlH9DnRoa73SvNq,Piramida,8,0.605,0.00871,180063,-8.017,0.0517,119.999
0.882,Tzanca Uraganu,7l1amnUcwOBdJQtLEmMKNi,Banii,6,0.767,0.101,136875,-4.598,0.199,160.034
0.792,Costel Biju,6jrg6XKjDtvFGp11a0JQZQ,Gipsy Style,9,0.845,0.0511,188355,-3.339,0.0615,157.948
0.724,M.G.L.,3YCtgIn37ssc8PQmw6WLC5,"MARATON - From ""Haita De Acțiune"" The Movie",4,0.708,0.107,158298,-5.868,0.0424,93.985
0.777,Bogdan DLP,1C0G4YZEz2eOQlL2HfbyFO,Dacă n-ai bani,10,0.805,0.114,197333,-5.376,0.139,179.953
0.627,M.G.L.,5IqPGGvekdnZis9XhcyXeh,CONTACT FATAL,2,0.511,0.23,159600,-6.839,0.459,171.944
