danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.711,Calin,1tpWtFdAuY9chjl5YhzsTP,Safír,8,0.578,0.0737,149589,-7.759,0.0814,146.097
0.762,Separ,4WXX611x1aCtwcqVJgA3xb,Sunset,1,0.805,0.237,155520,-6.63,0.386,124.977
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.833,Separ,1BnuGuGGEv1mIpJEmDZ5nq,Nemam mood,6,0.797,0.329,193636,-7.156,0.092,131.98
0.706,STEIN27,5FXDsBtTJRSMmmWhFxhAI0,Habibi,5,0.65,0.0021,146939,-7.791,0.249,147.015
0.785,Fobia Kid,55spL5CkRMLeP3QCmi07e0,Wake Up,2,0.741,0.0291,166709,-5.263,0.0739,103.946
0.796,Separ,7Hv3RbeEI9ynt6S7dIm3iT,Intro,9,0.697,0.585,119111,-7.524,0.0631,135.071
0.657,Samey,09MbMeMVENgLv6Z9ogzkuG,Valeriya,11,0.572,0.0544,120828,-6.489,0.362,145.064
0.647,Calin,0Pl0foFNy1vuVgx1NHVjSE,Dívej,1,0.551,0.125,155493,-7.812,0.205,141.913
0.583,Calin,2sXnat46y10FtAbW2A0ira,Hannah Montana,6,0.784,0.0621,158608,-6.708,0.0882,135.08
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.447,Separ,1qHZrVjQrXxpb0lTdOmM7K,Reťaze,2,0.602,0.625,188219,-6.872,0.405,73.257
0.797,Separ,7247XU3UTRstBd3T3SmtZV,Nočná,1,0.689,0.0759,247869,-6.072,0.0649,122.01
0.865,Pil C,0fP30PpvCS3AB4hBN91GPY,Inverzia,10,0.546,0.131,204600,-6.534,0.0707,115.041
0.778,Calin,163UXyyrFlAIQapVN3DqIp,Praha/Vídeň,6,0.449,0.41,162462,-7.464,0.0339,130.007
0.561,David Guetta,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),7,0.965,0.00383,175238,-3.673,0.0343,128.04
0.705,Tiësto,3IhM5Mber8KA0NaRNpK2px,Lay Low,9,0.663,0.18,140160,-5.289,0.0367,124.988
0.848,Calin,4enbO9cZhJLSZ6Tf21LRnv,Cikády,11,0.537,0.0935,168923,-8.671,0.0571,130.013
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082
0.577,Separ,6clPWgnz75XivASY6qgJVs,New York Freestyle,4,0.714,0.382,213147,-5.134,0.396,105.059
0.787,Separ,2Sn77SmatEM9xT0bWDhQho,Zachráň moju dušu,9,0.475,0.714,205352,-7.738,0.336,142.02
0.533,Viktor Sheen,0J3SIAOndpL1MS2Vq2RMQ9,Stíny,8,0.784,0.0756,172541,-6.578,0.164,92.42
0.52,Separ,1Ts222mGd174xN3ClQRzSw,Hejtklub 11,1,0.698,0.116,142083,-6.288,0.231,145.656
0.889,Separ,6uVVo6JGbwnrtCTCo1YRmk,No signal,8,0.595,0.159,210000,-6.137,0.327,140.007
0.442,Tom Odell,7jtQIBanIiJOMS6RyCx6jZ,Another Love,4,0.538,0.717,244360,-8.55,0.0451,122.758
0.765,SIMILIVINLIFE,0OsN3na3JJI2502qObTqsG,Môj typ ženy,0,0.409,0.764,156803,-8.7,0.227,94.899
0.762,Calin,1iOXr3xZSuF62boF7ygB6L,Benz,2,0.742,0.309,124615,-6.984,0.205,104.063
0.604,Calin,4ToxkJ4VvWs026R3QfHDI3,Santé,2,0.649,0.4,114000,-8.458,0.0524,120.111
0.717,Separ,635RTDI2CLBirWFSF3HhEC,Hej,11,0.698,0.334,175032,-5.258,0.0954,156.782
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95
0.637,Eminem,561jH07mF1jHuk7KlaeF0s,Mockingbird,0,0.678,0.209,250760,-3.798,0.266,84.039
0.746,Separ,3OrNfhm56VJ9iSV1flohNj,Uuuu,2,0.806,0.472,193199,-7.351,0.36,105.96
