danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082
0.703,Hov1,1VJBnmHm3gUyJnPKetgC3j,Grät,3,0.369,0.871,194394,-8.697,0.064,95.203
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002
0.733,ADAAM,0Apl0ndMj1fWIY6rnD7gnY,17,1,0.837,0.155,151000,-6.304,0.161,150.073
0.617,Bolaget,4o5Ob60pz8QHcFKcr4MWyf,Ikväll Igen,0,0.529,0.498,137727,-7.931,0.0957,165.015
0.676,Victor Leksell,6HuNgzEw9b4tDcSDCQBS1O,Fånga mig när jag faller,7,0.47,0.323,147880,-9.238,0.0335,105.985
0.563,Alessandra,14LdhxElpZS0rKVV4nxtdA,Queen of Kings,4,0.908,0.0696,147980,-4.25,0.0868,125.972
0.671,Thomas Stenström,7tHkIqI9XU8qCfLHIzl0pp,Andas in andas ut,11,0.536,0.24,156760,-7.499,0.0353,98.865
0.806,Naod,3i9UKYqNJtG0ufxxYimRu1,Dum av dej,1,0.628,0.0504,159429,-8.267,0.258,96.573
0.615,Eah Jé,1r5nCkDun9Rg73A5KGWZB0,Beroendeframkallande,2,0.561,0.544,182995,-8.505,0.0949,79.917
0.562,Yasin,4FGvRqZ1pPaflN2jjLBMB9,Har Dig,5,0.43,0.524,202955,-11.255,0.449,131.737
0.781,Hov1,2c8wnqPxPUXtxNSJN9b4cS,Lilla B,0,0.592,0.643,178191,-6.072,0.132,101.918
0.721,Bolaget,6KOzO2mUwSwe8a9GiJAn7X,Kan Inte Gå,11,0.414,0.219,146719,-9.104,0.132,144.758
0.584,Zara Larsson,4vOoQh9MhS9pyrbvc8LyMz,Can't Tame Her,6,0.915,0.00686,196940,-3.199,0.11,181.882
0.866,Sarettii,2g6O4J9ktUjorMkgyhglYP,WAKA WAKA,6,0.515,0.366,166216,-9.466,0.323,130.003
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.515,Albin Lee Meldau,2gwirjNHYJPlBwOJ5Aftwv,Josefin,4,0.454,0.836,221218,-10.119,0.0306,81.009
0.556,Rasmus Gozzi,74xfr2lyWfi2qZjWtqovBg,RID MIG SOM EN DALAHÄST,2,0.674,0.207,121220,-5.518,0.363,208.066
0.504,Ant Wan,2dSAFb1xzoJffGzfxU4BaE,En till dans,9,0.589,0.555,200412,-7.327,0.266,94.496
0.818,C.Gambino,3pBTElvw1OK7pDDI3MR4qC,G63,5,0.506,0.284,162105,-10.91,0.201,113.981
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.45,Darin,22WLD0thQ96SRCJ0azSCIX,Starkare,4,0.544,0.183,145284,-6.829,0.0411,168.263
0.825,Hooja,44g4gsmitW2Yjv0Sdo9Jrz,HAPPIS,7,0.573,0.705,156000,-7.329,0.0814,100.012
0.69,Jireel,45OulrUXeS81JnnRW7QXwz,Ledare,11,0.871,0.0296,161259,-4.119,0.177,144.935
