danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.496,Remo Forrer,4ih4oGbMt9b6PbKhTPbAmw,Watergun,8,0.357,0.211,172555,-13.42,0.0351,137.96
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.55,Udo Lindenberg,7oQepKHmXDaPC3rgeLRvQu,Komet,7,0.5,0.285,167357,-5.779,0.045,115.016
0.637,Eminem,561jH07mF1jHuk7KlaeF0s,Mockingbird,0,0.678,0.209,250760,-3.798,0.266,84.039
0.68,RAF Camora,2H4HtOA24KXUYiINpGZ1ju,ANNA,5,0.692,0.0952,144200,-6.924,0.0471,89.967
0.561,David Guetta,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),7,0.965,0.00383,175238,-3.673,0.0343,128.04
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082
0.563,Alessandra,14LdhxElpZS0rKVV4nxtdA,Queen of Kings,4,0.908,0.0696,147980,-4.25,0.0868,125.972
0.768,ROSALÍA,609E1JCInJncactoMmkDon,BESO,5,0.644,0.736,194543,-6.671,0.136,95.05
0.713,No Limit,7EO5oDxrq2dvYDgBjFvFYY,LA RUE,2,0.59,0.348,225137,-8.651,0.196,138.065
0.442,Tom Odell,7jtQIBanIiJOMS6RyCx6jZ,Another Love,4,0.538,0.717,244360,-8.55,0.0451,122.758
0.801,reezy,1t3DUBo9FDyH8vROTU4fAi,EXPENSIVE SHIT,10,0.707,0.0415,179623,-6.298,0.415,150.006
0.8,EAZ,4i81SNeu64liIEAytWqIOK,Juicy,9,0.67,0.156,165066,-5.74,0.0671,100.981
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95
0.52,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,As It Was,6,0.731,0.342,167303,-5.338,0.0557,173.93
0.635,Marco Mengoni,4eI0ncpnZuv4A3ssTJRSDY,Due Vite,2,0.541,0.4,225653,-6.157,0.0314,116.938
0.616,HoodBlaq,1ZKMMvWLhxXlk7VXqS7YRG,PASS AUF,3,0.646,0.158,205994,-5.349,0.0662,124.772
0.697,OneRepublic,4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,0,0.802,0.0988,148120,-6.412,0.0456,139.951
0.602,David Guetta,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,7,0.91,0.00126,140018,-3.404,0.0308,127.944
0.793,Ed Sheeran,3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,11,0.52,0.246,194926,-7.457,0.0696,107.014
0.633,Macklemore,22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),2,0.927,0.0267,258432,-4.468,0.0839,146.097
0.621,Bizarrap,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",2,0.782,0.0125,198938,-5.548,0.044,128.033
0.738,Butrint Imeri,3GmMr6bhIzmtyjeb5ru0tD,Diskoteka,9,0.705,0.145,174625,-4.178,0.0312,91.02
0.573,Libianca,26b3oVLrRUaaybJulow9kz,People,10,0.422,0.551,184791,-7.621,0.0678,124.357
0.814,Rema,3BnDvpeuGOj21Ir2aVEtQo,Calm Down,11,0.789,0.365,219669,-6.29,0.0405,107.003
0.618,RAF Camora,4taclmQm9wFcK4dKQjR5ny,All Night,9,0.84,0.0822,153675,-6.213,0.164,97.704
0.792,Ayra Starr,1xs8bOvm3IzEYmcLJVOc34,Rush,1,0.503,0.0369,185093,-8.044,0.0626,99.97
0.705,Tiësto,3IhM5Mber8KA0NaRNpK2px,Lay Low,9,0.663,0.18,140160,-5.289,0.0367,124.988
0.565,Rosa Linn,6zJejIfVYLgjud3lTk4DLB,SNAP,0,0.636,0.107,179551,-8.198,0.0638,170.01
0.799,Rema,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),11,0.802,0.429,239318,-5.196,0.0371,107.008
0.712,Sam Smith,0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),2,0.463,0.011,156943,-7.399,0.0797,131.199
0.647,Samra,6VzzDH0vafw2Lwye7pvlaC,Müde,11,0.767,0.151,182529,-6.436,0.388,100.079
0.624,Nimo,2xve0qJZJkcJD4BlwXg1xs,Du,1,0.615,0.0567,174084,-7.407,0.231,142.469
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.671,Lost Frequencies,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,6,0.636,0.515,148197,-8.117,0.103,120.966
0.616,Felix Jaehn,5YdnOm5990Kfq1Jodws98B,Call It Love,5,0.841,0.0559,154561,-4.779,0.076,110.029
0.687,Ninho,7DOqkqVZuvPhKIAtVXjZo1,Freestyle LVL UP 2,11,0.824,0.293,149065,-5.066,0.365,187.544
0.841,Apache 207,0pC6XqDVKQC4czY2bgF7nj,Neunzig,5,0.818,0.00113,145607,-4.682,0.0465,129.002
0.867,Naps,2f8JQJctq8LZtaq6Hgdgb8,C'est carré le S,0,0.723,0.281,201533,-4.276,0.125,135.033
0.72,KAROL G,0DWdj2oZMBFSzRsi2Cvfzf,TQG,4,0.63,0.673,199440,-3.547,0.277,179.974
0.811,Capital Bra,5X0ANp8KSvFqM59xAvhIpk,Bentley in weiss,8,0.669,0.102,134090,-6.92,0.338,95.005
0.71,Heuss L'enfoiré,5BfCoUcWNXcpyJfjXRIeyC,Moulaga,7,0.699,0.327,179868,-4.664,0.1,125.051
0.686,Eminem,1v7L65Lzy0j0vdpRjJewt1,Lose Yourself,2,0.735,0.00921,322227,-4.616,0.264,171.355
0.501,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,1,0.405,0.751,182161,-5.679,0.0319,109.891
0.644,SZA,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,8,0.735,0.0521,153947,-5.747,0.0391,88.98
0.797,Luciano,7sJNeWTXkZCEC7OnFMpGWL,Bamba (feat. Aitch & BIA),10,0.791,0.119,203560,-6.281,0.33,138.026
0.788,Ed Sheeran,3xWGA8pa0IKFI7IMPri4P0,Shivers,2,0.859,0.281,207853,-2.724,0.0856,141.02
0.688,Ninho,6RLVnSWFkT7ywpXv0XyRhY,Freestyle LVL UP 1,2,0.676,0.422,114183,-6.984,0.247,180.075
