danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.588,ALIZADE,4UySkSnMBKf1PS32agnwxp,24/7,11,0.714,0.00362,186353,-6.262,0.202,169.954
0.712,Semicenk,10Sa2Mpma0EHWKLuyyrBdq,Geri Dönemedim,3,0.695,0.297,147000,-4.34,0.134,159.943
0.619,Semicenk,0mYqW8vhiw9rgwSwB21JQz,Canın Sağ Olsun,7,0.686,0.0683,180000,-9.631,0.0303,120.011
0.556,Simge,4o4kbDP7DMVFPwAf5D5bj9,Aşkın Olayım,5,0.582,0.23,251780,-8.368,0.0414,75.976
0.711,Heijan,72HD3OMs70hTZlbKVVd1rG,Aynen,1,0.512,0.0815,184284,-11.057,0.124,148.046
0.793,Semicenk,7p0ODIG60DRkcTiVlJPgck,Yana Yana,8,0.718,0.111,147905,-5.787,0.0609,99.967
0.701,Sibel Can,4IjSOaCoGkP9Lqd5U8YeP0,Diken Mi Gül Mü?,9,0.568,0.124,208037,-7.499,0.0617,100.008
0.558,Lvbel C5,4ist5GP5r7UDz9gdsiJmYd,NKBİ X YAPAMAM - Remix,2,0.67,0.0102,182400,-6.813,0.0344,99.999
0.724,BLOK3,232LbugfZaCUwq82xiELtd,BAYBAY,3,0.569,0.216,191276,-10.431,0.135,145.009
0.648,BLOK3,2Id54XtcFLHSe0JNfHR45k,YAPTIRICAZ TIRNAKLARINI,10,0.805,0.166,141072,-9.01,0.129,144.065
0.646,BLOK3,3WCrBnWabeuTk2wr6UwaYV,AFFETMEM,3,0.685,0.586,182117,-11.027,0.0762,142.115
0.839,Semicenk,7dWOeNUJfixlvUcpZD90YE,Sevecek Sandım,1,0.633,0.36,169221,-4.921,0.117,93.984
0.444,Velet,4dGAUUU1IoXxxB0fCJYBGL,Gözlerimi Kapattım,2,0.482,0.0433,171008,-10.93,0.0372,79.957
0.632,Paptircem,3X7Iy2X4NRbb8gbDYb2xVq,Padişahım,5,0.855,0.218,153562,-8.698,0.0493,159.998
0.69,İrem Derici,2MvC6PUwqLJbM3qluKK5EF,Yaz Gülü,5,0.807,0.00614,187636,-4.866,0.0386,109.981
0.613,BLOK3,2Nt4eocAv9wi1vHshhSdpF,VUR,1,0.566,0.355,190271,-13.714,0.153,143.011
0.674,Mabel Matiz,6Trva7pHXIFHRa5QaGLGdK,Fan,8,0.774,0.0935,217680,-7.333,0.0499,95.005
0.87,Lvbel C5,0TbeXCwQz1oSK5eZVLnEIn,GAZ PEDAL,2,0.75,0.113,145016,-4.902,0.135,119.982
0.789,cakal,7Ebb2WheOGGauCH2wuQB55,Diyardan Diyara,4,0.703,0.052,149732,-5.437,0.0969,105.037
0.719,Semicenk,2Pe8d9oClBgLkkz2N35AiN,Unutmak Öyle Kolay Mı Sandın,8,0.643,0.606,144864,-7.001,0.111,91.963
0.551,Sibel Can,7859Rvo6wXeImidBRL2dUZ,Padişah,5,0.805,0.733,232160,-5.266,0.0629,175.38
0.66,KÖFN,7toL7Re9rApzIuIFDaLQSe,Bi' Tek Ben Anlarım,7,0.529,0.0828,196250,-10.502,0.0762,96.009
0.7,Mert Demir,4OH5Cd8ZOI1eSgJSC9PYmU,Antidepresan,11,0.589,0.0297,240125,-9.974,0.0281,100.014
0.785,UZI,5flH7FY4ledAQboO5a0XQ5,SENIN UGRUNA,1,0.638,0.357,122000,-7.081,0.109,127.058
0.71,Halodayı,0K2nzvf5Pn6IO0Xyt36iNi,Özür,7,0.52,0.423,135417,-9.2,0.137,143.953
0.805,cakal,3ctKyKjBeJNtqqGaFNoJX8,HAYRAN KALICAN,10,0.743,0.107,97722,-5.909,0.124,134.998
0.669,Semicenk,05QuKF12UfS8ReyTQKbs4o,Masal Gibi,10,0.417,0.381,150419,-14.185,0.0655,83.034
0.663,Mabel Matiz,316cvDPqqrdY6P2hkaqaBl,Aferin,0,0.716,0.303,225700,-7.477,0.0484,140.086
0.792,Hande Yener,38t5dhK8APbBXzqGpPgTJP,Benden Bir Tane Daha Yok,11,0.672,0.259,139304,-13.181,0.277,97.017
0.555,Hadise,10SXKV8mddSJm6Dsj0Oe4s,Feryat,7,0.524,0.334,185061,-7.824,0.0543,174.138
0.849,Heijan,6P5sYzj0nLufLSiLgcnEUA,İmparator,2,0.548,0.125,124716,-11.523,0.441,92.485
0.807,B4TU INC.,3x8hqraew3LLsZENdhGv3P,MERVE - Masada Chivas,2,0.763,0.481,159112,-3.229,0.0509,126.016
0.388,Dedublüman,5ATwkalJ9FnLp7Zcvxo1rl,Belki,1,0.496,0.317,163451,-8.707,0.03,183.965
0.685,UZI,4wLpDd099QT7TmNpMkFIvT,ZOR,4,0.661,0.838,171642,-9.014,0.208,103.964
0.44,Mavi Gri,3ABGx9FyeEdMCjDR5TyfdV,Ölümle Yaşam Arasında,8,0.624,0.547,176053,-7.12,0.0347,152.185
0.479,Mavi Gri,13THdxqHT11aSk3G8nUDzZ,Altüst Olmuşum,9,0.527,0.247,202425,-11.482,0.0271,82.933
0.643,Burak Bulut,0zQ8vXWLqSyBi5bYebveW1,Cano,6,0.56,0.541,161505,-8.437,0.0488,133.064
0.489,Mabel Matiz,3QopdONAzZHRO1P4UQrNvw,Fırtınadayım,9,0.684,0.122,262166,-5.73,0.0334,109.941
0.473,Dedublüman,6t18CcJVpnFAoWfcZxiZtk,Sakladığın Bir Şeyler Var,1,0.839,0.19,196800,-7.837,0.0399,100.033
0.735,Ati242,4HuB9A0O1XwmwTVtTgODm8,25,11,0.743,0.318,210044,-8.21,0.153,120.031
0.777,Can7,7dC9xFO2FYKmnRwJsa936V,KUM SAATİ,9,0.743,0.0465,116948,-7.065,0.283,139.96
0.886,DEHA INC.,3HoHBzUrwYNbzXGKfHIRAT,TALIBANA,9,0.567,0.118,158054,-10.684,0.189,123.018
0.622,KÖFN,6Uaw8GEKP6AxIMNUyi6q6w,Al Aramızdan,6,0.699,0.102,171383,-8.539,0.0404,94.001
0.857,Sefo,0NJJ31ggDI7aODrLYZQkgV,Veda Saati,1,0.654,0.166,147760,-7.529,0.151,93.997
0.737,Motive,1MbZ6YY51arGV7mqeAb0y4,10MG,1,0.488,0.595,141968,-9.751,0.196,127.124
0.369,Dedublüman,4WBMMoqjsofE9fdSXSU41S,Firuze,9,0.858,0.114,195957,-6.574,0.0644,150.035
0.676,ATE,38QSynLcDBfbETORhSsssH,Diğer Yarım,1,0.758,0.133,142854,-6.92,0.124,95.06
0.708,Lil Zey,6bZXS4iBLq09KhK6Mr569I,DEFOL,7,0.886,0.0194,173987,-6.068,0.201,145.098
0.629,RECO,65h8gl5wiNOBjlvQxzlj1i,GİDERSİN ARAYA,1,0.953,0.263,150857,-4.663,0.339,140.12
0.421,Mavi,5Ll8YoELGiZ3jeoaY3TABg,gözlerindeki ay,10,0.654,0.0157,189333,-7.563,0.0365,90.077
