danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.906,kizaru,2PpAAi4RMQKof0Ya3JEJfU,Зеркало,8,0.735,0.0722,152000,-6.147,0.161,150.035
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082
0.773,xxxmanera,5lo91NO6ZaP656Wy28dez1,Скажи мне кто ты,6,0.544,0.0134,118378,-8.309,0.0573,147.935
0.761,YAKTAK,66Xj2OpnDALdW0G509b9yY,Погляд,9,0.793,0.0908,176727,-4.578,0.0469,110.043
0.648,Jann,0vbp3qthXlRVsLXTbPrkX1,Gladiator,8,0.785,0.173,211644,-5.73,0.0922,146.025
0.529,TVORCHI,155yInH5aDNEI1MkcX6NNk,Heart of Steel - Eurovision Version,8,0.523,0.00738,158462,-7.837,0.0466,78.088
0.729,INTERWORLD,3J5y9v6vK5ginTnMroJ1Nn,METAMORPHOSIS 3,1,0.85,0.101,128016,-4.317,0.0586,119.997
0.527,SadSvit,61BaxM1NIcadLu3gtWm2uT,Силуети,8,0.861,0.0155,177346,-6.73,0.0388,77.498
0.691,Parfeniuk,0vByMmR3Y8MBorEEE5Pmie,Відриваючись,9,0.68,0.53,149832,-6.478,0.0426,125.033
0.747,YAKTAK,3gH5vuIvlmzHQkPGmbkXND,Порічка,11,0.711,0.348,159000,-5.448,0.0645,125.487
0.666,Pepel Nahudi,7FbLIFBTQiSu1bHP3BQoWl,Заново завоевать,2,0.505,0.00674,112385,-8.303,0.0515,130.005
0.72,Wellboy,6gtK39SLszESqJFu2SkId3,Додому,7,0.674,0.125,92075,-7.344,0.0828,76.617
0.292,Kill Eva,4rhFCNBhQwQmrNzN6WcPTQ,Psycho Dreams (Sped Up),5,0.603,0.000788,123333,-5.711,0.045,158.061
0.698,SHUMEI,0LydTnU3RQKbgMCKFWQ5nS,Буревіями,5,0.51,0.464,227560,-6.268,0.0423,129.979
0.826,Skofka,4Yzlz45QgjUKZmN2KrK4AP,Чути гімн,9,0.4,0.439,148193,-12.597,0.316,120.047
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.593,INTERWORLD,2ksyzVfU0WJoBpu8otr4pz,METAMORPHOSIS,7,0.641,0.426,142839,-12.727,0.0992,175.014
0.587,madk1d,5OINAHhtxYnLi62jWszSNs,Толпы,1,0.92,0.00119,90430,-4.279,0.483,162.612
0.643,xxxmanera,21LIoC4ZxT3F8xq9gidNbX,Never Broke Again,1,0.573,0.0126,108069,-6.992,0.0466,139.94
0.73,ThxSoMch,1N8TTK1Uoy7UvQNUazfUt5,SPIT IN MY FACE!,8,0.785,0.0464,147875,-6.512,0.0554,94.094
0.869,DOROFEEVA,7krNeHssTmY3ijTox4OBbD,Щоб не було,11,0.456,0.681,110526,-8.533,0.497,114.136
0.743,glichery,3VvcKToPY3diGRjERt8NvD,Sea Of Problems,7,0.684,0.00335,110625,-10.807,0.033,127.996
0.713,Skofka,16buytNF31fLKzDP9q7ZEg,Погані сусіди,0,0.492,0.404,173143,-8.043,0.0314,140.057
0.721,Artem Pivovarov,7tHooYkoaE0myuzkPjyNHX,Очі,1,0.864,0.0811,199387,-3.058,0.0676,106.0
0.689,Joker Out,14ibwN44PVKuvEqLiaNkKu,Carpe Diem,1,0.663,0.00906,165703,-8.778,0.0427,131.936
0.563,Alessandra,14LdhxElpZS0rKVV4nxtdA,Queen of Kings,4,0.908,0.0696,147980,-4.25,0.0868,125.972
0.712,Kordhell,6qyS9qBy0mEk3qYaH8mPss,Murder In My Mind,10,0.972,0.00547,145000,-0.514,0.112,119.966
0.579,LOVV66,2t33vDAERvsbqTLQuphuwA,МАЙ МАЙ,6,0.648,0.0492,109714,-5.765,0.0487,139.985
0.711,VovaZiLvova,7uHFrsclJjAhONLcc8grZU,Шукав тебе. Знайшов тебе,0,0.6,0.419,168000,-10.639,0.141,112.126
0.93,YAKTAK,5F9CLUvuRyku0ZdT4ljPQt,Чекає вдома (feat. DOVI),11,0.652,0.477,169870,-4.541,0.133,122.04
0.772,KOLA,20SSuP71R4A88qHQu4BKY6,Біля серця,6,0.536,0.577,136500,-5.586,0.0938,79.962
0.588,Після Дощу,2R8CylfWLqBcejsXu2mdcW,Хочеш,11,0.593,0.0897,147973,-7.975,0.0382,147.953
0.46,The Hardkiss,73yFhVfJGEuFbLcJlXvysO,Маяк,11,0.615,0.00172,206747,-6.751,0.0293,104.941
0.676,YAKTAK,714gZqwzaj9MrjyDGPWq1c,Вродлива,2,0.545,0.419,150638,-9.645,0.0483,94.027
0.371,Artem Pivovarov,0pWMr82unREASQGFJrrI5S,Маніфест,1,0.855,0.0143,120427,-6.415,0.44,101.047
0.403,ENLEO,6JrGELYUIbZvBV74j4Q5LN,інша любов,4,0.557,0.294,248000,-9.496,0.0502,120.122
0.859,KALUSH,7kKTYTHULdERuHGCkVyLVD,Додому (feat. Skofka),5,0.548,0.455,216000,-7.831,0.0432,119.985
0.958,KALUSH,3EkGH0yreaWUFAXBil8rmH,Файна (feat. Skofka),5,0.495,0.0299,156429,-6.476,0.0673,111.994
0.654,SadSvit,4MQmxIxM5CXKjdq4IrCWhd,Касета,10,0.743,0.294,144236,-7.19,0.0315,169.98
0.743,Scally Milano,5mE3uSxYQu5QfCyPVubftA,Дай Мне Шанс,8,0.504,0.138,140800,-9.005,0.272,149.986
0.489,Nirvana,0gucTLf7trAf37Ua1uAyAu,Smells Like Teen Spirit - Remastered,1,0.918,3.53e-05,300893,-4.502,0.0554,116.731
0.815,(G)I-DLE,4uOBL4DDWWVx4RhYKlPbPC,Queencard,4,0.834,0.0327,161240,-2.828,0.0475,129.989
0.782,SKYLERR,5u6TLP2prHSvtKi0SPUKFI,Хвилями,0,0.761,0.159,149585,-6.288,0.0896,99.996
0.772,Imagine Dragons,54ipXppHLA8U4yqpOFTUhr,Bones,5,0.75,0.0201,165265,-3.67,0.0455,114.061
0.793,alyona alyona,4QbAOvKJMIx22HvGqkFBmM,Не втратимо зв'язок,9,0.707,0.328,148537,-4.367,0.12,81.977
0.66,100лиця,4N822HhhcRrVKuX3Ni9L0T,Чорнобрива,0,0.717,0.169,133305,-7.892,0.0846,94.981
0.588,g3ox_em,7mLWNwcvwRdEviz6SfYp8A,GigaChad Theme - Phonk House Version,9,0.496,0.00166,146274,-5.947,0.0417,128.001
0.578,Mr.Kitty,5FkJHVudUByVjanCqFXRql,After Dark,8,0.6,0.0677,257147,-10.491,0.0322,140.021
0.497,ooes,0K5arhAxYWj7QxFhpKJe6z,последнее лето,0,0.661,0.515,137739,-7.364,0.0517,172.507
