danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.499,Big One,3tiJUOfAEqIrLFRQgGgdoY,Un Finde | CROSSOVER #2,11,0.519,0.109,163788,-8.199,0.0595,192.147
0.812,Yng Lvcas,2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,2,0.479,0.213,234353,-5.678,0.333,169.922
0.687,BM,7JB29gnUowzSGRdIpeVqRQ,M.A - Remix,7,0.735,0.183,275589,-5.326,0.0598,87.92
0.463,Ke Personajes,1AX4aybSRyXHWrjg27wTFE,Pobre Corazón - En Vivo,10,0.84,0.0445,198931,-4.781,0.0475,91.038
0.569,Grupo Frontera,6pD0ufEQq0xdHSsRbg9LBK,un x100to,6,0.724,0.228,194563,-4.076,0.0474,83.118
0.859,Feid,6XSqqQIy7Lm7SnwxS4NrGx,Classy 101,11,0.658,0.145,195987,-4.79,0.159,100.065
0.804,Big One,7w7BrPbOjF5OxChs2dxFve,En La Intimidad | CROSSOVER #1,1,0.555,0.0924,172118,-4.991,0.107,89.946
0.736,Luck Ra,6jRZ33ifS5VOTMwmPxhPhN,Ya No Vuelvas (Versión Cuarteto),1,0.9,0.224,204000,-4.575,0.0825,149.947
0.668,Eslabon Armado,3qQbCzHBycnDpGskqOWY0E,Ella Baila Sola,5,0.758,0.483,165671,-5.176,0.0332,147.989
0.838,Taiu,7MVIfkyzuUmQ716j8U7yGR,Rara Vez,5,0.708,0.176,128677,-4.668,0.166,119.984
0.746,BM,1eIDsKCLwZF6CJK8pOgHX5,M.A (Mejores Amigos),7,0.729,0.298,158310,-5.855,0.063,87.971
0.687,Miranda!,0vUqiSvbUICW3YtTA5ecSX,Perfecta (Versión 2023),0,0.576,0.0998,221054,-4.212,0.0567,169.939
0.747,Maria Becerra,2bNCiY24Eh4saMcc23bvUN,ADIÓS,9,0.765,0.374,160856,-4.184,0.0547,98.012
0.783,Yandel,4FAKtPVycI4DxoOHC01YqD,Yandel 150,6,0.729,0.0492,216148,-3.549,0.0691,167.968
0.499,Emilia,2iNmegOcdmt4peYrh9S8qI,Jagger.mp3,7,0.608,0.0919,155862,-7.2,0.0767,91.884
0.72,KAROL G,0DWdj2oZMBFSzRsi2Cvfzf,TQG,4,0.63,0.673,199440,-3.547,0.277,179.974
0.752,Emilia,2iIBpwP4FyQ95xgVail3yr,No_se_ve.mp3,11,0.666,0.0971,203636,-5.185,0.0672,131.986
0.838,LiL CaKe,1DxEbt6OSbrkRthk6pjZue,MERCHO,6,0.79,0.431,161452,-1.602,0.108,92.927
0.913,TINI,04ndZkbKGthTgYSv3xS7en,Cupido,9,0.584,0.521,174370,-5.263,0.223,119.873
0.419,Ke Personajes,1fKFxmSByZfjwVSbq0PHye,Si No Te Tengo / Ángel / Aquello Que Pasó,11,0.711,0.0513,428439,-4.083,0.0488,82.18
0.768,ROSALÍA,609E1JCInJncactoMmkDon,BESO,5,0.644,0.736,194543,-6.671,0.136,95.05
0.52,Damas Gratis,6HT88WDVwEJiHEbPuQ5XcB,Costumbres - Vivo,9,0.801,0.132,133077,-6.617,0.0382,103.681
0.678,Luck Ra,7HdEUquZzUzPjgSllvlJGl,Quiero Creer,6,0.624,0.279,145055,-3.712,0.0589,90.983
0.822,The La Planta,5w7RsSgxxBwdVTSyQDj8Bi,DISCOTEKA (feat. Locura Mix),9,0.519,0.178,204481,-7.183,0.136,89.962
0.865,Feid,2CeKVsFFXG4QzA415QygGb,Feliz Cumpleaños Ferxxo,5,0.573,0.0863,155960,-5.501,0.0678,94.999
0.688,TINI,4yPmTUkWmUfLPQLCccp0DR,Muñecas,10,0.712,0.0288,156319,-4.791,0.0826,89.93
0.722,ECKO,6Vp8EcHAHjC9u7Qnsn2kob,Te Escapas De Mis Brazos (Remix),0,0.689,0.105,217826,-5.074,0.0551,91.978
0.494,La Joaqui,4L6PEEISI0EWoKh8Wwtvuh,Amanecemos,5,0.504,0.179,198183,-6.242,0.111,84.916
0.901,Ozuna,1zsPaEkglFvxjAhrM8yhpr,Hey Mor,1,0.589,0.00302,196600,-6.713,0.289,98.002
0.933,Milo j,3eOkhJYDaTELGhWHBNbf4A,AL BORDE,10,0.274,0.308,133399,-11.762,0.258,133.086
0.709,Feid,0T2pB7P1VdXPhLdQZ488uH,Normal,4,0.56,0.034,171880,-4.867,0.171,170.082
0.765,Cris Mj,0NO2zL0kw8sGGnaMvHKAZF,Marisola - Remix,1,0.872,0.173,237474,-5.863,0.0498,94.999
0.835,Manuel Turizo,3tt9i3Hhzq84dPS8H7iSiJ,La Bachata,7,0.679,0.583,162638,-5.329,0.0364,124.98
0.743,Feid,0CYTGMBYkwUxrj1MWDLrC5,CHORRITO PA LAS ANIMAS,8,0.831,0.114,168133,-4.042,0.0584,95.975
0.751,Quevedo,4WiQA1AGWHFvaxBU6bHghs,PUNTO G,11,0.761,0.251,151325,-4.113,0.15,92.032
0.833,Nicki Nicole,4TrYGTVgWOe2s3ZPn5qFTa,qué le pasa conmigo?,1,0.582,0.314,167252,-5.945,0.0913,96.978
0.611,Duki,0DxzhQolKK8fd3y0BAAbf4,aPoLLo13,6,0.859,0.0729,158928,-1.633,0.145,144.961
0.778,Bizarrap,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",2,0.632,0.274,218289,-5.6,0.0493,122.104
0.899,Milo j,4CVhywni3QwalKLZgwFi58,Milagrosa,2,0.442,0.106,140288,-8.931,0.291,117.053
0.873,Lolo OG,6862W0OJNwhytsXSpCQZ5k,Azote - Remix,2,0.713,0.194,226822,-6.595,0.182,99.964
0.654,WOS,2x8oBuYaObjqHqgGuIUZ0b,ARRANCARMELO,5,0.354,0.724,183547,-7.358,0.0738,81.956
0.823,Feid,3Gs7mVfWKl567mjozgxmXv,Niña Bonita,7,0.615,0.104,187653,-4.19,0.147,90.952
0.693,Lauty Gram,4I4FFtKZLtyqw4he9pPtL7,Vida Gangster,4,0.756,0.5,170058,-5.209,0.0477,94.884
0.683,Eladio Carrion,0PB0O24JqAuNdOAFVJljMS,Coco Chanel,2,0.764,0.0427,160325,-5.995,0.0441,149.949
0.748,Shakira,7txjUEY6McJDJKqIo1Rxjp,Acróstico,11,0.478,0.837,170786,-8.886,0.121,143.866
0.82,Young Miko,44FzVABpR2cciquTqADA0D,Lisa,7,0.446,0.466,159307,-7.553,0.213,81.01
0.764,Miranda!,6tjz2ZCL2jmPY1jPsbRk2H,Uno los Dos,11,0.408,0.445,215249,-8.212,0.0533,122.886
0.621,Bizarrap,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",2,0.782,0.0125,198938,-5.548,0.044,128.033
