danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.492,Morgan Wallen,7K3BhSpAxZBznislvUMVtn,Last Night,6,0.675,0.467,163855,-5.456,0.0389,203.759
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.696,PinkPantheress,6AQbmUe0Qwf5PZnt4HmTXv,Boy's a Liar Pt. 2,5,0.809,0.252,131013,-8.254,0.05,132.962
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.644,SZA,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,8,0.735,0.0521,153947,-5.747,0.0391,88.98
0.712,Luke Combs,1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,8,0.603,0.186,265493,-5.52,0.0262,97.994
0.52,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,As It Was,6,0.731,0.342,167303,-5.338,0.0557,173.93
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95
0.637,Taylor Swift,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,4,0.643,0.13,200690,-6.571,0.0519,97.008
0.697,OneRepublic,4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,0,0.802,0.0988,148120,-6.412,0.0456,139.951
0.795,Lil Mabu,0Ymjv0OJeIIPXr6s9wi3iW,MATHEMATICAL DISRESPECT,1,0.507,0.0612,88304,-8.06,0.303,146.771
0.369,Zach Bryan,3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,4,0.192,0.555,228013,-12.151,0.04,175.212
0.954,Coi Leray,6UN73IYd0hZxLi8wFPMQij,Players,6,0.516,0.03,139560,-5.817,0.16,105.001
0.558,"Tyler, The Creator",7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),6,0.559,0.371,180387,-9.222,0.0959,78.558
0.636,Calvin Harris,5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),9,0.869,0.0378,186496,-5.289,0.0412,143.011
0.793,Ed Sheeran,3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,11,0.52,0.246,194926,-7.457,0.0696,107.014
0.538,RAYE,5mHdCZtVyb4DcJw8799hZp,Escapism.,2,0.742,0.138,272373,-5.355,0.114,96.107
0.551,Stephen Sanchez,1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,10,0.55,0.777,176440,-5.339,0.0286,101.19
0.732,Morgan Wallen,5W4kiM2cUYBJXKRudNyxjW,You Proof,9,0.839,0.265,157478,-5.007,0.0345,119.724
0.484,Vance Joy,7yq4Qj7cqayVTp3FF9CWbm,Riptide,1,0.731,0.431,204280,-6.694,0.0379,101.654
0.829,Lil Durk,6HgWWaMu31KdOpEG5l28BG,All My Life (feat. J. Cole),3,0.436,0.15,223204,-8.205,0.327,143.031
0.498,Post Malone,5w40ZYhbBMAlHYNDaVJIUu,Chemical,2,0.897,0.00136,184013,-4.907,0.045,169.902
0.575,The Weeknd,4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,1,0.5,0.227,232857,-7.594,0.0707,67.033
0.712,Sam Smith,0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),2,0.463,0.011,156943,-7.399,0.0797,131.199
0.436,Labrinth,6unndO70DvZfnXYcYQMyQJ,Never Felt So Alone,5,0.409,0.499,160166,-4.438,0.0533,98.357
0.69,J. Cole,68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,10,0.521,0.324,292799,-8.492,0.339,100.028
0.516,Lizzy McAlpine,2L9N0zZnd37dwF0clgxMGI,ceilings,9,0.322,0.473,182888,-11.762,0.0292,148.005
0.788,Ed Sheeran,3xWGA8pa0IKFI7IMPri4P0,Shivers,2,0.859,0.281,207853,-2.724,0.0856,141.02
0.608,Luke Combs,48UKTR66uUOT9LaUvooTNx,The Kind of Love We Make,1,0.745,0.0226,224427,-4.13,0.0277,102.025
0.799,Rema,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),11,0.802,0.429,239318,-5.196,0.0371,107.008
0.561,David Guetta,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),7,0.965,0.00383,175238,-3.673,0.0343,128.04
0.559,SZA,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,5,0.551,0.141,201800,-7.231,0.132,143.008
0.696,Tiësto,36gcliMRX1vCpgnrZE3dFZ,10:35,8,0.793,0.0683,172253,-5.733,0.097,120.003
0.684,Miguel,0JXXNGljqupsJaZsgSbMZV,Sure Thing,11,0.607,0.0267,195373,-8.127,0.1,81.001
0.501,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,1,0.405,0.751,182161,-5.679,0.0319,109.891
0.586,The Weeknd,2LBqCSwhJGcFQeTHMVGwy3,Die For You,1,0.525,0.111,260253,-7.163,0.0615,133.629
0.352,The Killers,003vvx7Niy0yvhvHt4a68B,Mr. Brightside,1,0.911,0.00121,222973,-5.23,0.0747,148.033
0.678,Lewis Capaldi,3W5KHP0Yr56ejVDns9vci3,Wish You The Best,3,0.48,0.588,210880,-3.607,0.0298,107.934
0.685,George Ezra,4N5s8lPTsjI9EGP7K4SXzB,Green Green Grass,8,0.738,0.0695,167614,-4.413,0.0595,112.972
0.515,JVKE,5odlY52u43F5BjByhxg7wg,golden hour,4,0.593,0.653,209260,-4.801,0.0322,94.467
0.552,Taylor Swift,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,9,0.702,0.117,178427,-5.707,0.157,169.994
0.442,Tom Odell,7jtQIBanIiJOMS6RyCx6jZ,Another Love,4,0.538,0.717,244360,-8.55,0.0451,122.758
0.823,Kali,7sliFe6W30tPBPh6dvZsIH,Area Codes,1,0.388,0.0187,139326,-10.867,0.491,154.569
0.716,Kendrick Lamar,2HbKqm4o0w5wEeEFXm2sD4,Money Trees,7,0.531,0.0703,386907,-7.355,0.122,71.994
0.427,Sam Barber,40vKwNlXXKUmQMGceAoEpy,Straight and Narrow,10,0.278,0.47,199875,-8.83,0.0331,85.633
0.486,Coldplay,1mea3bSkSGXuIRvnydlB5b,Viva La Vida,5,0.617,0.0954,242373,-7.115,0.0287,138.015
0.573,Libianca,26b3oVLrRUaaybJulow9kz,People,10,0.422,0.551,184791,-7.621,0.0678,124.357
0.761,Glass Animals,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,11,0.525,0.44,238805,-6.9,0.0944,80.87
0.429,Coldplay,3AJwUDP919kvQ9QcozQPxg,Yellow,11,0.661,0.00239,266773,-7.227,0.0281,173.372
