danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.668,Eslabon Armado,3qQbCzHBycnDpGskqOWY0E,Ella Baila Sola,5,0.758,0.483,165671,-5.176,0.0332,147.989
0.569,Grupo Frontera,6pD0ufEQq0xdHSsRbg9LBK,un x100to,6,0.724,0.228,194563,-4.076,0.0474,83.118
0.859,Feid,6XSqqQIy7Lm7SnwxS4NrGx,Classy 101,11,0.658,0.145,195987,-4.79,0.159,100.065
0.645,Nickoog Clk,5DoGJMtInwrPZrzyKnuqMi,XQ TAN SOLA?,0,0.757,0.0073,200074,-5.563,0.0522,92.996
0.812,Yng Lvcas,2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,2,0.479,0.213,234353,-5.678,0.333,169.922
0.72,KAROL G,0DWdj2oZMBFSzRsi2Cvfzf,TQG,4,0.63,0.673,199440,-3.547,0.277,179.974
0.839,Pailita,6aiFYVWZZVVckJEfvdmiu8,Venga Pa' Acá,7,0.754,0.0211,165500,-6.05,0.108,99.014
0.786,El Jordan 23,2l58pc9aJRjkoj5RcesCJF,BELLAKITA,1,0.362,0.0167,88000,-7.3,0.465,196.024
0.735,Jairo Vera,2fXKhkTskJr2zi7iZJmDOq,MADRID,5,0.847,0.021,195135,-3.672,0.0441,100.803
0.499,Big One,3tiJUOfAEqIrLFRQgGgdoY,Un Finde | CROSSOVER #2,11,0.519,0.109,163788,-8.199,0.0595,192.147
0.783,Yandel,4FAKtPVycI4DxoOHC01YqD,Yandel 150,6,0.729,0.0492,216148,-3.549,0.0691,167.968
0.897,Jere Klein,5iaGRmDzm4aPhttaOEK8OD,Donde?,0,0.49,0.01,162638,-6.587,0.0924,95.989
0.834,King Savagge,5Q9WL6KjOioqfqJdX2W72I,2 Hielos,10,0.628,0.0727,194214,-8.682,0.11,104.975
0.874,Lucky Brown,6XLOKUNpCZRkWAKfEDeArF,Toda Guapa,5,0.533,0.00924,155275,-7.244,0.056,100.014
0.663,Jere Klein,3th0luN7pe8n10lHJDIDkg,Ram,7,0.779,0.00203,123434,-6.348,0.0482,92.935
0.823,Feid,3Gs7mVfWKl567mjozgxmXv,Niña Bonita,7,0.615,0.104,187653,-4.19,0.147,90.952
0.794,KAROL G,4NoOME4Dhf4xgxbHDT7VGe,X SI VOLVEMOS,1,0.807,0.334,200120,-3.447,0.326,178.003
0.901,Ozuna,1zsPaEkglFvxjAhrM8yhpr,Hey Mor,1,0.589,0.00302,196600,-6.713,0.289,98.002
0.729,Jere Klein,447CO62bX92cmh13R0DAnk,Ya No Pienso en Ti,10,0.638,0.00484,133865,-7.041,0.0507,95.938
0.768,ROSALÍA,609E1JCInJncactoMmkDon,BESO,5,0.644,0.736,194543,-6.671,0.136,95.05
0.866,FloyyMenor,0MoTNY46hAvSVq2CdN1xHk,Pa La Europa,7,0.482,0.001,219754,-9.208,0.333,96.967
0.903,El Jordan 23,6sOSd3PYqy3UnSXF5r0MvN,SHERATON,9,0.713,0.209,92473,-4.7,0.139,98.027
0.69,ITHAN NY,4g79mlIRCMtOvi1ZJVpq3t,Millonarios Juntos,11,0.686,0.00463,182779,-5.14,0.0817,177.869
0.8,Nickoog Clk,0zvrARWIZQD5M4WWH8mhsX,Glocko,4,0.852,0.0184,192044,-5.502,0.114,100.033
0.624,Anuel AA,1VsHc0qIeyjYOyvN5HIEQG,Mejor Que Yo,1,0.655,0.18,242697,-4.177,0.0547,178.083
0.752,Jere Klein,54JDCisyVD6GxD21XR1xg7,Ibiza,10,0.737,0.195,221457,-5.519,0.186,96.003
0.781,Chencho Corleone,4k7CNPArKLf4QuvGfMeHDk,Un Cigarrillo,6,0.774,0.133,184267,-4.477,0.187,175.956
0.734,Jairo Vera,6YNzvCsLwAJ4xZjdK9qk3r,"Te Extraño a Lo Vio (feat. Balbi El Chamako, Bayron Fire, Bayriton, Tommy Boysen, Gringuitos Records, El Rey) - Remix",10,0.728,0.138,483684,-6.218,0.0435,93.996
0.527,Gino Mella,6P3e7ieiYq8ZITkkmW2Uim,Viviendo El Proceso <3,8,0.62,0.203,121851,-6.574,0.0637,93.983
0.523,KAROL G,6otePxalBK8AVa20xhZYVQ,MIENTRAS ME CURO DEL CORA,0,0.477,0.855,164387,-6.786,0.392,79.921
0.748,Shakira,7txjUEY6McJDJKqIo1Rxjp,Acróstico,11,0.478,0.837,170786,-8.886,0.121,143.866
0.865,Feid,2CeKVsFFXG4QzA415QygGb,Feliz Cumpleaños Ferxxo,5,0.573,0.0863,155960,-5.501,0.0678,94.999
0.871,Jairo Vera,7Am9Us7Lub64dgaJ3jCeL7,Con Puras de 25,4,0.638,0.0471,138462,-5.5,0.0672,99.956
0.835,Manuel Turizo,3tt9i3Hhzq84dPS8H7iSiJ,La Bachata,7,0.679,0.583,162638,-5.329,0.0364,124.98
0.908,Marcianeke,5MxnvIBS4UMUpbZUKQsuNA,Muñeca,0,0.717,0.0934,182604,-6.161,0.132,96.173
0.629,Jimin,3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,7,0.733,0.0025,212241,-5.445,0.0419,120.001
0.913,TINI,04ndZkbKGthTgYSv3xS7en,Cupido,9,0.584,0.521,174370,-5.263,0.223,119.873
0.743,Feid,0CYTGMBYkwUxrj1MWDLrC5,CHORRITO PA LAS ANIMAS,8,0.831,0.114,168133,-4.042,0.0584,95.975
0.818,Anuel AA,3XjvMZqm2AQ8thMCD6w9w2,Mas Rica Que Ayer,11,0.666,0.343,199149,-5.319,0.0759,93.95
0.838,Taiu,7MVIfkyzuUmQ716j8U7yGR,Rara Vez,5,0.708,0.176,128677,-4.668,0.166,119.984
0.709,Feid,0T2pB7P1VdXPhLdQZ488uH,Normal,4,0.56,0.034,171880,-4.867,0.171,170.082
0.683,Eladio Carrion,0PB0O24JqAuNdOAFVJljMS,Coco Chanel,2,0.764,0.0427,160325,-5.995,0.0441,149.949
0.463,Ke Personajes,1AX4aybSRyXHWrjg27wTFE,Pobre Corazón - En Vivo,10,0.84,0.0445,198931,-4.781,0.0475,91.038
0.461,Gabo El Chamaquito,5zRPfjD3qUsog7tAcAMpWr,Los Rockstars,10,0.706,0.0531,223367,-7.71,0.104,96.879
0.712,Cris Mj,3bclq6OXFKMmFaUoFLbO8E,Su Altura,1,0.704,0.152,181044,-6.22,0.0341,95.99
0.758,Gino Mella,72d8QGh77awoqnxiAOFRMI,TE EXO DE MENOS :(,9,0.661,0.179,151117,-6.134,0.0546,94.009
0.838,LiL CaKe,1DxEbt6OSbrkRthk6pjZue,MERCHO,6,0.79,0.431,161452,-1.602,0.108,92.927
0.736,Kidd Voodoo,6ECqgyhDZcf6fqlJhSTRhP,Fashion Girl - Remix,0,0.764,0.185,191020,-3.77,0.0541,97.987
0.791,Jere Klein,7wGy7XfvDC7PRNtMQkHVuN,Mandame Tu Ubi,10,0.644,0.101,119835,-6.603,0.0651,100.935
0.784,Peso Pluma,2mpoNBkngUEwnaKoBhZ0vl,PRC,7,0.826,0.0965,184066,-6.34,0.0538,138.078
