danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.54,JIN,0h7QMc9ZRzA9QJrbEHytn2,The Astronaut,5,0.761,0.00446,282463,-5.356,0.0311,124.988
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.644,SZA,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,8,0.735,0.0521,153947,-5.747,0.0391,88.98
0.799,Rema,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),11,0.802,0.429,239318,-5.196,0.0371,107.008
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95
0.696,PinkPantheress,6AQbmUe0Qwf5PZnt4HmTXv,Boy's a Liar Pt. 2,5,0.809,0.252,131013,-8.254,0.05,132.962
0.573,Libianca,26b3oVLrRUaaybJulow9kz,People,10,0.422,0.551,184791,-7.621,0.0678,124.357
0.52,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,As It Was,6,0.731,0.342,167303,-5.338,0.0557,173.93
0.575,The Weeknd,4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,1,0.5,0.227,232857,-7.594,0.0707,67.033
0.881,Charlie Puth,5Odq8ohlgIbQKMZivbWkEo,Left and Right (Feat. Jung Kook of BTS),2,0.592,0.619,154487,-4.898,0.0324,101.058
0.684,Metro Boomin,2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),7,0.671,0.189,199920,-4.392,0.0464,88.048
0.571,Metro Boomin,5wG3HvLhF6Y5KTGlK0IW3J,Trance (with Travis Scott & Young Thug),1,0.549,0.18,194787,-7.38,0.404,119.497
0.586,The Weeknd,2LBqCSwhJGcFQeTHMVGwy3,Die For You,1,0.525,0.111,260253,-7.163,0.0615,133.629
0.679,The Weeknd,7MXVkk9YMctZqd1Srtv4MB,Starboy,7,0.587,0.141,230453,-7.015,0.276,186.003
0.551,Stephen Sanchez,1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,10,0.55,0.777,176440,-5.339,0.0286,101.19
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.637,Taylor Swift,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,4,0.643,0.13,200690,-6.571,0.0519,97.008
0.733,Chris Brown,5IgjP7X4th6nMNDh4akUHb,Under The Influence,9,0.69,0.0635,184613,-5.529,0.0427,116.992
0.515,JVKE,5odlY52u43F5BjByhxg7wg,golden hour,4,0.593,0.653,209260,-4.801,0.0322,94.467
0.737,sped up 8282,3B228N0GxfUCwPyfNcJxps,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,5,0.725,0.417,145200,-7.989,0.0414,144.069
0.795,Lil Mabu,0Ymjv0OJeIIPXr6s9wi3iW,MATHEMATICAL DISRESPECT,1,0.507,0.0612,88304,-8.06,0.303,146.771
