danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.425,Keung To,1VU4roZEde9uI25e4rUOuU,沒有翅膀的天使,6,0.397,0.116,198000,-10.623,0.0403,198.058
0.384,Keung To,3uHE0cVFDFDORAVhwLqL4p,追,0,0.373,0.761,313944,-7.503,0.0305,177.818
0.319,Keung To,172oAbLGpgeCsukno7oBRe,風雨不改 (電影《阿媽有咗第二個》主題曲),0,0.198,0.942,308053,-11.611,0.0402,62.925
0.504,Anson Lo 盧瀚霆,54ugnbuE4eWGhdXKMAAWFV,MONEY (Anson Lo x Dear Jane),0,0.952,0.000734,218421,-2.637,0.0894,100.037
0.646,Keung To,11IqNbLOD4s4nVYSuEttFR,"Dear My Friend,",0,0.452,0.723,232008,-8.152,0.0307,94.566
0.729,Anson Lo 盧瀚霆,4bzylGLMAjkb8AYCcsu96R,MONEY,2,0.774,0.0758,202538,-3.246,0.107,99.999
0.635,Keung To,1dBroK67DSaaEE5kvkVjzG,作品的說話,5,0.389,0.443,252747,-13.106,0.0638,79.991
0.57,Anson Lo 盧瀚霆,3b4dQtIVyVhQdbYVfrik0k,永順街39號,7,0.392,0.869,280149,-8.887,0.0307,137.092
0.466,陳卓賢 Ian,3mVO7XaN9ULGNuXteiCOz3,再見 寧靜海,10,0.471,0.5,250677,-8.524,0.039,146.879
0.841,JISOO,69CrOS7vEHIrhC2ILyEi0s,FLOWER,9,0.384,0.0236,173134,-7.684,0.0351,123.961
0.736,陳卓賢 Ian,6lfMr5SEeFdpMeIJxw5n1I,抱抱無尾熊,7,0.692,0.485,225527,-6.654,0.0643,132.01
0.411,陳卓賢 Ian,6flgMTTqhbJSNryAPCYcvA,留一天與你喘息,9,0.482,0.574,258925,-8.081,0.0475,172.079
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.795,Coca-Cola Hong Kong,5DuzFa95k6It0RXVTUwMYH,無糖可口可樂 X 姜濤 • 無可取代,2,0.858,0.0843,67527,-6.08,0.285,149.878
0.419,Dear Jane,48yFnEAkBdOmqvhZ6NaR4U,到底發生過什麼事,11,0.811,0.101,259375,-5.263,0.0364,165.966
0.578,Anson Lo 盧瀚霆,2E5X5HbBHBUeo2juTSgTMX,偷情,9,0.713,0.0503,228909,-7.012,0.03,130.985
0.623,陳卓賢 Ian,2vJreatDgwtXWKpkqpPUZ3,地球上的最後一朵花,8,0.382,0.785,226665,-9.168,0.0349,125.881
0.683,IVE,70t7Q6AYG6ZgTYmJWcnkUM,I AM,4,0.875,0.0115,183853,-4.866,0.0549,122.002
0.679,MC 張天賦,3x2hKSUf8O8IqI1shmxGnp,老派約會之必要,10,0.563,0.503,223951,-7.009,0.0334,107.014
0.554,Terence Lam,6lwMbAQ6RLzlXrX5Zh1rG6,萬一你是個好人,0,0.0626,0.935,185357,-20.546,0.0367,112.127
0.574,YOASOBI,7ovUcF5uHTBRzUpB6ZOmvt,アイドル,1,0.935,0.112,213234,-2.783,0.0926,166.008
0.55,MC 張天賦,3IxGmKdOkv7tgMCzyKF2Xm,世一,2,0.557,0.748,263134,-7.033,0.0382,141.791
