danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.506,Anggi Marito,26cvTWJq2E1QqN4jyH2OTU,Tak Segampang Itu,5,0.438,0.759,231100,-7.069,0.0268,129.538
0.696,Raim Laode,2AaaE0qvFWtyT8srKNfRhH,Komang,7,0.412,0.415,222707,-8.547,0.027,133.913
0.563,Mahalini,6dXiWwFrcGieqnoLYzPNp5,Sial,2,0.431,0.89,243725,-6.784,0.039,120.014
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.672,Miley Cyrus,1daDRI9ahBonbWD8YcxOIB,Angels Like You,5,0.642,0.0981,196453,-4.035,0.0313,121.981
0.633,Aziz Hedra,3e1rs346dsDDwpqTRGlRZR,Somebody's Pleasure,10,0.491,0.842,223957,-6.847,0.0336,116.974
0.319,Awdella,3i0h88q1HBtbdIg2bPxs54,Tertawan Hati,6,0.432,0.661,237864,-5.831,0.0317,128.244
0.35,raissa anggiani,7nQoDLkzCcoIpKPQt3eCdN,Kau Rumahku,1,0.323,0.873,275250,-8.982,0.0369,169.513
0.574,d4vd,78Sw5GDo6AlGwTwanjXbGh,Here With Me,4,0.469,0.534,242485,-8.209,0.0254,132.023
0.593,New West,50x1Ic8CaXkYNvjmxe3WXy,Those Eyes,4,0.352,0.695,220750,-8.296,0.0284,119.988
0.593,Feby Putri,6Hii26x3qDErVitnGW8QtO,Runtuh,3,0.287,0.876,223974,-13.164,0.0289,127.783
0.265,Aruma,3N2WeXxSjngB1DSi8vrI8C,Muak,2,0.32,0.774,264940,-10.791,0.0316,82.973
0.644,SZA,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,8,0.735,0.0521,153947,-5.747,0.0391,88.98
0.429,Coldplay,3AJwUDP919kvQ9QcozQPxg,Yellow,11,0.661,0.00239,266773,-7.227,0.0281,173.372
0.603,Daniel Caesar,2LlOeW5rVcvl3QcPNPcDus,Always,9,0.441,0.692,225313,-8.178,0.0518,136.137
0.461,Tiara Andini,3nHxZEe1dT7zs73DG6pNll,Usai,7,0.36,0.863,217200,-8.99,0.0269,109.236
0.573,Alan Walker,5BKJAuVMDyrFvUTo4dIaiK,Not You,5,0.264,0.827,153719,-8.955,0.0365,129.791
0.338,James Arthur,0otRX6Z89qKkHkQ9OqJpKt,Car's Outside,9,0.562,0.039,248373,-7.181,0.029,149.907
0.361,Virgoun,1mruWrUwAVe2XkksUQiaHK,Selamat (Selamat Tinggal),0,0.581,0.523,313671,-8.502,0.0302,79.59
0.566,Last Child,5MIpcd16T59wFeqAChSYwC,Duka,0,0.885,0.122,325147,-4.664,0.0355,135.015
0.429,For Revenge,0PtJbtW50jcvvswNPn3QGd,Serana,2,0.709,0.0264,251077,-5.54,0.0297,130.046
0.355,Various Artists,29lBFGkfr7EoJlb3lxi9Ij,Menyesal,3,0.222,0.92,203455,-11.572,0.0335,106.019
0.645,One Direction,1dQQ2QlnvXUehsRUrukKmf,Right Now,8,0.78,0.218,200400,-5.165,0.0319,120.008
0.841,JISOO,69CrOS7vEHIrhC2ILyEi0s,FLOWER,9,0.384,0.0236,173134,-7.684,0.0351,123.961
0.577,keshi,2bdVgAQgosGUJoViVDNeOV,LIMBO,8,0.366,0.879,212785,-11.792,0.0368,129.923
0.721,Soegi Bornean,3TFdXrYIubXABQh0CxIiSs,Asmalibrasi,4,0.565,0.855,254862,-6.208,0.0292,139.941
0.527,Budi Doremi,1USA6DXJ1qsucoKnDu4vnu,Tak Kan Hilang,4,0.258,0.821,241714,-9.499,0.0319,139.928
0.488,Mahalini,6Iq3sgLVrqqZfRitLaeHkn,Sisa Rasa,8,0.405,0.503,254863,-6.324,0.0302,122.049
