danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.582,Pritam,0czcoKJbJt08NqKrvSbbz7,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",7,0.418,0.794,313051,-8.701,0.0288,112.909
0.698,King,1418IuVKQPTYqt7QNJ9RXN,Maan Meri Jaan,6,0.505,0.354,194654,-8.242,0.0356,95.868
0.577,Kaifi Khalil,4VsP4Dm8gsibRxB5I2hEkw,Kahani Suno 2.0,11,0.379,0.909,173638,-13.235,0.0374,139.585
0.577,Pritam,4UMIv5jd9gK98a39BQRD9X,Kesariya,0,0.574,0.572,268165,-6.525,0.0278,94.009
0.739,Sachet Tandon,73K33p4Vyz9koXGqmL5eFs,Malang Sajna,10,0.716,0.232,160194,-4.964,0.037,113.943
0.679,Pritam,2ZD4aIEepqZsdxPxLSuUhm,Tere Pyaar Mein,9,0.748,0.111,265108,-5.487,0.054,118.945
0.562,Arijit Singh,2FCXQHugkoHE1K3tiDu8pu,"Agar Tum Saath Ho (From ""Tamasha"")",3,0.519,0.557,341055,-8.744,0.0326,122.925
0.77,King,0yCWDaAgOtg6TKlNCg9rwA,Tu Aake Dekhle,11,0.84,0.515,270000,-4.022,0.107,96.012
0.817,Vishal-Shekhar,6FAYpZ4jve8vpvTwUvjK6H,Jhoome Jo Pathaan,7,0.738,0.0964,208164,-7.639,0.0748,104.964
0.847,Chani Nattan,3wz2vWhYnnBoFmgMkqtzLy,Daku,8,0.558,0.325,131078,-5.855,0.0663,98.062
0.768,Shubh,08Isz2ETWSBhvIl8UpKYsp,No Love,4,0.487,0.24,170388,-8.936,0.0431,137.034
0.772,Pritam,2vPrBucKCfKmafHhSfJ2pt,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",0,0.767,0.138,216271,-4.792,0.0381,122.024
0.711,Ikky,42TMa2hgBNjte4uV7jNCnQ,Baller,5,0.702,0.00487,148188,-10.048,0.233,180.219
0.868,Laddi Chahal,03yKEFruN3BS2coglBtt2N,Rubicon Drill,11,0.745,0.187,188571,-5.82,0.268,139.9
0.589,Pritam,4blqlsA1uf2d2I40E90EUC,"Tere Hawaale (From ""Laal Singh Chaddha"")",9,0.522,0.642,346291,-10.649,0.0391,109.094
0.729,Aditya A,0snQrp1VaY5Pj1YIHRJpRJ,Chaand Baaliyan,0,0.396,0.796,103265,-8.98,0.0359,97.281
0.637,Sharn,24MMjyA3NLqCsDJfsn51eg,Mi Amor,4,0.703,0.53,203049,-5.297,0.0789,81.99
0.72,Tanishk Bagchi,2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")",10,0.63,0.615,230292,-5.549,0.0413,81.009
0.427,Arijit Singh,2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",11,0.396,0.736,284780,-7.556,0.0366,70.368
0.794,Varinder Brar,2NmBCDkjvJVvEZkH5QDOeb,Thaa,6,0.676,0.168,182667,-5.801,0.0593,89.929
0.738,MC STAN,0H8I33DTtRS9nEZX2FLJV5,Haath Varthi,7,0.765,0.186,149571,-5.044,0.171,140.021
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.73,Jassa Dhillon,4ZVtid5khBfDx6Co0vTUE6,SPAIN,6,0.673,0.324,104007,-6.625,0.0685,90.058
0.603,Various Artists,72zHuDxFQTjbL51qJQSA7j,"Ranjha (From ""Shershaah"")",1,0.573,0.478,228855,-5.843,0.0502,82.941
0.483,Pritam,1smFN2CLqGROu0J0UyvDfL,Shayad,8,0.468,0.784,247941,-7.642,0.0341,135.875
0.773,Vishal-Shekhar,0CtZpaOhtzvLV3FfcsVpQo,"Besharam Rang (From ""Pathaan"")",8,0.795,0.0587,258474,-5.537,0.0412,115.997
0.551,Yohani,0zlGnseLGzRIBA0TJcb3Bo,"Manike (From ""Thank God"")",1,0.578,0.522,197474,-7.005,0.0732,106.772
0.679,The Weeknd,7MXVkk9YMctZqd1Srtv4MB,Starboy,7,0.587,0.141,230453,-7.015,0.276,186.003
0.524,Vishal Mishra,0UZLaEOSIc5kg0cc7eszqC,Manjha,11,0.515,0.674,191647,-7.478,0.0427,169.882
0.609,Pritam,7eQl3Yqv35ioqUfveKHitE,Tum Se Hi,6,0.538,0.328,321225,-7.842,0.0273,130.015
0.385,Vishal Mishra,1y1rQTkWmrZdJmjwuK07GC,"Kaise Hua (From ""Kabir Singh"")",2,0.464,0.452,234722,-6.975,0.0404,137.839
0.575,Arijit Singh,2PvaburAUlhNHxVhw5lvOq,"Humdard (From ""Ek Villain"")",5,0.541,0.759,260590,-6.45,0.0237,87.022
0.59,Pritam,4bD9z9qa4qg9BhryvYWB7c,Kabira,2,0.555,0.481,223460,-6.861,0.0271,84.027
0.697,KK,2RgvvnMwtP0R2OkVZmFvnV,"Ajab Si (From ""Om Shanti Om"")",8,0.438,0.399,241668,-8.411,0.0289,117.955
0.799,Rema,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),11,0.802,0.429,239318,-5.196,0.0371,107.008
0.837,AP Dhillon,29m79w9xPMH4YCD6r8JSmV,Excuses,5,0.717,0.0842,176233,-7.749,0.0822,94.984
0.557,Sidhu Moose Wala,5W7DOVGQLTigu09afW7QMT,295,11,0.794,0.179,270000,-5.698,0.2,91.366
0.535,Gajendra Verma,3yV2c3cYhkAwSsxAq6nRiv,Mann Mera,1,0.765,0.054,200120,-7.862,0.0444,191.827
0.833,Badshah,0MbOLfDcGk8ROHJYXJHu5c,Players,9,0.678,0.464,171273,-3.711,0.141,109.969
0.651,Mohit Chauhan,7mSzDKajY2wUtstQSLdzMK,Rang Lageya,4,0.503,0.504,227962,-8.729,0.0261,108.014
0.657,Pritam,6FjbAnaPRPwiP3sciEYctO,Raabta,0,0.581,0.699,243578,-8.108,0.0298,118.037
0.789,Diljit Dosanjh,3ZGJhN4unVspOqpwGvUL2W,Lemonade,1,0.744,0.281,166667,-7.245,0.0414,143.998
0.619,Sachin-Jigar,6udC4b4jOSnHb9ItnXgKLR,Saibo,2,0.429,0.738,195253,-7.867,0.028,90.058
0.72,Karan Aujla,6h5cT4n75VWK95VDW07EFw,P.O.V (Point of View),6,0.59,0.0447,185870,-6.521,0.335,91.915
0.772,Imagine Dragons,54ipXppHLA8U4yqpOFTUhr,Bones,5,0.75,0.0201,165265,-3.67,0.0455,114.061
0.539,Pritam,4SqPZorSDuUtvdJwVGeZRC,Deva Deva,0,0.729,0.627,279107,-7.588,0.0412,112.074
0.529,Arijit Singh,7ouBSPZKQpm7zQz2leJXta,"Tum Hi Ho (From ""Aashiqui 2"")",5,0.451,0.788,261974,-6.25,0.025,94.054
0.551,Stephen Sanchez,1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,10,0.55,0.777,176440,-5.339,0.0286,101.19
0.692,Various Artists,6TClJ8jXi3OBV7gcrU3jx5,TERE TE,7,0.488,0.0508,114419,-10.96,0.135,171.9
0.82,Shubh,6ZYxNjuAU9Vy3VtF6W1dtE,We Rollin,4,0.504,0.261,199206,-9.113,0.141,85.016
