danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.681,Noa Kirel,6dUregFbvUNqHP5nphqesK,Unicorn,6,0.868,0.0216,170900,-5.499,0.095,130.126
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082
0.847,Ness,3mCCFs2hdDM2mObzARzxOg,תיק קטן,1,0.349,0.531,173897,-14.929,0.486,138.023
0.563,Alessandra,14LdhxElpZS0rKVV4nxtdA,Queen of Kings,4,0.908,0.0696,147980,-4.25,0.0868,125.972
0.616,Peer Tasi,4RyMByXc5HfKc3b8wqwOso,אהבה חולה,5,0.4,0.193,182700,-11.169,0.0327,140.27
0.732,Osher Cohen,60BOR51eeN8A3wYIrElggH,אני פה,0,0.54,0.511,127080,-8.727,0.0986,106.998
0.703,Eden Hason,1Rh5r9vUOumJ1sbPuv3dkO,עד שתבואי עד אליי,11,0.613,0.137,199419,-9.642,0.0699,123.974
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.522,Avi Aburomi,1zZ9bah4HU0TtICQzCFXp3,אין אותנו יותר (By Tamar Yahalomy & Yonatan Kalimi),6,0.428,0.797,184675,-7.764,0.0358,154.088
0.33,Tuna,7BcRDWY4VTCvRRHoobFWWo,סהרה - Live,3,0.768,0.75,272774,-6.433,0.129,156.52
0.648,Tuna,1D8HR389yohrWVZ1yHI2bc,היי בייב,2,0.776,0.00956,187901,-7.552,0.0401,92.033
0.714,Benaia Barabi,3zhFqDzJZfnc8L5QkGWWG6,קרן שמש,7,0.487,0.562,227700,-7.396,0.0257,100.009
0.469,Eden Hason,16NPQQxjcSfhb0UFaUVw5s,אז מה עכשיו,1,0.469,0.437,151144,-9.823,0.114,135.981
0.375,Hanan Ben Ari,3RlUyFCBbqM62dOs0sNWlH,עטלף עיוור,0,0.396,0.223,234251,-7.699,0.0305,135.056
0.75,ליעד מאיר,4PcdcSDUImHuVjoCezSYuC,פלואו של טמבל 2,10,0.658,0.23,167226,-7.202,0.298,155.118
0.761,Gal Adam,3idINUuyRidKbQiMFt6EkU,משוגעת (Prod. by Triangle),8,0.787,0.134,136500,-6.503,0.249,140.093
0.832,Noa Kirel,5A3bEckI7AjWTguGqZOzUm,פנתרה,9,0.647,0.0588,173603,-7.954,0.0755,102.036
0.46,Yonatan Kalimi,5gOFp28Edmv4nk8HIwnQfe,מי את היום בלעדיי,4,0.417,0.733,232174,-9.757,0.0563,184.158
0.832,E-Z,5I0WaR0LpN4Kn1zwbvd145,גושפנקא,7,0.785,0.472,153750,-6.654,0.197,92.011
0.477,Peer Tasi,2QUuLcqNlQUFOuMm4osKdN,38,4,0.308,0.437,209440,-10.401,0.0361,125.124
0.857,Static,3Au0H4VhjcXZ5HGOHo8Nc3,רונדלים,11,0.621,0.117,114625,-6.86,0.203,108.966
0.552,Eden Hason,4I9NVCnjIRVriXfNE7VhE0,עושה לי צרות,6,0.433,0.777,158000,-9.792,0.068,89.329
0.801,Noam Bettan,5edYMsNo852Zw29Qni9p8t,בובה,2,0.684,0.0304,187787,-4.262,0.0409,102.987
0.58,Eyal Golan,6OXv4CrNp3DFRj6Cu1GojJ,מתי את חוזרת,11,0.47,0.479,230823,-8.913,0.0331,136.032
0.561,David Guetta,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),7,0.965,0.00383,175238,-3.673,0.0343,128.04
0.38,Osher Cohen,6uCZdJ3p3hrfi6mRKVtt7k,תראי אהובתי,3,0.636,0.271,196235,-6.376,0.0504,86.835
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.69,Tuna,2PpTUW96jjJYr8ib8RUnUu,י'א 2,1,0.689,0.781,176440,-7.37,0.0719,95.019
0.736,Osher Cohen,6ubV4TOnHggG27ygsPxjvR,אקורדים בלילות,8,0.531,0.496,198374,-7.799,0.0437,122.963
0.671,Full Trunk,2G1o9Mq8KpamOwJPZLuJc7,סתלבט בקיבוץ,8,0.724,0.588,216810,-8.799,0.0879,167.998
0.292,Avraham Tal,6Eds9y8ZiQHcIegsEIVcYP,את חסרה לי & אורות,2,0.518,0.372,268824,-6.974,0.0775,205.16
0.644,SZA,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,8,0.735,0.0521,153947,-5.747,0.0391,88.98
0.566,Omer Adam,4hTFq8sHEVSDXIxTVe4qHJ,אני,0,0.482,0.393,155357,-9.606,0.152,111.734
0.682,Static,50uspwzqbMxkpyHzMLwUVy,לירז,11,0.764,0.0304,195163,-6.077,0.299,165.063
0.8,Static,4py8ddBPFRTYqL3vbh2FXq,טרנטולה,10,0.668,0.196,130694,-5.439,0.0758,140.032
0.52,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,As It Was,6,0.731,0.342,167303,-5.338,0.0557,173.93
0.872,Odeya,2gpNRdJs3Sy5GI1G7pTgbZ,מאמי,6,0.83,0.431,120000,-2.814,0.0672,113.969
0.651,Eden Hason,3RBpmZJ0YG9abVBXI2U1UO,את חסרה לי,4,0.645,0.47,169846,-6.173,0.0624,129.931
0.723,Eyal Golan,6NUzJGlQORUv6NjUwcefr8,עיר נמל,11,0.741,0.0594,250879,-6.608,0.0332,100.012
0.733,Omer Adam,3bicKwpfRpuSAgdIAvmZdz,קאטליה (זוג שחייבים לחטוף),0,0.577,0.457,169436,-8.504,0.113,92.944
0.647,Ravid Plotnik,06RR5ewHedBUC9GRgWLwkK,מוזיקה טובה,0,0.559,0.128,201173,-6.751,0.181,85.409
0.763,Agam Buhbut,4W1G1xlxcirdtXosgsR0m0,קופידון (Prod. By Triangle),2,0.618,0.166,163355,-5.919,0.072,110.034
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95
0.511,Ravid Plotnik,1saT4tObMScARIwT4wTv0W,נתראה בגלגול הבא,6,0.396,0.184,213720,-13.945,0.0389,111.506
0.42,Tuna,7Jeh9SPQdyULPmdIqTNo3y,כנפיים - Live,6,0.598,0.388,291000,-10.621,0.329,172.909
0.712,Sam Smith,0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),2,0.463,0.011,156943,-7.399,0.0797,131.199
0.585,Eden Hason,68kVzJf0STAv91tuLutuDr,שקיעות אדומות,6,0.394,0.676,212963,-9.016,0.0321,84.018
0.697,OneRepublic,4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,0,0.802,0.0988,148120,-6.412,0.0456,139.951
0.799,Rema,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),11,0.802,0.429,239318,-5.196,0.0371,107.008
