danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.574,YOASOBI,7ovUcF5uHTBRzUpB6ZOmvt,アイドル,1,0.935,0.112,213234,-2.783,0.0926,166.008
0.545,SPITZ,1H3qOzheTPhE7aVvJOWfvA,美しい鰭,1,0.913,0.0107,211920,-3.565,0.0298,98.047
0.425,Vaundy,10zz9RZt9DnqcxNWksRNrx,怪獣の花唄,2,0.939,0.00361,224806,-3.498,0.054,150.015
0.481,OFFICIAL HIGE DANDISM,36jIu8oPR1Z4cguMuHxUXA,TATTOO,0,0.901,0.0114,288100,-5.629,0.163,194.084
0.757,Mrs. GREEN APPLE,406ZlqOP9nLQxJFBY7d9S4,ケセラセラ,6,0.58,0.029,272965,-4.574,0.0328,115.01
0.649,OFFICIAL HIGE DANDISM,49F3htNmwzPKFycPdOrDvf,Subtitle,6,0.683,0.0313,305509,-6.49,0.0424,130.0
0.736,Mrs. GREEN APPLE,4NaaF28BeO9WzjDrSS71Nz,ダンスホール,7,0.695,0.0209,203150,-3.87,0.0468,109.976
0.436,MAN WITH A MISSION,2VBLFxCUyFp5BfmsZpxcis,絆ノ奇跡,7,0.951,0.0046,223320,-4.748,0.202,169.955
0.836,百足,78NUnAsLzE6azxvuPDy9M7,君のまま,7,0.771,0.435,177581,-4.441,0.106,123.977
0.628,Tani Yuuki,4IfrM44LofE9bSs6TDZS49,W / X / Y,2,0.775,0.159,278119,-4.479,0.0535,106.382
0.427,Vaundy,4QlSFkbRxZWkHDF1MqBaEY,そんなbitterな話,9,0.689,0.0918,276083,-4.35,0.0354,178.077
0.364,Yuuri,7M0dIdZWN1FDcveRdoOzbZ,ビリミリオン,10,0.628,0.238,228760,-6.142,0.0319,93.792
0.367,Yuuri,4JK1kDUdH9RTBQrrSO1QfR,ベテルギウス,5,0.671,0.222,230600,-4.604,0.0478,179.833
0.795,LE SSERAFIM,51vRumtqbkNW9wrKfESwfu,UNFORGIVEN (feat. Nile Rodgers),4,0.875,0.111,182149,-4.079,0.0525,104.008
