danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.608,Ulukmanapo,0dY8qhMk6KOxw51j36GtlM,Расстояние,5,0.591,0.489,180718,-5.312,0.0854,84.866
0.777,Bakr,5i3H6himHZaKZT3Dk8lr8Z,Сирень,0,0.498,0.734,192116,-7.709,0.0477,130.008
0.773,xxxmanera,5lo91NO6ZaP656Wy28dez1,Скажи мне кто ты,6,0.544,0.0134,118378,-8.309,0.0573,147.935
0.906,kizaru,2PpAAi4RMQKof0Ya3JEJfU,Зеркало,8,0.735,0.0722,152000,-6.147,0.161,150.035
0.63,Bakr,3b1csq4T7y11X9WSAweCB4,Эталон красоты,1,0.551,0.463,186667,-7.425,0.271,119.075
0.863,INSTASAMKA,4PGzoH4hL1vORGOTxHdWjB,ЗА ДЕНЬГИ ДА,4,0.621,0.0112,119476,-6.729,0.167,114.977
0.921,V $ X V PRiNCE,33r51tO7fefxJw4dKsY1qa,Мурашки,11,0.39,0.264,174316,-13.349,0.196,95.005
0.862,Bonapart,41gRAnGJ3hyF0GLMe4Rx4h,Алмата-Семей,8,0.523,0.137,160508,-4.814,0.0694,160.134
0.729,INTERWORLD,3J5y9v6vK5ginTnMroJ1Nn,METAMORPHOSIS 3,1,0.85,0.101,128016,-4.317,0.0586,119.997
0.774,Bakr,6z3RBRZVdV34ZjFKgjmDXA,Вредина,8,0.638,0.742,159064,-6.298,0.161,144.986
0.894,Bakr,3qPi9H4HOdYIl9Lr4WPLJU,Очи,5,0.548,0.815,170789,-6.839,0.0469,114.031
0.593,INTERWORLD,2ksyzVfU0WJoBpu8otr4pz,METAMORPHOSIS,7,0.641,0.426,142839,-12.727,0.0992,175.014
0.824,Hiro,4TQfMvGF7yMIspZ0CNLaCu,Особа крутая,2,0.416,0.0694,206653,-9.471,0.132,105.034
0.776,Irina Kairatovna,4SoNwm8ceBTUWdE5Ua5dxF,5000,8,0.545,0.0361,194286,-9.194,0.444,209.808
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.705,Darkhan Juzz,54w04Shxa9xRKJkZQp7uqB,Sheker,8,0.55,0.48,217355,-8.729,0.128,160.017
0.859,Jah Khalib,1Y3yCJ0YaoiNvicBkBJjXf,Доча,0,0.448,0.487,148800,-6.313,0.218,100.073
0.916,INSTASAMKA,6F81SMHDIUMRyBb9bJ2ZRL,Отключаю телефон,1,0.68,0.101,153143,-6.279,0.221,104.969
0.767,Xcho,1iBDgZDBkV8LTjFbNDcvOO,Про любовь,4,0.743,0.357,141177,-6.819,0.203,140.018
0.579,LOVV66,2t33vDAERvsbqTLQuphuwA,МАЙ МАЙ,6,0.648,0.0492,109714,-5.765,0.0487,139.985
0.863,Xcho,75C98tVaHUtjYZTIcy9U7U,Ты и Я,9,0.673,0.431,148148,-3.87,0.227,135.001
0.922,Al Fakher,6tcTwRhdcWsvGVDrodckl7,#МУЗЫКАДЛЯДУШИ,7,0.445,0.823,130916,-9.847,0.312,121.009
0.755,V $ X V PRiNCE,5oDzu4mpi13XnbBteabhYF,Суета,6,0.647,0.297,182807,-7.339,0.127,100.051
0.779,Ulukmanapo,0LdDBjHLVBRzc9BY5wA030,Летали,6,0.552,0.51,187200,-5.764,0.0489,99.997
0.358,Skryptonite,1P9oRiZJWnxe2pZmYUZ5eC,Это любовь,0,0.416,0.325,279250,-10.972,0.0596,139.945
0.833,V $ X V PRiNCE,3e4Oiy7Cx0QYelNNPdqJoi,Су,5,0.48,0.237,185745,-7.965,0.13,93.998
0.464,Arctic Monkeys,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,0,0.417,0.136,183956,-9.345,0.0256,67.528
0.558,"Tyler, The Creator",7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),6,0.559,0.371,180387,-9.222,0.0959,78.558
0.623,V $ X V PRiNCE,1vievxaPscSfHvaduvcSE2,Дом 50,7,0.452,0.0619,159070,-5.732,0.388,83.492
0.852,Monetochka,0tdRgufTWFxk2QgYyIifQH,Папина любовница,0,0.645,0.34,208973,-6.275,0.0306,120.045
0.666,MiyaGi & Endspiel,43wgyQXc2M9KmTDUqVzugM,I Got Love,2,0.862,0.154,276688,-4.376,0.203,106.028
0.712,Kordhell,6qyS9qBy0mEk3qYaH8mPss,Murder In My Mind,10,0.972,0.00547,145000,-0.514,0.112,119.966
0.458,Dosekesh,2rYSKQX9vl6WMYWx0BM6Di,Taspa,3,0.502,0.0827,230766,-7.416,0.0275,160.314
0.83,V $ X V PRiNCE,47LveuCJ6HyDnddF5b659S,Ойлаш,6,0.65,0.403,211096,-4.695,0.0558,95.024
0.679,The Weeknd,7MXVkk9YMctZqd1Srtv4MB,Starboy,7,0.587,0.141,230453,-7.015,0.276,186.003
0.629,ELMAN,3ACYaC2pM4wA1KFIj0Fyk9,Черная любовь,1,0.438,0.387,178442,-9.465,0.0469,76.97
0.612,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,10,0.807,0.0495,240400,-2.81,0.0336,124.053
0.786,Bakr,675AarEBSWDwtxNaiIvNYX,За любовь,1,0.64,0.483,181017,-6.668,0.0732,118.026
0.63,Xcho,1eQc0azOMOv6VuqQi9c2Ba,Вороны,5,0.514,0.388,156818,-4.942,0.0831,175.953
0.89,Bakr,4V6xeXI8PvKDj9y9E6QWJY,Ойлорумда,5,0.621,0.568,192219,-7.389,0.0633,120.043
0.795,Bakr,1P2goYva6Y2MYM9mPMcYKh,Статус души,7,0.463,0.45,178295,-12.1,0.144,139.968
0.746,Darkhan Juzz,2dWJ5xYr3QqcOeSuatbdzg,Úıde,7,0.522,0.301,156160,-12.086,0.283,77.095
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.861,Жугунусов Мирас,0SL5InQfRLwBkhmsBXlCvM,Шыда,6,0.64,0.327,158250,-5.616,0.0731,110.058
0.586,The Weeknd,2LBqCSwhJGcFQeTHMVGwy3,Die For You,1,0.525,0.111,260253,-7.163,0.0615,133.629
0.666,Pepel Nahudi,7FbLIFBTQiSu1bHP3BQoWl,Заново завоевать,2,0.505,0.00674,112385,-8.303,0.0515,130.005
0.843,Asik,24zHjtuD0q5WK61a3OBICv,Paco Rabanne,9,0.642,0.686,121306,-10.363,0.142,83.033
0.643,xxxmanera,21LIoC4ZxT3F8xq9gidNbX,Never Broke Again,1,0.573,0.0126,108069,-6.992,0.0466,139.94
0.78,Ayau,4LuV1V6PIz1FWv1ajY6OkO,sybyrlaiyn <3,10,0.637,0.289,181000,-7.662,0.0546,110.025
0.619,MiyaGi & Endspiel,5xuVrsnFsQmPd0cz5r57Bx,Люби меня,2,0.622,0.439,318353,-6.033,0.233,145.922
