danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.629,Jimin,3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,7,0.733,0.0025,212241,-5.445,0.0419,120.001
0.795,LE SSERAFIM,51vRumtqbkNW9wrKfESwfu,UNFORGIVEN (feat. Nile Rodgers),4,0.875,0.111,182149,-4.079,0.0525,104.008
0.683,IVE,70t7Q6AYG6ZgTYmJWcnkUM,I AM,4,0.875,0.0115,183853,-4.866,0.0549,122.002
0.757,aespa,1ULdASrNy5rurl1TZfFaMP,Spicy,11,0.898,0.0138,197040,-1.247,0.0667,114.949
0.623,Jimin,0u8rZGtXJrLtiSe34FPjGG,Like Crazy (English Version),7,0.755,0.00306,212254,-5.386,0.0415,119.957
0.585,Jimin,59hBR0BCtJsfIbV9VzCVAp,Set Me Free Pt.2,0,0.815,0.115,200930,-4.165,0.0565,132.09
0.574,YOASOBI,7ovUcF5uHTBRzUpB6ZOmvt,アイドル,1,0.935,0.112,213234,-2.783,0.0926,166.008
0.8,IVE,7foeH2Emgq8A3LWk3q6dat,Kitsch,11,0.792,0.0119,195440,-4.953,0.0529,102.0
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.804,NewJeans,65FftemJ1DbbZ45DUfHJXE,OMG,9,0.771,0.357,212253,-4.067,0.0433,126.956
0.782,Fast & Furious: The Fast Saga,5qyjy0xfsHNzWxvXkHVB85,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",10,0.533,0.369,62790,-7.677,0.263,84.985
0.814,NewJeans,3r8RuvgbX9s7ammBn07D3W,Ditto,6,0.641,0.027,185507,-5.957,0.111,133.854
0.771,SEVENTEEN,3AOf6YEpxQ894FmrwI9k96,Super,8,0.88,0.162,200387,-4.091,0.0857,137.018
0.774,FIFTY FIFTY,5mg3VB3Qh7jcR5kAAC4DSV,Cupid,2,0.66,0.662,174253,-8.2,0.0328,120.023
0.665,BTS,4IJsVXbSeGPUrgwpVoHmlg,The Planet,0,0.848,0.000482,178156,-3.619,0.0708,119.986
0.593,NewJeans,0a4MMyCrzT0En247IhqZbD,Hype Boy,4,0.935,0.268,179027,-3.43,0.225,99.976
0.815,(G)I-DLE,4uOBL4DDWWVx4RhYKlPbPC,Queencard,4,0.834,0.0327,161240,-2.828,0.0475,129.989
0.841,JISOO,69CrOS7vEHIrhC2ILyEi0s,FLOWER,9,0.384,0.0236,173134,-7.684,0.0351,123.961
0.52,Lim Young Woong,6auT8cRBu3BgPRBrdVBY15,London Boy,2,0.875,0.395,244427,-1.589,0.0346,133.096
0.881,Charlie Puth,5Odq8ohlgIbQKMZivbWkEo,Left and Right (Feat. Jung Kook of BTS),2,0.592,0.619,154487,-4.898,0.0324,101.058
0.703,Lim Young Woong,2tA3NP12r4niSRhb9Y6AoY,Polaroid,0,0.768,0.532,206400,-3.357,0.0289,102.966
0.697,Agust D,4bjN59DRXFRxBE1g5ne6B1,Haegeum,7,0.837,0.313,168927,-2.651,0.304,85.097
0.924,imase,3gmn76fCtpDazGMnN0QMHX,NIGHT DANCER,7,0.563,0.0879,210600,-7.899,0.0802,117.06
0.654,aespa,6nICBdDevG4NZysIqDFPEa,Thirsty,6,0.787,0.549,193413,-2.538,0.0636,77.513
0.593,Jimin,5Hfnps0jaWFpYg55WOPexG,Alone,0,0.446,0.283,211251,-7.776,0.0266,102.057
0.401,Lim Young Woong,2RLdkXSaiQjRbey5pvP8Kt,If We Ever Meet Again,1,0.394,0.748,274387,-6.655,0.0324,129.74
0.689,Jimin,3OdIiWnYRHPYtC313Z0Bwy,Face-off,2,0.539,0.178,229627,-7.671,0.048,119.949
0.879,LE SSERAFIM,0bMoNdAnxNR0OuQbGDovrr,ANTIFRAGILE,10,0.784,0.0759,184444,-3.944,0.081,105.019
0.811,NewJeans,2pIUpMhHL6L9Z5lnKxJJr9,Attention,10,0.648,0.236,180067,-3.684,0.0368,104.988
0.71,Jung Kook,1RDvyOk4WtPCtoqciJwVn8,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],0,0.879,0.158,201391,-4.218,0.0422,114.993
0.641,Lim Young Woong,50xSycnGMDy0Wg5jJcOv3S,Rainbow,8,0.889,0.0394,196400,-3.534,0.0541,96.033
0.729,Agust D,41JPN7pZMTp1sumBOHOzHd,People Pt.2 (feat. IU),7,0.574,0.391,213995,-4.779,0.0589,88.94
0.787,TAEYANG,4NIe9Is7bN5JWyTeCW2ahK,VIBE (feat. Jimin of BTS),0,0.671,0.0936,175776,-5.6,0.0572,100.078
0.673,Aimyon,0N8Xztr4pBHJ7V0moJWhbO,愛を伝えたいだとか,2,0.85,0.0345,235241,-5.021,0.0337,100.008
0.598,aespa,6qVqWJxIpsabUKBILG7d6N,Welcome To MY World (feat. nævis),7,0.836,0.185,206920,-1.694,0.0304,152.009
0.68,IVE,2gYj9lubBorOPIVWsTXugG,After LIKE,0,0.922,0.103,176973,-1.215,0.121,125.014
0.381,Lim Young Woong,2jidjmWNeRmKgLjXhW52Gz,"Our Blues, Our Life",1,0.405,0.629,207387,-7.325,0.0325,130.94
0.803,NMIXX,3o3bRIOKDwGOdqL9HBUNrO,Love Me Like This,8,0.805,0.00805,188719,-4.167,0.064,97.031
0.284,Jimin,2qg2jy3v50RwfV5FAqG3a2,Interlude : Dive,0,0.495,0.789,130996,-11.74,0.0421,86.314
0.763,TAEYANG,5HrIcZOo1DysX53qDRlRnt,Shoong! (feat. LISA of BLACKPINK),11,0.699,0.00789,205101,-6.118,0.0554,110.01
0.606,Lim Young Woong,4Cr43xPo7bwyCcL1g3yVCu,A bientot,0,0.729,0.268,256373,-4.555,0.0804,73.967
0.696,Charlie Puth,4BLpd6QINAs4UXd1lVtdhj,Dangerously,2,0.517,0.364,199133,-8.379,0.0366,112.291
0.707,BSS,7eBpUuPnDTfbeP1P4P93CS,Fighting (Feat. Lee Young Ji),11,0.86,0.103,204467,-2.935,0.191,152.026
0.583,Jimin,6D90VTeGEWYX5AkAtjHZh1,Like Crazy (Deep House Remix),5,0.881,0.0226,180719,-3.74,0.0327,123.063
0.692,Jimin,2RUcwyW74Sv4VracHFrKdh,Promise,2,0.534,0.83,151011,-7.155,0.0433,88.964
0.757,STAYC,4kSDi21MeOoSvpZs6MveI9,Teddy Bear,7,0.91,0.105,189773,-3.953,0.0524,119.04
0.644,SZA,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,8,0.735,0.0521,153947,-5.747,0.0391,88.98
0.604,Jimin,5tDxLjAnkojfnXnjOk6mvh,Like Crazy (UK Garage Remix),2,0.763,0.0899,210396,-5.22,0.0505,122.018
0.635,Lim Young Woong,2lsRp40mCRkhqULWdMbOzn,I Love You,7,0.442,0.706,239027,-5.919,0.0362,110.862
0.404,Lim Young Woong,4rMEoXVYww6Xy7q9wSj4gy,Love Always Run Away,8,0.443,0.651,242760,-6.799,0.0333,131.298
