danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.563,Mahalini,6dXiWwFrcGieqnoLYzPNp5,Sial,2,0.431,0.89,243725,-6.784,0.039,120.014
0.506,Anggi Marito,26cvTWJq2E1QqN4jyH2OTU,Tak Segampang Itu,5,0.438,0.759,231100,-7.069,0.0268,129.538
0.672,Miley Cyrus,1daDRI9ahBonbWD8YcxOIB,Angels Like You,5,0.642,0.0981,196453,-4.035,0.0313,121.981
0.841,JISOO,69CrOS7vEHIrhC2ILyEi0s,FLOWER,9,0.384,0.0236,173134,-7.684,0.0351,123.961
0.644,SZA,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,8,0.735,0.0521,153947,-5.747,0.0391,88.98
0.804,NewJeans,65FftemJ1DbbZ45DUfHJXE,OMG,9,0.771,0.357,212253,-4.067,0.0433,126.956
0.575,The Weeknd,4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,1,0.5,0.227,232857,-7.594,0.0707,67.033
0.338,James Arthur,0otRX6Z89qKkHkQ9OqJpKt,Car's Outside,9,0.562,0.039,248373,-7.181,0.029,149.907
0.319,Awdella,3i0h88q1HBtbdIg2bPxs54,Tertawan Hati,6,0.432,0.661,237864,-5.831,0.0317,128.244
0.574,d4vd,78Sw5GDo6AlGwTwanjXbGh,Here With Me,4,0.469,0.534,242485,-8.209,0.0254,132.023
0.683,IVE,70t7Q6AYG6ZgTYmJWcnkUM,I AM,4,0.875,0.0115,183853,-4.866,0.0549,122.002
0.429,Coldplay,3AJwUDP919kvQ9QcozQPxg,Yellow,11,0.661,0.00239,266773,-7.227,0.0281,173.372
0.515,JVKE,5odlY52u43F5BjByhxg7wg,golden hour,4,0.593,0.653,209260,-4.801,0.0322,94.467
0.795,LE SSERAFIM,51vRumtqbkNW9wrKfESwfu,UNFORGIVEN (feat. Nile Rodgers),4,0.875,0.111,182149,-4.079,0.0525,104.008
0.46,Fabio Asher,6raMBnVBIvvUngMLyDdzyP,Rumah Singgah,8,0.228,0.719,246731,-10.666,0.0312,78.115
0.696,Raim Laode,2AaaE0qvFWtyT8srKNfRhH,Komang,7,0.412,0.415,222707,-8.547,0.027,133.913
0.771,SEVENTEEN,3AOf6YEpxQ894FmrwI9k96,Super,8,0.88,0.162,200387,-4.091,0.0857,137.018
0.577,keshi,2bdVgAQgosGUJoViVDNeOV,LIMBO,8,0.366,0.879,212785,-11.792,0.0368,129.923
0.626,Dalia Farhana,2CJvBRL5ZevYir3mbFdcm6,Langit Yang Sama,1,0.394,0.807,245455,-8.957,0.029,131.914
0.559,SZA,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,5,0.551,0.141,201800,-7.231,0.132,143.008
0.814,NewJeans,3r8RuvgbX9s7ammBn07D3W,Ditto,6,0.641,0.027,185507,-5.957,0.111,133.854
0.586,The Weeknd,2LBqCSwhJGcFQeTHMVGwy3,Die For You,1,0.525,0.111,260253,-7.163,0.0615,133.629
0.486,Coldplay,1mea3bSkSGXuIRvnydlB5b,Viva La Vida,5,0.617,0.0954,242373,-7.115,0.0287,138.015
0.74,Sabrina Carpenter,6dgUya35uo964z7GZXM07g,Nonsense,8,0.697,0.0268,163648,-4.912,0.034,138.992
0.633,Aziz Hedra,3e1rs346dsDDwpqTRGlRZR,Somebody's Pleasure,10,0.491,0.842,223957,-6.847,0.0336,116.974
0.488,Mahalini,6Iq3sgLVrqqZfRitLaeHkn,Sisa Rasa,8,0.405,0.503,254863,-6.324,0.0302,122.049
0.593,New West,50x1Ic8CaXkYNvjmxe3WXy,Those Eyes,4,0.352,0.695,220750,-8.296,0.0284,119.988
0.763,TAEYANG,5HrIcZOo1DysX53qDRlRnt,Shoong! (feat. LISA of BLACKPINK),11,0.699,0.00789,205101,-6.118,0.0554,110.01
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95
0.707,Luqman Podolski,3SSe3pzhdtPrVN0AqzUkx0,Mungkin Aku Tak Penting? (feat. Tish Errda),4,0.44,0.449,187500,-9.752,0.0455,154.023
0.774,FIFTY FIFTY,5mg3VB3Qh7jcR5kAAC4DSV,Cupid,2,0.66,0.662,174253,-8.2,0.0328,120.023
0.552,Amir Jahari,3Q6DYlT649Y1tgyf5We71c,Hasrat (OST Imaginur),7,0.25,0.395,238000,-12.183,0.0264,91.965
0.573,Coldplay,46HNZY1i7O6jwTA7Slo2PI,My Universe,1,0.711,0.0114,226198,-6.268,0.0406,105.006
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.464,Arctic Monkeys,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,0,0.417,0.136,183956,-9.345,0.0256,67.528
0.489,Sufian Suhaimi,1VGVxZIHPiKh3Y4vZv6ChL,Terasa Ada,0,0.644,0.114,242072,-6.592,0.029,180.015
0.49,Keisya Levronka,1b0aDgrG775i4sPQgJGmkU,Tak Ingin Usai,0,0.398,0.815,278500,-7.712,0.0266,129.772
