danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.741,Morad,3l7ixTpHmRxjjH05OnWY6f,Ojos Sin Ver,7,0.728,0.423,191615,-5.28,0.133,123.993
0.534,Niro,3ejjmzEsUfObGdmmQRVmM2,Qui sait ? (feat. ElGrandeToto),1,0.624,0.712,190787,-6.406,0.116,87.786
0.603,Moha K,0WCiCbdRB54GMzlRGs3Fa4,DARBA 9ADIYA,11,0.581,0.354,149209,-6.293,0.144,87.781
0.777,DYSTINCT,4TBxB7MulrQ1Nb2uxHwJX1,Tek Tek (feat. MHD),7,0.537,0.592,161506,-8.842,0.0609,92.996
0.77,Draganov,7AM2uga26rlhKu1a27MyFS,WILI,4,0.453,0.339,190000,-10.359,0.444,154.566
0.709,kouz1,5zgOQGcG0oTDUQVc45q1BY,Love,11,0.689,0.528,191827,-5.615,0.0818,100.972
0.694,Mocci,6vEtT2Vu5MprdI69pATbLm,Talet Lghiba,11,0.569,0.592,211230,-7.026,0.0573,140.004
0.756,Dizzy DROS,2L1MgWewnKsCx9MKykjZJw,M3a L3echrane,2,0.399,0.354,232727,-11.479,0.385,164.948
0.609,Snor,5OInx13SpghEifbS5bQmwq,Dawk Lya,0,0.399,0.443,148062,-11.177,0.0362,149.946
0.547,TIF,2TqUQbVg1bgahl09szanuE,SHADOW BOXING,8,0.672,0.598,167748,-7.73,0.174,100.791
0.836,TIF,1TJyY6XPwaprBSFT2owEG6,HINATA,9,0.519,0.568,175304,-9.622,0.0788,114.974
0.804,Mons,7f783hK2ilf4bwfayaNvdB,Lovini,7,0.73,0.019,189692,-8.567,0.0577,102.996
0.598,DYSTINCT,5IJRqarA4QIc2qAw74mYo9,Ghazali (feat. Bryan Mg),7,0.654,0.486,184661,-8.31,0.0565,179.853
0.676,Cheba Warda,1sKCCDynLxGhHesdlLGT7s,Galbi Khasah Molah,2,0.809,0.539,266900,-5.114,0.116,95.972
0.623,ElGrandeToto,6h8Q07MtQBabHOjObg1a57,Gueule tapée,4,0.527,0.467,206000,-10.209,0.415,83.824
0.54,ElGrandeToto,2Vr7Qvt5a9f6W9m6ifke4K,Comforter (feat. Ayra Starr),3,0.579,0.0437,216000,-5.135,0.247,132.813
0.86,Oualid,5PNZdDZE07oJOnTrE53p7x,Jini,7,0.625,0.461,122972,-6.814,0.114,120.096
0.723,Duke,1GDHRaUxihjkGMFESApltm,Khssara,11,0.696,0.767,152591,-7.727,0.239,100.052
0.655,Don Bigg,4TCs0LTzW2xaW7SFeFDY7K,Arahmini,10,0.799,0.13,228519,-4.975,0.047,81.984
0.744,kouz1,6L1hnXrPSKAoOFmdOA8ANa,Magic,3,0.636,0.688,184800,-9.183,0.0506,99.979
0.776,Mounim Slimani,5YwpA9KqbnVq05XcP2m2I6,Ajini,2,0.625,0.236,168980,-8.946,0.0845,98.032
0.573,Libianca,26b3oVLrRUaaybJulow9kz,People,10,0.422,0.551,184791,-7.621,0.0678,124.357
0.763,Ayoub Anbaoui,2a1dUbvOaZw7vrHNanpi3r,Abala Ya Bali,8,0.744,0.232,228925,-8.116,0.0637,129.953
0.606,ElGrandeToto,5uFJwscfsYN5NFL7bUl3p3,Silhouette,3,0.799,0.55,265806,-6.862,0.424,93.073
0.485,Inkonnu,6mKrkIikIDiBRC9ZqjbeNl,BREDA,10,0.546,0.782,112000,-11.66,0.295,82.061
0.765,Saad Lamjarred,6ggJpewsdCo3CaL3Nr85l7,Ach Khbarek,0,0.871,0.0528,228706,-4.667,0.16,119.929
0.772,Morad,5wFtUYK4cSjgVc760eLlcs,Paz,7,0.468,0.194,186000,-7.448,0.147,99.978
0.686,Don Bigg,5TS6S3z1cmGEe9jVHXcP8o,L'Étranger,7,0.599,0.232,209190,-7.987,0.0586,150.04
0.887,Draganov,7MahBaXzhvYCL7w9wXF4Wx,CHICHI,1,0.636,0.0511,188000,-10.792,0.364,135.098
0.746,BTS,5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,6,0.765,0.0112,199054,-4.41,0.0993,114.044
0.719,Victony,25Kyv5SeEenT0EETpP2hYn,"Soweto (with Don Toliver, Rema and Tempoe)",5,0.756,0.0541,219500,-5.392,0.0761,105.024
0.563,Lartiste,6Cz19JJwGyVgvYS04kMdSi,00:00,4,0.572,0.64,238940,-8.769,0.125,95.013
0.792,Ayra Starr,1xs8bOvm3IzEYmcLJVOc34,Rush,1,0.503,0.0369,185093,-8.044,0.0626,99.97
0.766,OUENZA,68n0XVahvsr0v0usJzykTH,Mandem,7,0.621,0.00354,278095,-9.39,0.0929,125.996
0.642,CKay,1EYeZGTMCjV7uVey5fNWXM,love nwantiti (feat. ElGrande Toto) - North African Remix,1,0.723,0.58,135480,-6.149,0.243,186.043
0.852,Draganov,5z6UUvFwwyJn0k0vGp2anB,Taline,11,0.543,0.165,176000,-10.323,0.2,139.992
0.763,Jul,29n9av2AJlYDHtqfuv0X04,La street,4,0.919,0.132,200107,-4.041,0.112,134.918
0.663,ElGrandeToto,6AFbOjmJNeCHXmoh1Ve1XM,Haram (Pablo II),6,0.739,0.413,266533,-6.001,0.177,74.956
0.594,7ari,0SUlLkixUcXSZeYaCatnZP,Vvs,4,0.578,0.183,224628,-8.061,0.165,181.44
0.707,Ta Ha,0aDZlrKCeRuZSSg6SXDXMF,بالهدى,1,0.452,0.527,237363,-12.468,0.0626,136.244
0.875,Liamsi,06l63fDOp1qRltZbA6r4nP,MON LOVE OHO,1,0.827,0.238,139714,-7.258,0.248,140.115
0.448,Mons,40jfMLYNI2KujchwoPwc0a,Iori 5,11,0.524,0.622,190737,-11.653,0.206,183.232
0.855,Oualid,5oqiOSeSuSIX5aiXI2s8ug,Ya Nari,8,0.691,0.184,130000,-6.403,0.172,122.975
0.742,MA3IZ,7syDtybPIIxoR1jvz6w8nI,JRO7I,4,0.646,0.472,192000,-7.496,0.253,89.949
0.557,BTS,6m1TWFMeon7ai9XLOzdbiR,FAKE LOVE,2,0.719,0.00267,242334,-4.515,0.0371,77.502
0.701,Anys,2XoeD3lix5eVNEa40ZFtHW,Si tu savais,7,0.806,0.471,192340,-6.107,0.037,140.961
0.822,Morad,1Dlzq86mlvJEkaGoS9c7MN,Desespero,10,0.598,0.275,194400,-5.716,0.0581,100.015
0.765,Lbenj,1PlEAxwiW6xk3rrVDlztcB,JMI,3,0.764,0.259,217500,-7.353,0.0489,127.963
0.795,ElGrandeToto,2BJh2IoGeq0UQVsLHUcbrK,Salade Coco,6,0.889,0.222,167731,-4.177,0.0762,140.093
0.59,Yvzid,0bxd1G6TBQaxnKptoRw4OX,Mrta7,10,0.467,0.433,190381,-10.046,0.352,84.889
