danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.829,Lil Durk,6HgWWaMu31KdOpEG5l28BG,All My Life (feat. J. Cole),3,0.436,0.15,223204,-8.205,0.327,143.031
0.768,Rema,1iBWjQ9af9NnUd5xnQDB3k,Charm,4,0.663,0.581,204750,-6.901,0.0355,96.039
0.782,BNXN fka Buju,69bvwTwKZBlynqbMyZmEO2,PRAY,1,0.594,0.157,177931,-6.337,0.0414,116.027
0.837,Davido,1mk8ZC9OeTZMr8Wy31LqRj,FEEL,2,0.831,0.0923,154513,-6.21,0.08,111.978
0.821,Young Jonn,59sAr7NvZDeH7oYrkiyZcQ,Aquafina,6,0.619,0.0286,168103,-9.496,0.102,115.949
0.826,Adekunle Gold,0Em4eY10PGyiBlmjWxcav3,Party No Dey Stop,5,0.657,0.204,168858,-7.779,0.147,118.049
0.788,Davido,2kaH2Z8ezDUKf6fNw250rZ,UNAVAILABLE (feat. Musa Keys),2,0.649,0.253,169912,-9.674,0.0532,113.009
0.581,Zinoleesky,7rIHP8C7oHYONnJpLjVnAc,Many Things,11,0.654,0.345,167882,-5.87,0.285,124.387
0.724,Davido,7vKXc90NT5WBm3UTT4iTVG,KANTE (feat. Fave),6,0.809,0.182,194040,-5.022,0.0929,99.005
0.867,Asake,6upXA8xqJ5heoVw4nd5Zvs,2:30,8,0.692,0.333,138305,-8.973,0.143,117.968
0.838,BNXN fka Buju,6wuMo4ZR83PhlhXhJ1S3VY,GWAGWALADA,4,0.569,0.194,190542,-8.414,0.0529,113.046
0.707,Smada,2KVr1xCwXXLP5xdXSr0U54,PAPILO (Smadumodu),7,0.754,0.437,132174,-6.751,0.0291,137.944
0.895,Kizz Daniel,7uifQO5WcO2x15mdA6W50L,Shu-Peru,6,0.724,0.352,139377,-6.166,0.0787,115.068
0.702,ODUMODUBLVCK,1sEIkVGd7fG4K5wFQS6f6y,DECLAN RICE,7,0.783,0.031,123713,-5.204,0.23,187.986
0.77,CKay,05pGxMUPDOu3lQVDMg6nqS,HALLELUJAH (feat. Blaqbonez),0,0.456,0.0518,137143,-8.964,0.0344,111.983
0.568,Davido,5DttTktPy0RMZPz4UNfFm4,NO COMPETITION (feat. Asake),2,0.868,0.381,156213,-2.659,0.0825,99.525
0.719,Victony,25Kyv5SeEenT0EETpP2hYn,"Soweto (with Don Toliver, Rema and Tempoe)",5,0.756,0.0541,219500,-5.392,0.0761,105.024
0.473,Rema,3ceZIRUX8m8qFFcnEDkj2K,Holiday,6,0.675,0.347,159100,-10.175,0.0832,111.862
0.829,Ruger,0JoCuk9LuUwjLavIGxtKs9,Jonzing Boy,2,0.586,0.342,185660,-5.751,0.0538,106.051
0.711,Omah Lay,1wADwLSkYhrSmy4vdy6BRn,soso,3,0.725,0.424,183057,-8.315,0.0941,105.016
