danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.492,Morgan Wallen,7K3BhSpAxZBznislvUMVtn,Last Night,6,0.675,0.467,163855,-5.456,0.0389,203.759
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.696,PinkPantheress,6AQbmUe0Qwf5PZnt4HmTXv,Boy's a Liar Pt. 2,5,0.809,0.252,131013,-8.254,0.05,132.962
0.644,SZA,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,8,0.735,0.0521,153947,-5.747,0.0391,88.98
0.573,Libianca,26b3oVLrRUaaybJulow9kz,People,10,0.422,0.551,184791,-7.621,0.0678,124.357
0.684,Miguel,0JXXNGljqupsJaZsgSbMZV,Sure Thing,11,0.607,0.0267,195373,-8.127,0.1,81.001
0.558,"Tyler, The Creator",7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),6,0.559,0.371,180387,-9.222,0.0959,78.558
0.799,Rema,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),11,0.802,0.429,239318,-5.196,0.0371,107.008
0.369,Zach Bryan,3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,4,0.192,0.555,228013,-12.151,0.04,175.212
0.52,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,As It Was,6,0.731,0.342,167303,-5.338,0.0557,173.93
0.559,SZA,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,5,0.551,0.141,201800,-7.231,0.132,143.008
0.69,J. Cole,68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,10,0.521,0.324,292799,-8.492,0.339,100.028
0.829,Lil Durk,6HgWWaMu31KdOpEG5l28BG,All My Life (feat. J. Cole),3,0.436,0.15,223204,-8.205,0.327,143.031
0.828,Fleetwood Mac,0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,0,0.492,0.0644,257800,-9.744,0.0276,120.151
0.697,OneRepublic,4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,0,0.802,0.0988,148120,-6.412,0.0456,139.951
0.795,Lil Mabu,0Ymjv0OJeIIPXr6s9wi3iW,MATHEMATICAL DISRESPECT,1,0.507,0.0612,88304,-8.06,0.303,146.771
0.793,Ed Sheeran,3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,11,0.52,0.246,194926,-7.457,0.0696,107.014
0.737,L.A.B.,2xHZ0R5LYEbD18FOTjO7dO,Take It Away,7,0.746,0.181,212280,-7.973,0.109,78.051
0.716,Kendrick Lamar,2HbKqm4o0w5wEeEFXm2sD4,Money Trees,7,0.531,0.0703,386907,-7.355,0.122,71.994
0.974,L.A.B.,6r88rMGtfNgC0SJEytTA7c,In the Air,9,0.643,0.105,252680,-8.857,0.0452,117.985
0.954,Coi Leray,6UN73IYd0hZxLi8wFPMQij,Players,6,0.516,0.03,139560,-5.817,0.16,105.001
0.575,The Weeknd,4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,1,0.5,0.227,232857,-7.594,0.0707,67.033
0.633,Bakar,0rVJ6v23RQozOIvr1YotJP,Hell N Back,10,0.684,0.314,213573,-4.314,0.591,209.688
0.637,Taylor Swift,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,4,0.643,0.13,200690,-6.571,0.0519,97.008
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95
0.538,RAYE,5mHdCZtVyb4DcJw8799hZp,Escapism.,2,0.742,0.138,272373,-5.355,0.114,96.107
0.436,Labrinth,6unndO70DvZfnXYcYQMyQJ,Never Felt So Alone,5,0.409,0.499,160166,-4.438,0.0533,98.357
0.642,Kali Uchis,0JmnkIqdlnUzPaf8sqBRs3,Moonlight,7,0.706,0.518,187723,-6.872,0.052,136.851
0.823,Kali,7sliFe6W30tPBPh6dvZsIH,Area Codes,1,0.388,0.0187,139326,-10.867,0.491,154.569
0.516,Lizzy McAlpine,2L9N0zZnd37dwF0clgxMGI,ceilings,9,0.322,0.473,182888,-11.762,0.0292,148.005
0.484,Vance Joy,7yq4Qj7cqayVTp3FF9CWbm,Riptide,1,0.731,0.431,204280,-6.694,0.0379,101.654
0.586,The Weeknd,2LBqCSwhJGcFQeTHMVGwy3,Die For You,1,0.525,0.111,260253,-7.163,0.0615,133.629
0.788,Ed Sheeran,3xWGA8pa0IKFI7IMPri4P0,Shivers,2,0.859,0.281,207853,-2.724,0.0856,141.02
0.515,JVKE,5odlY52u43F5BjByhxg7wg,golden hour,4,0.593,0.653,209260,-4.801,0.0322,94.467
0.795,Elton John,6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,1,0.8,0.0354,202735,-6.32,0.0309,116.032
0.712,Luke Combs,1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,8,0.603,0.186,265493,-5.52,0.0262,97.994
0.913,Frank Ocean,3GZD6HmiNUhxXYf8Gch723,Lost,8,0.603,0.0272,234093,-4.892,0.226,123.061
0.733,Chris Brown,5IgjP7X4th6nMNDh4akUHb,Under The Influence,9,0.69,0.0635,184613,-5.529,0.0427,116.992
0.712,Sam Smith,0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),2,0.463,0.011,156943,-7.399,0.0797,131.199
0.545,Frank Ocean,3xKsf9qdS1CyvXSMEid6g8,Pink + White,9,0.545,0.667,184516,-7.362,0.107,159.94
0.501,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,1,0.405,0.751,182161,-5.679,0.0319,109.891
0.495,J. Cole,4tqcoej1zPvwePZCzuAjJd,Wet Dreamz,6,0.722,0.0697,239267,-8.108,0.357,175.627
