danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.637,Sharn,24MMjyA3NLqCsDJfsn51eg,Mi Amor,4,0.703,0.53,203049,-5.297,0.0789,81.99
0.577,Kaifi Khalil,4VsP4Dm8gsibRxB5I2hEkw,Kahani Suno 2.0,11,0.379,0.909,173638,-13.235,0.0374,139.585
0.768,Shubh,08Isz2ETWSBhvIl8UpKYsp,No Love,4,0.487,0.24,170388,-8.936,0.0431,137.034
0.582,Pritam,0czcoKJbJt08NqKrvSbbz7,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",7,0.418,0.794,313051,-8.701,0.0288,112.909
0.462,Abdul Hannan,0OdztoASgKBBNcAgtErk0X,Bikhra,6,0.371,0.794,168300,-11.604,0.0988,99.662
0.834,Ali Sethi,1WMImncoIZZ7Bz0Y6cZGVp,Left Right,7,0.545,0.735,196250,-8.024,0.117,98.041
0.737,Rovalio,6qrifdo7QINdPQr80IelGi,Iraaday,6,0.458,0.601,133306,-5.805,0.0317,89.993
0.711,Ikky,42TMa2hgBNjte4uV7jNCnQ,Baller,5,0.702,0.00487,148188,-10.048,0.233,180.219
0.86,AP Dhillon,1aL9518P5G72N92b48tuKw,Summer High,1,0.541,0.165,177391,-6.51,0.0325,114.984
0.811,Tarna,1UG1pIgd5f1NU0byyGfm6w,Hail,1,0.746,0.686,130345,-4.742,0.175,115.994
0.665,BTS,4IJsVXbSeGPUrgwpVoHmlg,The Planet,0,0.848,0.000482,178156,-3.619,0.0708,119.986
0.756,Guru Randhawa,3oWv5qDKYN7MH6FdlglMN5,Moon Rise,3,0.713,0.365,174057,-6.91,0.122,92.039
0.589,Pritam,4blqlsA1uf2d2I40E90EUC,"Tere Hawaale (From ""Laal Singh Chaddha"")",9,0.522,0.642,346291,-10.649,0.0391,109.094
0.847,Chani Nattan,3wz2vWhYnnBoFmgMkqtzLy,Daku,8,0.558,0.325,131078,-5.855,0.0663,98.062
0.744,Aditya Rikhari,1d5lpW3gUyq537iuyrb9Lf,Samjho Na,0,0.328,0.681,172408,-12.535,0.231,98.923
0.577,Pritam,4UMIv5jd9gK98a39BQRD9X,Kesariya,0,0.574,0.572,268165,-6.525,0.0278,94.009
0.692,Various Artists,6TClJ8jXi3OBV7gcrU3jx5,TERE TE,7,0.488,0.0508,114419,-10.96,0.135,171.9
0.77,King,0yCWDaAgOtg6TKlNCg9rwA,Tu Aake Dekhle,11,0.84,0.515,270000,-4.022,0.107,96.012
0.698,King,1418IuVKQPTYqt7QNJ9RXN,Maan Meri Jaan,6,0.505,0.354,194654,-8.242,0.0356,95.868
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.837,AP Dhillon,29m79w9xPMH4YCD6r8JSmV,Excuses,5,0.717,0.0842,176233,-7.749,0.0822,94.984
0.82,Shubh,6ZYxNjuAU9Vy3VtF6W1dtE,We Rollin,4,0.504,0.261,199206,-9.113,0.141,85.016
0.799,Rema,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),11,0.802,0.429,239318,-5.196,0.0371,107.008
0.557,Sidhu Moose Wala,5W7DOVGQLTigu09afW7QMT,295,11,0.794,0.179,270000,-5.698,0.2,91.366
0.811,AP Dhillon,7AsG1F1eMWd17RYan8M3Wm,Dil Nu,1,0.655,0.0947,233666,-7.118,0.0353,117.979
0.739,Sachet Tandon,73K33p4Vyz9koXGqmL5eFs,Malang Sajna,10,0.716,0.232,160194,-4.964,0.037,113.943
0.756,Abdul Hannan,6xFWVY7hS55qaF7fXBEw7X,Siyah,10,0.417,0.538,171290,-6.776,0.0336,123.957
0.714,Shae Gill,7lvDsmTRXFE3dK4OjvRiWB,Pasoori,11,0.596,0.0657,224147,-6.206,0.043,91.991
0.828,Shubh,2AilvPt1AQ8PixlCKqkjfj,Elevated,6,0.533,0.214,200659,-5.779,0.091,93.021
0.629,Jimin,3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,7,0.733,0.0025,212241,-5.445,0.0419,120.001
0.772,Bir,7o1SDLghDwMc4OW3rKakVt,Afterhours,11,0.703,0.211,140153,-7.73,0.122,90.036
0.562,Arijit Singh,2FCXQHugkoHE1K3tiDu8pu,"Agar Tum Saath Ho (From ""Tamasha"")",3,0.519,0.557,341055,-8.744,0.0326,122.925
0.676,Shubh,6biqkuWq069vByAEeGxZlr,Her,11,0.447,0.201,154080,-8.827,0.0942,84.715
0.5,Nehaal Naseem,4LIQacKPUjto8rVlVuY09O,Beqadra,0,0.35,0.47,183782,-10.738,0.372,76.738
0.73,Jassa Dhillon,4ZVtid5khBfDx6Co0vTUE6,SPAIN,6,0.673,0.324,104007,-6.625,0.0685,90.058
0.645,Aditya Rikhari,0s76ExpXyMGVBlKLUr683e,Faasle,1,0.324,0.754,221989,-13.621,0.0545,162.037
0.573,Libianca,26b3oVLrRUaaybJulow9kz,People,10,0.422,0.551,184791,-7.621,0.0678,124.357
0.581,Azaan Sami Khan,6KtSNVgCmQEvDgIuHoXAkT,Ik Lamha,5,0.578,0.671,258857,-7.571,0.0524,140.0
0.789,Diljit Dosanjh,3ZGJhN4unVspOqpwGvUL2W,Lemonade,1,0.744,0.281,166667,-7.245,0.0414,143.998
0.724,Mitraz,2l3dFxtoSMgMQVyRIUHjpz,Akhiyaan,2,0.618,0.0533,191869,-9.007,0.0534,100.021
0.796,Various Artists,3UhmuWcFaLS3AO3kI9ynQ2,Insane,8,0.572,0.416,206061,-7.03,0.0545,98.967
0.508,Asim Azhar,6DefzsWqnwrFrmNVnJxWkS,Jo Tu Na Mila,0,0.507,0.0636,234037,-5.33,0.0384,159.68
0.616,Atif Aslam,0uSsibjt7ZjdRwHTJrqWOT,Moonrise,5,0.828,0.259,169200,-4.912,0.19,99.78
0.475,Anuv Jain,5iCY0TXNImK4hyKfcplQsg,Baarishein,2,0.124,0.926,207310,-9.463,0.0444,94.42
0.697,Agust D,4bjN59DRXFRxBE1g5ne6B1,Haegeum,7,0.837,0.313,168927,-2.651,0.304,85.097
0.798,Riar Saab,6Z4rRhYZVQsYKmrxD40tru,Obsessed,5,0.74,0.616,190444,-4.099,0.0861,134.932
0.817,Vishal-Shekhar,6FAYpZ4jve8vpvTwUvjK6H,Jhoome Jo Pathaan,7,0.738,0.0964,208164,-7.639,0.0748,104.964
0.705,Hassan & Roshaan,0hOqMsscursarJjpcMgGgu,Sukoon,4,0.493,0.283,255765,-7.12,0.0552,149.957
0.679,The Weeknd,7MXVkk9YMctZqd1Srtv4MB,Starboy,7,0.587,0.141,230453,-7.015,0.276,186.003
0.792,Rap Demon,5ZCHWdMgsdoo78m9prkhOR,Agency,7,0.618,0.174,271698,-8.139,0.0841,105.997
