danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.569,Grupo Frontera,6pD0ufEQq0xdHSsRbg9LBK,un x100to,6,0.724,0.228,194563,-4.076,0.0474,83.118
0.859,Feid,6XSqqQIy7Lm7SnwxS4NrGx,Classy 101,11,0.658,0.145,195987,-4.79,0.159,100.065
0.812,Yng Lvcas,2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,2,0.479,0.213,234353,-5.678,0.333,169.922
0.783,Yandel,4FAKtPVycI4DxoOHC01YqD,Yandel 150,6,0.729,0.0492,216148,-3.549,0.0691,167.968
0.668,Eslabon Armado,3qQbCzHBycnDpGskqOWY0E,Ella Baila Sola,5,0.758,0.483,165671,-5.176,0.0332,147.989
0.72,KAROL G,0DWdj2oZMBFSzRsi2Cvfzf,TQG,4,0.63,0.673,199440,-3.547,0.277,179.974
0.901,Ozuna,1zsPaEkglFvxjAhrM8yhpr,Hey Mor,1,0.589,0.00302,196600,-6.713,0.289,98.002
0.865,Feid,2CeKVsFFXG4QzA415QygGb,Feliz Cumpleaños Ferxxo,5,0.573,0.0863,155960,-5.501,0.0678,94.999
0.743,Feid,0CYTGMBYkwUxrj1MWDLrC5,CHORRITO PA LAS ANIMAS,8,0.831,0.114,168133,-4.042,0.0584,95.975
0.838,Taiu,7MVIfkyzuUmQ716j8U7yGR,Rara Vez,5,0.708,0.176,128677,-4.668,0.166,119.984
0.835,Manuel Turizo,3tt9i3Hhzq84dPS8H7iSiJ,La Bachata,7,0.679,0.583,162638,-5.329,0.0364,124.98
0.823,Feid,3Gs7mVfWKl567mjozgxmXv,Niña Bonita,7,0.615,0.104,187653,-4.19,0.147,90.952
0.709,Feid,0T2pB7P1VdXPhLdQZ488uH,Normal,4,0.56,0.034,171880,-4.867,0.171,170.082
0.629,Jimin,3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,7,0.733,0.0025,212241,-5.445,0.0419,120.001
0.838,LiL CaKe,1DxEbt6OSbrkRthk6pjZue,MERCHO,6,0.79,0.431,161452,-1.602,0.108,92.927
0.778,Bizarrap,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",2,0.632,0.274,218289,-5.6,0.0493,122.104
0.913,TINI,04ndZkbKGthTgYSv3xS7en,Cupido,9,0.584,0.521,174370,-5.263,0.223,119.873
0.887,Arcángel,2mnXxnrX5vCGolNkaFvVeM,La Jumpa,9,0.234,0.111,196800,-14.52,0.178,140.02
0.768,ROSALÍA,609E1JCInJncactoMmkDon,BESO,5,0.644,0.736,194543,-6.671,0.136,95.05
0.911,Bad Bunny,6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,1,0.712,0.0901,178567,-5.105,0.0817,92.005
0.757,Mora,5jt25aFjW2kNoBqaEVaz5W,LA INOCENTE,5,0.789,0.307,202174,-3.46,0.0583,91.911
0.683,Eladio Carrion,0PB0O24JqAuNdOAFVJljMS,Coco Chanel,2,0.764,0.0427,160325,-5.995,0.0441,149.949
0.748,Shakira,7txjUEY6McJDJKqIo1Rxjp,Acróstico,11,0.478,0.837,170786,-8.886,0.121,143.866
0.765,Cris Mj,0NO2zL0kw8sGGnaMvHKAZF,Marisola - Remix,1,0.872,0.173,237474,-5.863,0.0498,94.999
0.621,Bizarrap,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",2,0.782,0.0125,198938,-5.548,0.044,128.033
0.605,Yahritza Y Su Esencia,4JdSXF2p71cr8uCY3UiJM0,Frágil,6,0.726,0.365,160518,-4.515,0.0309,149.918
0.647,Bad Bunny,3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,3,0.686,0.08,258299,-5.745,0.0413,79.928
0.794,KAROL G,4NoOME4Dhf4xgxbHDT7VGe,X SI VOLVEMOS,1,0.807,0.334,200120,-3.447,0.326,178.003
0.523,KAROL G,6otePxalBK8AVa20xhZYVQ,MIENTRAS ME CURO DEL CORA,0,0.477,0.855,164387,-6.786,0.392,79.921
0.801,Bad Bunny,5Eax0qFko2dh7Rl2lYs3bx,Efecto,7,0.475,0.141,213061,-8.797,0.0516,98.047
0.818,Anuel AA,3XjvMZqm2AQ8thMCD6w9w2,Mas Rica Que Ayer,11,0.666,0.343,199149,-5.319,0.0759,93.95
0.754,J Balvin,0fea68AdmYNygeTGI4RC18,LA CANCIÓN,7,0.646,0.152,242573,-5.795,0.317,176.089
0.836,Rauw Alejandro,1aUq8rjW1EwkAkMri4VfJy,LOKERA,11,0.826,0.213,197101,-2.66,0.0461,102.025
0.744,Danny Ocean,6ifUES3keWjwXgae8pXI3o,Me Rehúso,1,0.804,0.0231,205715,-6.327,0.0677,104.823
0.87,KAROL G,3HqcNJdZ2seoGxhn0wVNDK,PROVENZA,1,0.517,0.576,207627,-7.918,0.0475,111.002
0.841,Plan B,3KZCP2StVGdWkOKyRZNWA4,Es un Secreto,6,0.774,0.117,192120,-4.963,0.0421,95.006
0.892,Ñengo Flow,54ELExv56KCAB4UP9cOCzC,Gato de Noche,8,0.662,0.169,227013,-3.894,0.162,93.976
0.775,Marshmello,51FvjPEGKq2zByeeEQ43V9,El Merengue,8,0.677,0.0313,189357,-4.703,0.0442,124.011
0.751,Quevedo,4WiQA1AGWHFvaxBU6bHghs,PUNTO G,11,0.761,0.251,151325,-4.113,0.15,92.032
0.957,KAROL G,16dUQ4quIHDe4ZZ0wF1EMN,CAIRO,5,0.677,0.483,198667,-3.979,0.292,115.0
0.627,Rels B,3fjN3y5x4hN53rykAN2LHQ,cómo dormiste?,1,0.429,0.238,112572,-8.255,0.234,126.426
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.623,Jimin,0u8rZGtXJrLtiSe34FPjGG,Like Crazy (English Version),7,0.755,0.00306,212254,-5.386,0.0415,119.957
0.734,Morat,4khWEpnaijN0G1x019Uzdr,No Se Va,0,0.685,0.117,216753,-5.37,0.0453,92.042
0.705,Feid,1sbNEFiURUYfy024cJX8JG,Ferxxo 100,8,0.562,0.257,167760,-3.378,0.0674,163.893
0.499,Big One,3tiJUOfAEqIrLFRQgGgdoY,Un Finde | CROSSOVER #2,11,0.519,0.109,163788,-8.199,0.0595,192.147
0.52,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,As It Was,6,0.731,0.342,167303,-5.338,0.0557,173.93
0.804,Bad Bunny,6Xom58OOXk2SoU711L2IXO,Moscow Mule,5,0.674,0.294,245940,-5.453,0.0333,99.968
0.869,Rauw Alejandro,6mmPpaltUZK7xjNlBPQQ0p,Desesperados,1,0.694,0.356,224997,-3.35,0.0783,90.02
0.876,Bad Bunny,31i56LZnwE6uSu3exoHjtB,Neverita,10,0.498,0.0706,173119,-7.511,0.0478,122.016
