danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.635,Dilaw,47OFMuRu5lzJHRbtEXPBbs,Uhaw (Tayong Lahat),5,0.724,0.28,241186,-6.662,0.0716,135.927
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.672,Miley Cyrus,1daDRI9ahBonbWD8YcxOIB,Angels Like You,5,0.642,0.0981,196453,-4.035,0.0313,121.981
0.71,SunKissed Lola,0uZFcsx96wzbixsULmrg8o,Pasilyo,2,0.61,0.415,270250,-4.674,0.0351,120.032
0.635,Adie,47sq83n5WN22ZzYnGn8aTy,Mahika,7,0.451,0.742,201951,-7.406,0.0391,81.976
0.644,SZA,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,8,0.735,0.0521,153947,-5.747,0.0391,88.98
0.559,SZA,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,5,0.551,0.141,201800,-7.231,0.132,143.008
0.575,The Weeknd,4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,1,0.5,0.227,232857,-7.594,0.0707,67.033
0.627,Calein,4AULw1VRyJP17zMvwgTIUs,Umaasa,9,0.433,0.295,335625,-9.868,0.0232,96.016
0.894,Jeff Grecia,7g0PwcVq4qNuum1ex9OO0N,Elevate,0,0.63,0.535,218651,-10.993,0.14,121.08
0.552,Taylor Swift,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,9,0.702,0.117,178427,-5.707,0.157,169.994
0.574,d4vd,78Sw5GDo6AlGwTwanjXbGh,Here With Me,4,0.469,0.534,242485,-8.209,0.0254,132.023
0.637,Taylor Swift,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,4,0.643,0.13,200690,-6.571,0.0519,97.008
0.74,Sabrina Carpenter,6dgUya35uo964z7GZXM07g,Nonsense,8,0.697,0.0268,163648,-4.912,0.034,138.992
0.688,BLACKPINK,0bYVPJvXr8ACmw313cVvhB,Tally,2,0.637,0.00777,184248,-4.85,0.031,129.902
0.513,NOBITA,16iRlyUMJVPqz62DlomMre,Ikaw Lang,11,0.38,0.12,263500,-11.091,0.0336,120.952
0.652,Lola Amour,4mc3rUoMwwiNTHA4al9nNd,Fallen,6,0.76,0.221,201807,-4.098,0.0406,98.079
0.718,Taylor Swift,4P9Q0GojKVXpRTJCaL3kyy,All Of The Girls You Loved Before,2,0.467,0.707,221407,-9.66,0.0398,95.96
0.535,Taylor Swift,3sqrvkNC6IPTIXvvbx9Arw,Enchanted,8,0.618,0.0716,352200,-3.913,0.0273,81.975
0.804,NewJeans,65FftemJ1DbbZ45DUfHJXE,OMG,9,0.771,0.357,212253,-4.067,0.0433,126.956
0.586,The Weeknd,2LBqCSwhJGcFQeTHMVGwy3,Die For You,1,0.525,0.111,260253,-7.163,0.0615,133.629
0.874,Kenaniah,0kDeE8TezXDY1QadpjAQQq,Bahala Na,11,0.404,0.424,228689,-11.168,0.0861,122.001
0.593,New West,50x1Ic8CaXkYNvjmxe3WXy,Those Eyes,4,0.352,0.695,220750,-8.296,0.0284,119.988
0.841,JISOO,69CrOS7vEHIrhC2ILyEi0s,FLOWER,9,0.384,0.0236,173134,-7.684,0.0351,123.961
0.642,Kali Uchis,0JmnkIqdlnUzPaf8sqBRs3,Moonlight,7,0.706,0.518,187723,-6.872,0.052,136.851
0.643,Taylor Swift,3rWDp9tBPQR9z6U5YyRSK4,Midnight Rain,0,0.363,0.69,174783,-11.738,0.0767,139.865
0.429,Arthur Nery,0HAG6nIiEKd75yGpovuSJQ,Isa lang,6,0.464,0.783,269256,-8.445,0.0719,121.17
0.695,Dilaw,5SyigMsSY8uAV1m27fhnLD,Uhaw,2,0.337,0.846,267049,-9.196,0.0419,122.0
0.577,keshi,2bdVgAQgosGUJoViVDNeOV,LIMBO,8,0.366,0.879,212785,-11.792,0.0368,129.923
0.519,Adie,2jbf9EytR7fzpSrPWAYCf9,Paraluman,5,0.246,0.774,312320,-13.85,0.0396,90.121
