danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.603,Adele,7j4OmvkjRz0PrjFADlHfQx,Set Fire to the Rain,2,0.67,0.00408,242974,-3.882,0.0249,107.993
0.593,INTERWORLD,2ksyzVfU0WJoBpu8otr4pz,METAMORPHOSIS,7,0.641,0.426,142839,-12.727,0.0992,175.014
0.629,Jimin,3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,7,0.733,0.0025,212241,-5.445,0.0419,120.001
0.644,SZA,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,8,0.735,0.0521,153947,-5.747,0.0391,88.98
0.696,PinkPantheress,6AQbmUe0Qwf5PZnt4HmTXv,Boy's a Liar Pt. 2,5,0.809,0.252,131013,-8.254,0.05,132.962
0.442,Tom Odell,7jtQIBanIiJOMS6RyCx6jZ,Another Love,4,0.538,0.717,244360,-8.55,0.0451,122.758
0.671,Mohammed Saeed,0zzrAsIPYKENTWOwZqYjYp,Alo Aleky,7,0.41,0.921,178886,-8.192,0.183,165.955
0.464,Arctic Monkeys,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,0,0.417,0.136,183956,-9.345,0.0256,67.528
0.679,The Weeknd,7MXVkk9YMctZqd1Srtv4MB,Starboy,7,0.587,0.141,230453,-7.015,0.276,186.003
0.737,sped up 8282,3B228N0GxfUCwPyfNcJxps,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,5,0.725,0.417,145200,-7.989,0.0414,144.069
0.568,Lana Del Rey,1FEiijYPJtyswChfcpv3p0,Summertime Sadness,1,0.646,0.0464,264773,-6.793,0.0332,111.945
0.54,JIN,0h7QMc9ZRzA9QJrbEHytn2,The Astronaut,5,0.761,0.00446,282463,-5.356,0.0311,124.988
0.369,Cigarettes After Sex,3AVrVz5rK8Hrqo9YGiVGN5,Apocalypse,5,0.467,0.0194,290147,-9.018,0.0274,94.473
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95
0.621,Maha Ftouni,5DWgoXhsm5LjfyERSbaqzO,El Sabr Gamel -الصبر جميل,2,0.532,0.762,299431,-7.639,0.0459,143.948
0.637,Eminem,561jH07mF1jHuk7KlaeF0s,Mockingbird,0,0.678,0.209,250760,-3.798,0.266,84.039
0.466,Øneheart,4xF4ZBGPZKxECeDFrqSAG4,snowfall,10,0.0918,0.929,124066,-26.813,0.0269,95.014
0.52,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,As It Was,6,0.731,0.342,167303,-5.338,0.0557,173.93
0.841,JISOO,69CrOS7vEHIrhC2ILyEi0s,FLOWER,9,0.384,0.0236,173134,-7.684,0.0351,123.961
0.575,The Weeknd,4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,1,0.5,0.227,232857,-7.594,0.0707,67.033
0.679,Abdul Majeed Abdullah,4tKBEzm5jPrV4b1GYZnN2P,يا ابن الأوادم,4,0.792,0.228,295649,-6.795,0.0594,114.26
0.409,Cigarettes After Sex,0Qr61NXlyAeQaADO5xn3rI,Cry,7,0.399,0.763,256800,-10.456,0.0275,142.823
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.574,d4vd,78Sw5GDo6AlGwTwanjXbGh,Here With Me,4,0.469,0.534,242485,-8.209,0.0254,132.023
0.538,RAYE,5mHdCZtVyb4DcJw8799hZp,Escapism.,2,0.742,0.138,272373,-5.355,0.114,96.107
0.586,The Weeknd,2LBqCSwhJGcFQeTHMVGwy3,Die For You,1,0.525,0.111,260253,-7.163,0.0615,133.629
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.571,d4vd,1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,6,0.544,0.453,132631,-10.613,0.0299,132.052
0.799,Rema,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),11,0.802,0.429,239318,-5.196,0.0371,107.008
0.623,Jimin,0u8rZGtXJrLtiSe34FPjGG,Like Crazy (English Version),7,0.755,0.00306,212254,-5.386,0.0415,119.957
0.684,Metro Boomin,2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),7,0.671,0.189,199920,-4.392,0.0464,88.048
0.579,Samar Tarik,21pRBYqcpAHzzyrSrX2HCb,Lw,7,0.262,0.865,201951,-12.373,0.0968,164.093
0.712,Kordhell,6qyS9qBy0mEk3qYaH8mPss,Murder In My Mind,10,0.972,0.00547,145000,-0.514,0.112,119.966
0.612,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,10,0.807,0.0495,240400,-2.81,0.0336,124.053
0.571,Metro Boomin,5wG3HvLhF6Y5KTGlK0IW3J,Trance (with Travis Scott & Young Thug),1,0.549,0.18,194787,-7.38,0.404,119.497
0.73,Adele,6IAZHEBUIGJ6NJKxxOBIEr,Rolling in the Deep,8,0.769,0.138,228093,-5.114,0.0298,104.948
0.573,Libianca,26b3oVLrRUaaybJulow9kz,People,10,0.422,0.551,184791,-7.621,0.0678,124.357
0.665,BTS,4IJsVXbSeGPUrgwpVoHmlg,The Planet,0,0.848,0.000482,178156,-3.619,0.0708,119.986
0.294,Lana Del Rey,2mdEsXPu8ZmkHRRtAdC09e,Cinnamon Girl,6,0.337,0.814,300683,-10.614,0.036,91.781
0.645,Tory Lanez,3azJifCSqg9fRij2yKIbWz,The Color Violet,6,0.534,0.157,226467,-10.8,0.0479,105.02
0.453,Keane,0ll8uFnc0nANY35E0Lfxvg,Somewhere Only We Know,9,0.655,0.0794,236160,-4.22,0.0259,172.012
0.613,Taylor Swift,4R2kfaDFhslZEMJqAFNpdd,cardigan,0,0.581,0.537,239560,-8.588,0.0424,130.033
0.649,Aiman Qusailah,6tz18XXepNwclwplcUpGO9,Qalt Habiby,3,0.346,0.83,245304,-10.384,0.124,119.653
