danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.841,JISOO,69CrOS7vEHIrhC2ILyEi0s,FLOWER,9,0.384,0.0236,173134,-7.684,0.0351,123.961
0.804,NewJeans,65FftemJ1DbbZ45DUfHJXE,OMG,9,0.771,0.357,212253,-4.067,0.0433,126.956
0.795,LE SSERAFIM,51vRumtqbkNW9wrKfESwfu,UNFORGIVEN (feat. Nile Rodgers),4,0.875,0.111,182149,-4.079,0.0525,104.008
0.683,IVE,70t7Q6AYG6ZgTYmJWcnkUM,I AM,4,0.875,0.0115,183853,-4.866,0.0549,122.002
0.688,BLACKPINK,0bYVPJvXr8ACmw313cVvhB,Tally,2,0.637,0.00777,184248,-4.85,0.031,129.902
0.693,BLACKPINK,5zwwW9Oq7ubSxoCGyW1nbY,Pink Venom,4,0.734,0.0145,186964,-6.189,0.202,180.06
0.818,BLACKPINK,7gRFDGEzF9UkBV233yv2dc,Shut Down,0,0.69,0.00327,175889,-5.119,0.0454,110.071
0.771,SEVENTEEN,3AOf6YEpxQ894FmrwI9k96,Super,8,0.88,0.162,200387,-4.091,0.0857,137.018
0.644,SZA,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,8,0.735,0.0521,153947,-5.747,0.0391,88.98
0.774,FIFTY FIFTY,5mg3VB3Qh7jcR5kAAC4DSV,Cupid,2,0.66,0.662,174253,-8.2,0.0328,120.023
0.814,NewJeans,3r8RuvgbX9s7ammBn07D3W,Ditto,6,0.641,0.027,185507,-5.957,0.111,133.854
0.515,JVKE,5odlY52u43F5BjByhxg7wg,golden hour,4,0.593,0.653,209260,-4.801,0.0322,94.467
0.575,The Weeknd,4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,1,0.5,0.227,232857,-7.594,0.0707,67.033
0.915,BLACKPINK,0L8LOav65XwLjCLS11gNPD,Typa Girl,7,0.621,0.0745,179173,-6.519,0.1,131.984
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.574,d4vd,78Sw5GDo6AlGwTwanjXbGh,Here With Me,4,0.469,0.534,242485,-8.209,0.0254,132.023
0.812,BLACKPINK,4SFknyjLcyTLJFPKD2m96o,How You Like That,11,0.761,0.0465,182956,-5.222,0.0812,130.032
0.763,TAEYANG,5HrIcZOo1DysX53qDRlRnt,Shoong! (feat. LISA of BLACKPINK),11,0.699,0.00789,205101,-6.118,0.0554,110.01
0.672,Miley Cyrus,1daDRI9ahBonbWD8YcxOIB,Angels Like You,5,0.642,0.0981,196453,-4.035,0.0313,121.981
0.484,Ronghao Li,4p9jbhD6N7HpuECGusu6iT,烏梅子醬,9,0.546,0.502,257252,-6.793,0.0618,169.99
0.574,YOASOBI,7ovUcF5uHTBRzUpB6ZOmvt,アイドル,1,0.935,0.112,213234,-2.783,0.0926,166.008
0.52,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,As It Was,6,0.731,0.342,167303,-5.338,0.0557,173.93
0.713,承桓,5Rzpn60KTM11EBETHaF9Kt,我会等,1,0.449,0.302,195484,-8.288,0.0372,124.067
0.8,IVE,7foeH2Emgq8A3LWk3q6dat,Kitsch,11,0.792,0.0119,195440,-4.953,0.0529,102.0
0.831,LISA,7hU3IHwjX150XLoTVmjD0q,MONEY,1,0.554,0.161,168228,-9.998,0.218,140.026
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09
0.74,Sabrina Carpenter,6dgUya35uo964z7GZXM07g,Nonsense,8,0.697,0.0268,163648,-4.912,0.034,138.992
0.593,NewJeans,0a4MMyCrzT0En247IhqZbD,Hype Boy,4,0.935,0.268,179027,-3.43,0.225,99.976
0.552,Taylor Swift,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,9,0.702,0.117,178427,-5.707,0.157,169.994
0.637,Taylor Swift,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,4,0.643,0.13,200690,-6.571,0.0519,97.008
0.654,BLACKPINK,4Ws314Ylb27BVsvlZOy30C,Lovesick Girls,6,0.707,0.00559,194765,-5.661,0.0664,127.97
0.786,BLACKPINK,4ZxOuNHhpyOj4gv52MtQpT,As If It's Your Last,8,0.852,0.0687,213264,-2.687,0.0813,125.036
0.601,Justin Bieber,6I3mqTwhRpn34SLVafSH7G,Ghost,2,0.741,0.185,153190,-5.569,0.0478,153.96
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95
0.654,BLACKPINK,3MJhPqL2IgGs7gHEB2M35q,Hard to Love,5,0.768,0.00616,162570,-5.007,0.0431,104.97
0.757,aespa,1ULdASrNy5rurl1TZfFaMP,Spicy,11,0.898,0.0138,197040,-1.247,0.0667,114.949
0.551,Stephen Sanchez,1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,10,0.55,0.777,176440,-5.339,0.0286,101.19
0.535,Taylor Swift,3sqrvkNC6IPTIXvvbx9Arw,Enchanted,8,0.618,0.0716,352200,-3.913,0.0273,81.975
0.799,Rema,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),11,0.802,0.429,239318,-5.196,0.0371,107.008
0.309,张远,1IVj6CsBbTgOEpo0W6hgwN,嘉宾,9,0.434,0.672,333629,-8.88,0.0363,71.585
0.697,OneRepublic,4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,0,0.802,0.0988,148120,-6.412,0.0456,139.951
0.737,sped up 8282,3B228N0GxfUCwPyfNcJxps,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,5,0.725,0.417,145200,-7.989,0.0414,144.069
0.586,The Weeknd,2LBqCSwhJGcFQeTHMVGwy3,Die For You,1,0.525,0.111,260253,-7.163,0.0615,133.629
0.763,BLACKPINK,6hvczQ05jc1yGlp9zhb95V,Kill This Love,2,0.835,0.323,191050,-5.234,0.191,131.875
