danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.665,BTS,4IJsVXbSeGPUrgwpVoHmlg,The Planet,0,0.848,0.000482,178156,-3.619,0.0708,119.986
0.831,LISA,7hU3IHwjX150XLoTVmjD0q,MONEY,1,0.554,0.161,168228,-9.998,0.218,140.026
0.763,TAEYANG,5HrIcZOo1DysX53qDRlRnt,Shoong! (feat. LISA of BLACKPINK),11,0.699,0.00789,205101,-6.118,0.0554,110.01
0.629,Jimin,3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,7,0.733,0.0025,212241,-5.445,0.0419,120.001
0.543,Colde,34o6gteNy2T5rieA0xYAgo,Don't ever say love me (feat. RM of BTS),11,0.475,0.355,214920,-6.502,0.0541,145.115
0.418,Cocktail,38uarkAk3Y13onWxwj0MIq,ไม่เป็นรอง,9,0.634,0.624,293226,-6.664,0.0362,186.026
0.697,Agust D,4bjN59DRXFRxBE1g5ne6B1,Haegeum,7,0.837,0.313,168927,-2.651,0.304,85.097
0.841,JISOO,69CrOS7vEHIrhC2ILyEi0s,FLOWER,9,0.384,0.0236,173134,-7.684,0.0351,123.961
0.495,Newery,5OaXaynJZgklXEwzhouey5,กลิ่นดอกไม้,9,0.702,0.0997,232750,-5.603,0.0324,180.077
0.579,เรนิษรา,7BUHKcrvmr9WIAgEBkwukl,ผู้ถูกเลือกให้ผิดหวัง (ดอกไม้ฤดูหนาว) - Sad flower,7,0.341,0.521,270033,-10.106,0.0272,90.061
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.757,aespa,1ULdASrNy5rurl1TZfFaMP,Spicy,11,0.898,0.0138,197040,-1.247,0.0667,114.949
0.544,Pop Pongkool,03Yp2uEOtPGHQ6E9XSjmyv,สลักจิต,11,0.582,0.409,264444,-6.846,0.0375,162.075
0.563,DIDIxDADA,7KmY6wBpheP60rFEJPJBqN,จังหวะตกหลุมรัก - Magic Moment,6,0.424,0.503,188617,-6.757,0.0453,188.014
0.504,SHERRY,5LEp7WRnb0T3L2R2mTa9IZ,เธอไม่ได้สอนให้ฉันอยู่คนเดียว,10,0.589,0.0493,277962,-7.492,0.0271,142.047
0.562,YEW,0ZcyX8hFV1jdJNWOI8mMXF,Summertime,7,0.325,0.87,246818,-13.669,0.0314,131.799
0.818,BLACKPINK,7gRFDGEzF9UkBV233yv2dc,Shut Down,0,0.69,0.00327,175889,-5.119,0.0454,110.071
0.578,THEMOONWILLALWAYSBEWITHME,3Ry2KPewzbt43hiQPTnDTK,ซูลูปาก้า ตาปาเฮ้,9,0.569,0.441,225714,-8.811,0.0786,168.132
0.641,QLER,3MIVadmVbWGZR0VzNceGt1,ใจลอย,9,0.582,0.758,197432,-8.298,0.0356,147.951
0.545,CHRRISSA,4CdW5KKyIjrpx6Hz981dUt,เลือดกรุ๊ปบี,2,0.732,0.756,289756,-3.758,0.0613,163.971
0.77,Musketeers,3XCoEJvCYqTbM8bhples8N,พิจารณา (Consider),10,0.677,0.526,246838,-6.427,0.0589,135.982
0.563,YourMOOD,3vfwUrq22haMmIJyyyI7Hq,ลาก่อน,11,0.852,0.0175,188500,-7.114,0.0319,135.012
0.469,Three Man Down,3vdZ30MzgeTe5PiJXEmqjr,ข้างกัน (City),2,0.727,0.246,296000,-7.484,0.0263,176.011
0.804,NewJeans,65FftemJ1DbbZ45DUfHJXE,OMG,9,0.771,0.357,212253,-4.067,0.0433,126.956
0.605,AYLA's,4fwPmzupzsPEzwquuuVaiw,จากตรงนี้ที่(เคย)สวยงาม [La La Bye],11,0.452,0.47,288250,-8.951,0.0264,140.027
0.569,Jeff Satur,4gNkIyfaf2iwPgeLSVIj8O,ลืมไปแล้วว่าลืมยังไง (Fade),4,0.455,0.392,262387,-10.193,0.0286,108.954
0.69,bamm,47WfK6QKlLwIOxJaonJ3bA,ใครเพื่อนแก,6,0.698,0.271,248333,-6.294,0.04,144.053
0.573,Safeplanet,2RJ7Q3gHb6cOeNBioSARni,ข้างกาย,11,0.874,0.101,256875,-4.859,0.0271,101.976
0.422,Anatomy Rabbit,3qMYr2bVu2HpSKrSJ2zj8K,แอบหวัง,2,0.391,0.548,235059,-8.529,0.0359,170.401
0.739,VELIKA,467XT84TTQHkdifhD7eUgQ,หากว่าฉันได้ครอบครอง,6,0.317,0.822,208742,-15.296,0.0946,124.942
0.564,Three Man Down,48qHdp4mhFenZIBhejBqGU,เด็กเกินไป (Too Young),11,0.662,0.277,226567,-6.255,0.0326,134.04
0.715,Fast & Furious: The Fast Saga,1XUXrNFoi9ixlH3fn8MRXQ,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",10,0.681,0.129,175802,-4.25,0.113,84.924
0.631,Mirrr,1rNYuv63emsYt4Jjv8RlgJ,เจ้าของที่,5,0.822,0.213,240008,-4.793,0.0269,149.886
0.783,PROXIE,4Z64nGulQN49i9D03NcF8a,คนไม่คุย (Silent Mode),7,0.642,0.391,230400,-8.578,0.1,100.022
0.806,LISA,7uQZVznj0uQOGC9KhV2Mg6,LALISA,8,0.653,0.0282,200690,-6.283,0.0902,150.058
0.8,DJ Snake,6IPNp9PfaEqrzotY47TIWy,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",6,0.837,0.00406,225600,-2.807,0.0491,100.015
0.585,Jimin,59hBR0BCtJsfIbV9VzCVAp,Set Me Free Pt.2,0,0.815,0.115,200930,-4.165,0.0565,132.09
0.814,NewJeans,3r8RuvgbX9s7ammBn07D3W,Ditto,6,0.641,0.027,185507,-5.957,0.111,133.854
0.748,Dept,3LejSFG20mSl4IzORHa7Ya,17,10,0.777,0.0471,210875,-4.783,0.043,121.034
