danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.713,承桓,5Rzpn60KTM11EBETHaF9Kt,我会等,1,0.449,0.302,195484,-8.288,0.0372,124.067
0.841,JISOO,69CrOS7vEHIrhC2ILyEi0s,FLOWER,9,0.384,0.0236,173134,-7.684,0.0351,123.961
0.484,Ronghao Li,4p9jbhD6N7HpuECGusu6iT,烏梅子醬,9,0.546,0.502,257252,-6.793,0.0618,169.99
0.683,IVE,70t7Q6AYG6ZgTYmJWcnkUM,I AM,4,0.875,0.0115,183853,-4.866,0.0549,122.002
0.795,LE SSERAFIM,51vRumtqbkNW9wrKfESwfu,UNFORGIVEN (feat. Nile Rodgers),4,0.875,0.111,182149,-4.079,0.0525,104.008
0.574,YOASOBI,7ovUcF5uHTBRzUpB6ZOmvt,アイドル,1,0.935,0.112,213234,-2.783,0.0926,166.008
0.44,陳華,6pFxVcn6T4BdP8mfZpTQHZ,想和你看五月的晚霞,1,0.55,0.68,237363,-7.17,0.073,181.919
0.804,NewJeans,65FftemJ1DbbZ45DUfHJXE,OMG,9,0.771,0.357,212253,-4.067,0.0433,126.956
0.54,WeiBird,72OVnXDzugvrCU25lMi9au,"如果可以 - 電影""月老""主題曲",3,0.54,0.241,274400,-6.368,0.029,74.969
0.815,(G)I-DLE,4uOBL4DDWWVx4RhYKlPbPC,Queencard,4,0.834,0.0327,161240,-2.828,0.0475,129.989
0.37,Shi Shi,0USeB0Tykai3QZj5YAUclG,眼淚記得你 - 電影《想見你》主題曲,7,0.322,0.666,244107,-9.137,0.0466,129.865
0.592,Capper,0EpH84Gd5z9xDavnWowfaC,雪 Distance,1,0.284,0.739,165990,-9.398,0.0319,99.827
0.616,小阿七,3t5edAHbyFEW67wFApp7EO,从前说,4,0.688,0.666,251501,-5.182,0.0338,115.959
0.771,SEVENTEEN,3AOf6YEpxQ894FmrwI9k96,Super,8,0.88,0.162,200387,-4.091,0.0857,137.018
0.8,IVE,7foeH2Emgq8A3LWk3q6dat,Kitsch,11,0.792,0.0119,195440,-4.953,0.0529,102.0
0.814,NewJeans,3r8RuvgbX9s7ammBn07D3W,Ditto,6,0.641,0.027,185507,-5.957,0.111,133.854
0.578,Ren Ran,6XBL9naPxZjATbmGAWGJ9V,飞鸟和蝉,10,0.508,0.722,296007,-8.884,0.0536,147.94
0.382,告五人,6jNy9WM3zyvG9E5bdVALl8,好不容易 (《華燈初上》片尾曲),4,0.543,0.313,295466,-5.938,0.0345,173.652
0.757,aespa,1ULdASrNy5rurl1TZfFaMP,Spicy,11,0.898,0.0138,197040,-1.247,0.0667,114.949
0.309,张远,1IVj6CsBbTgOEpo0W6hgwN,嘉宾,9,0.434,0.672,333629,-8.88,0.0363,71.585
0.66,No Party For Cao Dong,4DNdhYUqi5X14VLd2JrUmL,床,7,0.768,0.0441,232480,-7.187,0.0313,120.027
0.507,理想混蛋,2VEt42QSQxILgEf9B50xxm,不是因為天氣晴朗才愛你,8,0.271,0.753,240754,-13.185,0.0347,135.783
0.552,EggPlantEgg,07plVccQ0N6FTTTonk3c2M,閣愛妳一擺,7,0.78,0.0473,278010,-5.106,0.0475,133.921
0.591,(G)I-DLE,38MKW2tQHtyO8djIOKlEFF,Allergy,5,0.92,0.0524,162787,-3.699,0.185,165.087
0.593,NewJeans,0a4MMyCrzT0En247IhqZbD,Hype Boy,4,0.935,0.268,179027,-3.43,0.225,99.976
0.818,BLACKPINK,7gRFDGEzF9UkBV233yv2dc,Shut Down,0,0.69,0.00327,175889,-5.119,0.0454,110.071
0.658,space x,1pbb71pOKB5iqfkju4NmPj,0321,2,0.417,0.625,194744,-6.485,0.0366,171.974
0.693,BLACKPINK,5zwwW9Oq7ubSxoCGyW1nbY,Pink Venom,4,0.734,0.0145,186964,-6.189,0.202,180.06
0.501,理想混蛋,0Eh0C7rpC5E0sPy4OcLdsq,我就想你,7,0.462,0.186,204437,-7.102,0.0726,82.513
0.45,詹雯婷,6la3Kme7O7D01fJPxgpAS5,訣愛 (劇集《蒼蘭訣》片頭曲),11,0.62,0.313,189296,-6.492,0.0365,142.026
0.615,Eason Chan,6akVETVeqqPVvuBS5e0EB1,孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲,8,0.535,0.63,256000,-6.847,0.032,130.025
0.497,Jay Chou,4Rt9k4SE8dbfKzngxKJPq9,擱淺,5,0.49,0.671,236133,-7.161,0.0276,122.71
0.536,Tanya Chua,6FSOibqLCbhFrmGdqMbwiZ,Letting Go,11,0.702,0.154,263453,-6.327,0.0285,136.095
0.55,Eric Chou,2OR5FUKy3GQ7I9DCbRnfsW,"最後一堂課 - 《媽,別鬧了!》影集片尾曲",8,0.543,0.769,278914,-6.961,0.0268,74.008
0.669,高爾宣 OSN,0KWnRv3wxjltYVB3MqjNd2,Without You,11,0.698,0.573,175500,-4.613,0.091,80.003
0.665,EggPlantEgg,4fJlSLYLiu5trFCMZdSQDC,愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲,9,0.654,0.00249,232400,-6.948,0.0725,149.969
0.51,告五人,0XEEIG7IVzJUdkCg6taS9d,一念之間,11,0.479,0.134,287635,-9.007,0.0328,159.969
0.834,Various Artists,0NITaf3H46wbySgMBEThG0,麻克與林送夫,9,0.48,0.224,177209,-8.529,0.0639,122.912
0.552,蕭秉治,5VymCvfV0FguCa7zrIPSgk,毒藥,1,0.65,0.00953,205218,-7.552,0.0363,127.977
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999
0.547,Jay Chou,0F02KChKwbcQ3tk4q1YxLH,晴天,7,0.567,0.276,269747,-7.295,0.0242,137.13
0.586,Jolin Tsai,70ywpHtaToCmnULRT9Vu4p,親愛的對象 - 《關於我和鬼變成家人的那件事》電影主題曲,1,0.474,0.702,294340,-8.871,0.0468,105.939
0.606,No Party For Cao Dong,76UXxB4NOsMLZqBQs0pBO5,但,2,0.484,0.00615,142267,-6.497,0.0376,95.977
0.709,LBI利比,4QZMBVrBLAvBryj8ZJIIY2,小城夏天,9,0.721,0.359,173383,-5.17,0.0409,146.031
0.685,颜人中,3V2v19gDm4rmRkMwcgS4X2,有些,7,0.535,0.744,229524,-7.53,0.0433,125.922
0.753,Gummy B,1GSaEKLXJMbgS25vLiC1or,石橋,1,0.445,0.569,220500,-11.269,0.138,109.976
0.68,IVE,2gYj9lubBorOPIVWsTXugG,After LIKE,0,0.922,0.103,176973,-1.215,0.121,125.014
0.549,告五人,27FOde2nUw0pFuj7hlPbaS,愛人錯過,1,0.923,0.0295,292075,-3.857,0.0393,140.045
0.591,The Kid LAROI,567e29TDzLwZwfDuEpGTwo,STAY (with Justin Bieber),1,0.764,0.0383,141806,-5.484,0.0483,169.928
0.774,FIFTY FIFTY,5mg3VB3Qh7jcR5kAAC4DSV,Cupid,2,0.66,0.662,174253,-8.2,0.0328,120.023
