danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.629,Jimin,3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,7,0.733,0.0025,212241,-5.445,0.0419,120.001
0.665,BTS,4IJsVXbSeGPUrgwpVoHmlg,The Planet,0,0.848,0.000482,178156,-3.619,0.0708,119.986
0.881,Charlie Puth,5Odq8ohlgIbQKMZivbWkEo,Left and Right (Feat. Jung Kook of BTS),2,0.592,0.619,154487,-4.898,0.0324,101.058
0.612,Sơn Tùng M-TP,6HGOxrNik4iPurqStawTFQ,MAKING MY WAY,9,0.712,0.51,256856,-7.141,0.234,199.975
0.697,Agust D,4bjN59DRXFRxBE1g5ne6B1,Haegeum,7,0.837,0.313,168927,-2.651,0.304,85.097
0.664,GREY D,08ULi904W2Po6pVj8nN7KC,đưa em về nhàa,3,0.531,0.674,240000,-10.227,0.0391,90.96
0.632,tlinh,7wj9sGlHGTMQ28liyi48hz,nếu lúc đó,4,0.615,0.332,264000,-8.203,0.0321,140.075
0.71,Jung Kook,1RDvyOk4WtPCtoqciJwVn8,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],0,0.879,0.158,201391,-4.218,0.0422,114.993
0.775,Madihu,6VXVYATpQXEIoZ97NnWCmn,Vì Anh Đâu Có Biết,9,0.358,0.861,241920,-6.473,0.0527,139.982
0.353,Thắng,1K3CXUYKhLYN7koLW5WQjX,Xin Lỗi,9,0.0533,0.928,127114,-19.322,0.042,138.41
0.703,RPT MCK,3YctJXK6kznnWl68TnYobN,Anh Đã Ổn Hơn,3,0.28,0.726,194006,-9.56,0.0293,141.892
0.517,Emcee L (Da LAB),4CUvVaAYuXtvYURLFz7EIL,Chuyện Đôi Ta (feat. Muộii),0,0.467,0.724,208049,-7.222,0.0442,199.815
0.56,GREY D,25h0TqC9H3BcMA7KjK5nHK,vaicaunoicokhiennguoithaydoi,7,0.42,0.882,225862,-10.729,0.257,173.695
0.598,RPT MCK,7jLSThU5Kg1RWt19Leiaxm,Chìm Sâu,11,0.489,0.587,156304,-8.884,0.0486,204.179
0.808,RPT Orijinn,3ukrFH17Zl6iEZ2QJ1Zwiy,Don't Côi,2,0.41,0.816,148880,-10.981,0.105,110.079
0.573,Coldplay,46HNZY1i7O6jwTA7Slo2PI,My Universe,1,0.711,0.0114,226198,-6.268,0.0406,105.006
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018
0.543,Colde,34o6gteNy2T5rieA0xYAgo,Don't ever say love me (feat. RM of BTS),11,0.475,0.355,214920,-6.502,0.0541,145.115
0.841,JISOO,69CrOS7vEHIrhC2ILyEi0s,FLOWER,9,0.384,0.0236,173134,-7.684,0.0351,123.961
0.809,RPT MCK,7kpNUrBDYDoX6QKGzrBD1R,Thôi Em Đừng Đi,9,0.626,0.111,173397,-7.531,0.0467,141.981
0.623,Jimin,0u8rZGtXJrLtiSe34FPjGG,Like Crazy (English Version),7,0.755,0.00306,212254,-5.386,0.0415,119.957
0.662,T.R.I,5iZHnufFUgATzrpGgH1K0W,Ánh Sao Và Bầu Trời,5,0.205,0.876,260571,-14.005,0.0349,139.911
0.783,HIEUTHUHAI,76dD9BdSOzsRJSGGBjOcUf,ngủ một mình (tình rất tình),0,0.476,0.181,192000,-8.096,0.0293,100.017
0.669,RPT MCK,28bxbqNcAuNxYDZYet6eZ7,Chỉ Một Đêm Nữa Thôi,10,0.773,0.13,141760,-8.182,0.108,170.085
0.729,Agust D,41JPN7pZMTp1sumBOHOzHd,People Pt.2 (feat. IU),7,0.574,0.391,213995,-4.779,0.0589,88.94
0.429,14 Casper,7kgzRBNkBRArtTPkYjWLYT,bao tiền một mớ bình yên?,7,0.364,0.455,300000,-10.006,0.0547,173.63
0.888,Sơn Tùng M-TP,5fFLotKS1286huYIMQHqz7,Muộn Rồi Mà Sao Còn,0,0.418,0.665,275906,-9.812,0.0573,127.073
0.569,Sơn Tùng M-TP,17iGUekw5nFt5mIRJcUm3R,Chúng Ta Của Hiện Tại,2,0.66,0.0675,301538,-5.268,0.0358,155.907
0.613,MONSTAR,54UNNgtE3zzERwTuWSQLqd,có hẹn với thanh xuân,10,0.5,0.547,218027,-8.349,0.0277,99.998
0.581,GREY D,7bFFUPBiF15n8m8RziqS4o,dự báo thời tiết hôm nay mưa,5,0.558,0.627,281494,-10.404,0.0432,76.992
0.715,Fast & Furious: The Fast Saga,1XUXrNFoi9ixlH3fn8MRXQ,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",10,0.681,0.129,175802,-4.25,0.113,84.924
0.597,Đen,7td8DTWoGC9u9db37mGHX6,Nấu ăn cho em,1,0.481,0.76,241340,-10.848,0.037,90.0
0.494,Emcee L (Da LAB),5BTzf3doGTigDIYUFtbkI9,Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),6,0.395,0.887,234168,-8.653,0.0301,141.464
0.672,HIEUTHUHAI,4W2poMwGzKQHtpNCthoGhC,Không Thể Say,7,0.601,0.21,228414,-6.031,0.0415,145.015
0.536,The Masked Singer,3QD2NfLEIvMRbzv2uTu4B7,Anh Chưa Thương Em Đến Vậy Đâu,8,0.341,0.863,270644,-8.988,0.0337,129.921
0.638,O.lew,3a2Oftcs10wtzw6AmxuTMU,Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau,3,0.106,0.955,278732,-15.103,0.0424,123.592
0.532,Various Artists,3I024mr4TcQb8W9cNVe0ze,Nắng Lên (feat. GONZO & Bwine),8,0.553,0.501,203810,-6.215,0.0648,189.17
0.79,Madihu,6Hs2xIgB8nzyGFDvVA8lFa,Có Em (feat. Low G),9,0.423,0.87,218512,-7.965,0.0533,133.961
0.585,Jimin,59hBR0BCtJsfIbV9VzCVAp,Set Me Free Pt.2,0,0.815,0.115,200930,-4.165,0.0565,132.09
0.778,Tăng Duy Tân,62SFLTN7txImu8pQwBMP6A,Bật Tình Yêu Lên,0,0.649,0.503,203827,-10.164,0.0386,106.011
0.76,RPT MCK,3440g8awr2l0E5Yy2X5Epk,Tại Vì Sao,7,0.682,0.0347,202880,-8.323,0.0763,135.043
0.71,Da LAB,5ECHJ1llWBNYLVCYrllD3x,Chạy Khỏi Thế Giới Này,5,0.552,0.761,255429,-10.257,0.0694,139.904
0.689,Tóc Tiên,7AD5F85waSb3yZxZxEXhJM,Có Ai Thương Em Như Anh (feat. Touliver),9,0.579,0.599,231497,-5.751,0.0554,104.957
0.498,Sơn Tùng M-TP,1Huy9G87D6pbIveFulsH0P,Âm Thầm Bên Em,10,0.462,0.883,293112,-9.153,0.0273,140.083
0.624,JSOL,1xoadYaxtOp9gHDwgmPDuz,Sài Gòn Hôm Nay Mưa,2,0.604,0.784,247059,-5.438,0.0619,136.077
0.575,The Weeknd,4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,1,0.5,0.227,232857,-7.594,0.0707,67.033
0.907,AMEE,2ZJTmYNOA8k21yUtLXJG57,ưng quá chừng,7,0.609,0.629,81951,-7.045,0.0724,123.004
0.786,Ronboogz,3hqOrxH5qPlvrApcb7Ac8c,Lan Man,5,0.358,0.875,216220,-10.913,0.0379,120.0
0.616,Kai Đinh,5qbjUmVV1yOOjcMOInNPYD,để tôi ôm em bằng giai điệu này,11,0.835,0.277,240010,-5.67,0.0449,149.952
0.824,Thịnh Suy,4AgFXIVT7hVhBZ5DEOaLu3,tiny love,4,0.171,0.857,158400,-15.871,0.0527,100.036
