danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo,pais
0.667,Yung Yury,42Ztw2ZtZR3mtWjXpg0R5I,TABU.,0,0.702,0.219,135302,-8.49,0.169,148.978,ALE
0.55,Udo Lindenberg,7oQepKHmXDaPC3rgeLRvQu,Komet,7,0.5,0.285,167357,-5.779,0.045,115.016,ALE
0.841,Apache 207,0pC6XqDVKQC4czY2bgF7nj,Neunzig,5,0.818,0.00113,145607,-4.682,0.0465,129.002,ALE
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09,ALE
0.801,reezy,1t3DUBo9FDyH8vROTU4fAi,EXPENSIVE SHIT,10,0.707,0.0415,179623,-6.298,0.415,150.006,ALE
0.62,Ikke Hüftgold,62NrIrsxxNXJVvtRivWYjM,Bumsbar,0,0.925,0.0322,150857,-3.15,0.0565,139.947,ALE
0.68,RAF Camora,2H4HtOA24KXUYiINpGZ1ju,ANNA,5,0.692,0.0952,144200,-6.924,0.0471,89.967,ALE
0.618,RAF Camora,4taclmQm9wFcK4dKQjR5ny,All Night,9,0.84,0.0822,153675,-6.213,0.164,97.704,ALE
0.616,HoodBlaq,1ZKMMvWLhxXlk7VXqS7YRG,PASS AUF,3,0.646,0.158,205994,-5.349,0.0662,124.772,ALE
0.743,01099,5TYmnScjaRecWuBqEaA7S5,Anders,8,0.809,0.527,155021,-7.924,0.214,75.035,ALE
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999,ALE
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002,ALE
0.637,Eminem,561jH07mF1jHuk7KlaeF0s,Mockingbird,0,0.678,0.209,250760,-3.798,0.266,84.039,ALE
0.701,Apache 207,3pyvUdSZvgrmZbXcEsL2bs,Breaking your heart,0,0.857,0.0337,170580,-4.667,0.0432,164.965,ALE
0.726,Bonez MC,4GUrzAwDBOyEMQTo42GGzf,Cinnamon Roll,8,0.671,0.27,167821,-5.994,0.0898,86.059,ALE
0.624,Nimo,2xve0qJZJkcJD4BlwXg1xs,Du,1,0.615,0.0567,174084,-7.407,0.231,142.469,ALE
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082,ALE
0.777,reezy,3plgMV8SGOfWFOALXY09vF,SHOOT,4,0.578,0.133,159836,-7.497,0.112,137.07,ALE
0.705,Tiësto,3IhM5Mber8KA0NaRNpK2px,Lay Low,9,0.663,0.18,140160,-5.289,0.0367,124.988,ALE
0.627,HoodBlaq,3cfz2Kt5k1mZ2GLJDY45l2,CARRERA,1,0.697,0.0707,243711,-5.871,0.334,129.194,ALE
0.68,Julian Sommer,5CvAzdenlzv3ImMcG7awJV,Peter Pan,4,0.956,0.0771,210870,-1.95,0.172,137.939,ALE
0.602,David Guetta,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,7,0.91,0.00126,140018,-3.404,0.0308,127.944,ALE
0.563,Alessandra,14LdhxElpZS0rKVV4nxtdA,Queen of Kings,4,0.908,0.0696,147980,-4.25,0.0868,125.972,ALE
0.888,Nina Chuba,7AyE8MRf4dIK75mqqpks9S,Mangos mit Chili,10,0.607,0.147,134888,-5.632,0.165,103.136,ALE
0.647,Samra,6VzzDH0vafw2Lwye7pvlaC,Müde,11,0.767,0.151,182529,-6.436,0.388,100.079,ALE
0.792,AYLIVA,7DyDjhZMEIK5Ied4juTCyc,Sie weiß (feat. Mero),9,0.679,0.517,151320,-5.516,0.041,119.932,ALE
0.892,Nina Chuba,6LBmaJYwbLHfQwIreMCLlw,Wildberry Lillet,6,0.503,0.0642,132000,-7.086,0.178,139.928,ALE
0.903,Peter Fox,4YxZQd3I4rj1nqkXgvpCk4,Zukunft Pink (feat. Inéz),1,0.719,0.514,230829,-8.054,0.052,118.036,ALE
0.561,David Guetta,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),7,0.965,0.00383,175238,-3.673,0.0343,128.04,ALE
0.563,AK AUSSERKONTROLLE,0mNWBN7udBbA3ZtkB80TPM,BLACKOUT,2,0.572,0.0651,165680,-6.132,0.423,88.743,ALE
0.848,Bonez MC,6eeUDtR2OHjdDnAlFaO4cl,Babylon,7,0.706,0.0505,141431,-7.294,0.285,96.973,ALE
0.797,Luciano,7sJNeWTXkZCEC7OnFMpGWL,Bamba (feat. Aitch & BIA),10,0.791,0.119,203560,-6.281,0.33,138.026,ALE
0.827,reezy,6zCnEL3445vsnlDde0QfjD,BABY DU WEISST,4,0.545,0.635,121609,-6.342,0.0984,141.089,ALE
0.828,AYLIVA,6WnIsfCuNqrlngROXGVe1W,Was mir gefällt,5,0.716,0.0481,138208,-7.674,0.0534,120.041,ALE
0.811,Capital Bra,5X0ANp8KSvFqM59xAvhIpk,Bentley in weiss,8,0.669,0.102,134090,-6.92,0.338,95.005,ALE
0.941,Apache 207,6hw1Sy9wZ8UCxYGdpKrU6M,Roller,10,0.758,0.0256,157093,-6.47,0.17,128.017,ALE
0.442,Tom Odell,7jtQIBanIiJOMS6RyCx6jZ,Another Love,4,0.538,0.717,244360,-8.55,0.0451,122.758,ALE
0.763,reezy,6bkO3SUwk4n5dRYFTc7Vzk,VALENTINE,10,0.494,0.303,157171,-7.257,0.0937,130.098,ALE
0.72,Empire of the Sun,4atLPkcljMp14JBaigYFKC,We Are The People - southstar Remix,7,0.847,0.00174,236157,-6.469,0.0384,149.954,ALE
0.571,Jonas Blue,3JlHRjPt2TNB9h7VFf0im2,Weekends,6,0.937,0.0337,127004,-3.365,0.033,148.979,ALE
0.83,badmómzjay,5qDzKUTHCUiKhewBa9STsE,Auf die Party,9,0.615,0.119,164200,-9.064,0.251,150.117,ALE
0.526,Samra,6DLSBLkABrsLokGPVTk7me,Karma,1,0.737,0.0333,151200,-7.303,0.303,131.901,ALE
0.751,Jazeek,4AzR20u5TiZVR4932QbGTt,Diamond Ring,1,0.378,0.307,130708,-5.647,0.42,89.41,ALE
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95,ALE
0.668,Tream,3879mntZAUN5J9ejHjjvpr,Zelten auf Kies,5,0.768,0.363,137838,-5.129,0.133,148.118,ALE
0.887,reezy,53j7ib0zHlrVtKOwHiSv99,DRIPPED OUT IN DESIGNER,2,0.591,0.299,173078,-9.039,0.26,117.953,ALE
0.667,Miksu / Macloud,5qEGAHerczFt3HmL9lhh4j,Nachts wach (Lila Wolken Bootleg),10,0.849,0.165,158080,-4.4,0.124,155.002,ALE
0.874,Matt Sassari,5ZduaRci3iNUiDfJbBfAaf,Give It To Me - Full Vocal Mix,1,0.869,0.00116,102861,-5.996,0.0315,126.027,ALE
0.816,LEA,7CBXOpFYUCfRjtQ1wMLMYR,Aperol im Glas,0,0.627,0.242,129845,-5.499,0.15,130.048,ALE
0.52,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,As It Was,6,0.731,0.342,167303,-5.338,0.0557,173.93,ALE
0.68,RAF Camora,2H4HtOA24KXUYiINpGZ1ju,ANNA,5,0.692,0.0952,144200,-6.924,0.0471,89.967,AUS
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002,AUS
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09,AUS
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082,AUS
0.688,TEYA,3gUC7tGDPVLOq42vvTUVdI,Who the Hell Is Edgar?,11,0.644,0.0234,159418,-7.629,0.0596,145.926,AUS
0.55,Udo Lindenberg,7oQepKHmXDaPC3rgeLRvQu,Komet,7,0.5,0.285,167357,-5.779,0.045,115.016,AUS
0.667,Yung Yury,42Ztw2ZtZR3mtWjXpg0R5I,TABU.,0,0.702,0.219,135302,-8.49,0.169,148.978,AUS
0.563,Alessandra,14LdhxElpZS0rKVV4nxtdA,Queen of Kings,4,0.908,0.0696,147980,-4.25,0.0868,125.972,AUS
0.618,RAF Camora,4taclmQm9wFcK4dKQjR5ny,All Night,9,0.84,0.0822,153675,-6.213,0.164,97.704,AUS
0.726,Bonez MC,4GUrzAwDBOyEMQTo42GGzf,Cinnamon Roll,8,0.671,0.27,167821,-5.994,0.0898,86.059,AUS
0.637,Eminem,561jH07mF1jHuk7KlaeF0s,Mockingbird,0,0.678,0.209,250760,-3.798,0.266,84.039,AUS
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999,AUS
0.801,reezy,1t3DUBo9FDyH8vROTU4fAi,EXPENSIVE SHIT,10,0.707,0.0415,179623,-6.298,0.415,150.006,AUS
0.616,HoodBlaq,1ZKMMvWLhxXlk7VXqS7YRG,PASS AUF,3,0.646,0.158,205994,-5.349,0.0662,124.772,AUS
0.561,David Guetta,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),7,0.965,0.00383,175238,-3.673,0.0343,128.04,AUS
0.442,Tom Odell,7jtQIBanIiJOMS6RyCx6jZ,Another Love,4,0.538,0.717,244360,-8.55,0.0451,122.758,AUS
0.841,Apache 207,0pC6XqDVKQC4czY2bgF7nj,Neunzig,5,0.818,0.00113,145607,-4.682,0.0465,129.002,AUS
0.743,01099,5TYmnScjaRecWuBqEaA7S5,Anders,8,0.809,0.527,155021,-7.924,0.214,75.035,AUS
0.825,Ricchi E Poveri,6OMjtuz1sYVsHpdeZPUR1n,Sarà perché ti amo,4,0.752,0.122,189800,-8.134,0.0373,120.19,AUS
0.797,Luciano,7sJNeWTXkZCEC7OnFMpGWL,Bamba (feat. Aitch & BIA),10,0.791,0.119,203560,-6.281,0.33,138.026,AUS
0.848,Bonez MC,6eeUDtR2OHjdDnAlFaO4cl,Babylon,7,0.706,0.0505,141431,-7.294,0.285,96.973,AUS
0.892,Nina Chuba,6LBmaJYwbLHfQwIreMCLlw,Wildberry Lillet,6,0.503,0.0642,132000,-7.086,0.178,139.928,AUS
0.624,Nimo,2xve0qJZJkcJD4BlwXg1xs,Du,1,0.615,0.0567,174084,-7.407,0.231,142.469,AUS
0.777,reezy,3plgMV8SGOfWFOALXY09vF,SHOOT,4,0.578,0.133,159836,-7.497,0.112,137.07,AUS
0.633,Macklemore,22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),2,0.927,0.0267,258432,-4.468,0.0839,146.097,AUS
0.602,David Guetta,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,7,0.91,0.00126,140018,-3.404,0.0308,127.944,AUS
0.819,RAF Camora,23SqoExnmW4BTJEYzMJze8,Blaues Licht,8,0.828,0.39,144264,-4.906,0.108,144.953,AUS
0.326,Teya Dora,2fF8V1O1i1Y8s06FmJHJlz,Džanum,6,0.232,0.876,174045,-10.566,0.0302,130.26,AUS
0.667,Miksu / Macloud,5qEGAHerczFt3HmL9lhh4j,Nachts wach (Lila Wolken Bootleg),10,0.849,0.165,158080,-4.4,0.124,155.002,AUS
0.563,AK AUSSERKONTROLLE,0mNWBN7udBbA3ZtkB80TPM,BLACKOUT,2,0.572,0.0651,165680,-6.132,0.423,88.743,AUS
0.705,Tiësto,3IhM5Mber8KA0NaRNpK2px,Lay Low,9,0.663,0.18,140160,-5.289,0.0367,124.988,AUS
0.52,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,As It Was,6,0.731,0.342,167303,-5.338,0.0557,173.93,AUS
0.62,Ikke Hüftgold,62NrIrsxxNXJVvtRivWYjM,Bumsbar,0,0.925,0.0322,150857,-3.15,0.0565,139.947,AUS
0.792,AYLIVA,7DyDjhZMEIK5Ied4juTCyc,Sie weiß (feat. Mero),9,0.679,0.517,151320,-5.516,0.041,119.932,AUS
0.607,MEDUZA,3rb0tMq42WfggucPm0HHkA,Bad Memories (feat. Elley Duhé & FAST BOY),5,0.767,0.118,148629,-6.069,0.0474,123.998,AUS
0.712,Sam Smith,0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),2,0.463,0.011,156943,-7.399,0.0797,131.199,AUS
0.697,OneRepublic,4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,0,0.802,0.0988,148120,-6.412,0.0456,139.951,AUS
0.804,Miksu / Macloud,7xaqxUl08zOg0YNUHokQpq,Sehnsucht,6,0.645,0.642,152827,-7.069,0.0773,142.09,AUS
0.681,Noa Kirel,6dUregFbvUNqHP5nphqesK,Unicorn,6,0.868,0.0216,170900,-5.499,0.095,130.126,AUS
0.793,Ed Sheeran,3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,11,0.52,0.246,194926,-7.457,0.0696,107.014,AUS
0.628,Amy Macdonald,2T3jgoAMbBXiMMD8pSc6QL,This Is The Life,1,0.882,0.259,184413,-5.024,0.0323,95.083,AUS
0.766,Bonez MC,05Mp2UJulSttxQ4E6hQPH3,Ohne mein Team,1,0.8,0.16,188504,-6.062,0.0938,129.999,AUS
0.874,Matt Sassari,5ZduaRci3iNUiDfJbBfAaf,Give It To Me - Full Vocal Mix,1,0.869,0.00116,102861,-5.996,0.0315,126.027,AUS
0.89,Ion Miles,35DkXhxqTMiQB582tfjowU,Powerade,6,0.72,0.193,142400,-5.202,0.0729,150.09,AUS
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95,AUS
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018,AUS
0.647,Samra,6VzzDH0vafw2Lwye7pvlaC,Müde,11,0.767,0.151,182529,-6.436,0.388,100.079,AUS
0.846,Luciano,5xX2LYdXyx0Boa61rZOjq5,Beautiful Girl,11,0.42,0.296,178453,-8.659,0.104,139.883,AUS
0.908,Eminem,7lQ8MOhq6IN2w8EYcFNSUk,Without Me,7,0.669,0.00286,290320,-2.827,0.0738,112.238,AUS
0.719,Miksu / Macloud,3kgt8Ys78I6GBZlQrWqZiA,Nachts wach,6,0.685,0.569,178973,-7.083,0.257,136.172,AUS
0.545,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,3,0.779,0.243,183375,-6.235,0.0751,150.002,BELG
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09,BELG
0.765,Gustaph,320jqrATpl9762bCQkmLDf,Because Of You,5,0.827,0.0169,179908,-5.204,0.0388,126.555,BELG
0.718,Käärijä,5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,2,0.791,0.00207,175161,-5.572,0.0447,155.082,BELG
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999,BELG
0.563,Alessandra,14LdhxElpZS0rKVV4nxtdA,Queen of Kings,4,0.908,0.0696,147980,-4.25,0.0868,125.972,BELG
0.636,Calvin Harris,5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),9,0.869,0.0378,186496,-5.289,0.0412,143.011,BELG
0.713,No Limit,7EO5oDxrq2dvYDgBjFvFYY,LA RUE,2,0.59,0.348,225137,-8.651,0.196,138.065,BELG
0.573,Libianca,26b3oVLrRUaaybJulow9kz,People,10,0.422,0.551,184791,-7.621,0.0678,124.357,BELG
0.715,Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),1,0.62,0.417,221520,-6.005,0.0484,97.95,BELG
0.561,David Guetta,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),7,0.965,0.00383,175238,-3.673,0.0343,128.04,BELG
0.777,DYSTINCT,4TBxB7MulrQ1Nb2uxHwJX1,Tek Tek (feat. MHD),7,0.537,0.592,161506,-8.842,0.0609,92.996,BELG
0.442,Tom Odell,7jtQIBanIiJOMS6RyCx6jZ,Another Love,4,0.538,0.717,244360,-8.55,0.0451,122.758,BELG
0.602,David Guetta,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,7,0.91,0.00126,140018,-3.404,0.0308,127.944,BELG
0.748,Maan,4fWyBvLIPO68D2Ff87t1em,Stiekem,1,0.579,0.0156,203438,-8.046,0.0323,127.974,BELG
0.52,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,As It Was,6,0.731,0.342,167303,-5.338,0.0557,173.93,BELG
0.793,Ed Sheeran,3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,11,0.52,0.246,194926,-7.457,0.0696,107.014,BELG
0.681,Noa Kirel,6dUregFbvUNqHP5nphqesK,Unicorn,6,0.868,0.0216,170900,-5.499,0.095,130.126,BELG
0.867,Naps,2f8JQJctq8LZtaq6Hgdgb8,C'est carré le S,0,0.723,0.281,201533,-4.276,0.125,135.033,BELG
0.718,SDM,0EzNyXyU7gHzj2TN8qYThj,Bolide allemand,4,0.643,0.441,176747,-7.473,0.16,131.825,BELG
0.856,Goldband,2LcmbuYX7tyR4DWy3b273L,Noodgeval,2,0.89,0.131,214383,-6.463,0.0627,139.003,BELG
0.734,Metejoor,7Gzz44FpTbZu0DNVVZjwPs,Wat Wil Je Van Mij,6,0.564,0.364,199433,-7.199,0.032,116.025,BELG
0.705,Tiësto,3IhM5Mber8KA0NaRNpK2px,Lay Low,9,0.663,0.18,140160,-5.289,0.0367,124.988,BELG
0.688,Ninho,6RLVnSWFkT7ywpXv0XyRhY,Freestyle LVL UP 1,2,0.676,0.422,114183,-6.984,0.247,180.075,BELG
0.697,OneRepublic,4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,0,0.802,0.0988,148120,-6.412,0.0456,139.951,BELG
0.633,Macklemore,22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),2,0.927,0.0267,258432,-4.468,0.0839,146.097,BELG
0.792,Ayra Starr,1xs8bOvm3IzEYmcLJVOc34,Rush,1,0.503,0.0369,185093,-8.044,0.0626,99.97,BELG
0.687,Ninho,7DOqkqVZuvPhKIAtVXjZo1,Freestyle LVL UP 2,11,0.824,0.293,149065,-5.066,0.365,187.544,BELG
0.712,Sam Smith,0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),2,0.463,0.011,156943,-7.399,0.0797,131.199,BELG
0.637,Eminem,561jH07mF1jHuk7KlaeF0s,Mockingbird,0,0.678,0.209,250760,-3.798,0.266,84.039,BELG
0.78,Beyoncé,1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,7,0.689,0.0368,225389,-5.668,0.141,115.042,BELG
0.688,TEYA,3gUC7tGDPVLOq42vvTUVdI,Who the Hell Is Edgar?,11,0.644,0.0234,159418,-7.629,0.0596,145.926,BELG
0.767,Creeds,3AjSfp5FDvwtMU9XBsbS8j,Push Up - Main Edit,7,0.83,0.209,139300,-8.78,0.206,75.023,BELG
0.525,Måneskin,7exHT4swWOKL5addPeqkLP,THE LONELIEST,2,0.599,0.00151,247067,-5.001,0.0281,129.841,BELG
0.696,PinkPantheress,6AQbmUe0Qwf5PZnt4HmTXv,Boy's a Liar Pt. 2,5,0.809,0.252,131013,-8.254,0.05,132.962,BELG
0.587,Oliver Tree,73vIOb4Q7YN6HeJTbscRx5,Miss You,6,0.742,0.0128,206000,-6.64,0.0529,145.007,BELG
0.551,Stephen Sanchez,1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,10,0.55,0.777,176440,-5.339,0.0286,101.19,BELG
0.538,RAYE,5mHdCZtVyb4DcJw8799hZp,Escapism.,2,0.742,0.138,272373,-5.355,0.114,96.107,BELG
0.679,Lost Frequencies,3K00Ib1shkOEiAXU5pec6e,Back To You,0,0.548,0.234,155909,-7.495,0.0298,115.954,BELG
0.69,Purple Disco Machine,2F2p7b5Xq20mRyEeWYaeUF,Substitution,0,0.89,0.00903,181478,-4.866,0.0507,124.018,BELG
0.603,Moha K,0WCiCbdRB54GMzlRGs3Fa4,DARBA 9ADIYA,11,0.581,0.354,149209,-6.293,0.144,87.781,BELG
0.844,Hamza,4BZZTXcd5ROagKhynqj61X,Nocif,11,0.55,0.0318,229387,-7.903,0.0882,121.971,BELG
0.486,Coldplay,1mea3bSkSGXuIRvnydlB5b,Viva La Vida,5,0.617,0.0954,242373,-7.115,0.0287,138.015,BELG
0.726,PLK,66TAAKeoOD0cFpVRug9IXZ,Demain,1,0.675,0.272,183013,-8.251,0.16,137.954,BELG
0.518,Loreen,2knr7ikPt4l7bk92qS4ZXW,Euphoria,11,0.679,0.079,214133,-5.406,0.0355,132.146,BELG
0.799,Rema,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),11,0.802,0.429,239318,-5.196,0.0371,107.008,BELG
0.718,La Zarra,18ZX6YaDSOopXPRvfIh8DM,Évidemment,11,0.743,0.129,181000,-4.581,0.069,120.044,BELG
0.484,Vance Joy,7yq4Qj7cqayVTp3FF9CWbm,Riptide,1,0.731,0.431,204280,-6.694,0.0379,101.654,BELG
0.637,Taylor Swift,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,4,0.643,0.13,200690,-6.571,0.0519,97.008,BELG
0.565,Rosa Linn,6zJejIfVYLgjud3lTk4DLB,SNAP,0,0.636,0.107,179551,-8.198,0.0638,170.01,BELG
0.906,kizaru,2PpAAi4RMQKof0Ya3JEJfU,Зеркало,8,0.735,0.0722,152000,-6.147,0.161,150.035,BIEL
0.773,xxxmanera,5lo91NO6ZaP656Wy28dez1,Скажи мне кто ты,6,0.544,0.0134,118378,-8.309,0.0573,147.935,BIEL
0.666,Pepel Nahudi,7FbLIFBTQiSu1bHP3BQoWl,Заново завоевать,2,0.505,0.00674,112385,-8.303,0.0515,130.005,BIEL
0.579,LOVV66,2t33vDAERvsbqTLQuphuwA,МАЙ МАЙ,6,0.648,0.0492,109714,-5.765,0.0487,139.985,BIEL
0.729,INTERWORLD,3J5y9v6vK5ginTnMroJ1Nn,METAMORPHOSIS 3,1,0.85,0.101,128016,-4.317,0.0586,119.997,BIEL
0.743,Scally Milano,5mE3uSxYQu5QfCyPVubftA,Дай Мне Шанс,8,0.504,0.138,140800,-9.005,0.272,149.986,BIEL
0.292,Kill Eva,4rhFCNBhQwQmrNzN6WcPTQ,Psycho Dreams (Sped Up),5,0.603,0.000788,123333,-5.711,0.045,158.061,BIEL
0.643,xxxmanera,21LIoC4ZxT3F8xq9gidNbX,Never Broke Again,1,0.573,0.0126,108069,-6.992,0.0466,139.94,BIEL
0.904,MACAN,0ndWY0kASiq9s2Fx76W4Jq,ASPHALT 8,11,0.834,0.373,135570,-4.927,0.162,124.004,BIEL
0.852,Monetochka,0tdRgufTWFxk2QgYyIifQH,Папина любовница,0,0.645,0.34,208973,-6.275,0.0306,120.045,BIEL
0.386,Korol i Shut,2DYzsMQpO7xOw7b3JwyIWP,Кукла колдуна,2,0.796,0.0259,202040,-4.76,0.0413,148.6,BIEL
0.61,Три дня дождя,1yrQI5Ycgi7xU9P4i98NXL,Отпускай,8,0.903,0.000921,207321,-5.205,0.0289,112.028,BIEL
0.366,Korol i Shut,2sxdC5eX9f5VmtDsb857Sg,Лесник,9,0.779,0.0192,191613,-10.715,0.0788,169.688,BIEL
0.587,madk1d,5OINAHhtxYnLi62jWszSNs,Толпы,1,0.92,0.00119,90430,-4.279,0.483,162.612,BIEL
0.65,Кишлак,0olubSy8HbZBrCJlSHV7ex,Я уёбываю в джаз,8,0.477,0.207,144923,-5.944,0.144,135.419,BIEL
0.863,INSTASAMKA,4PGzoH4hL1vORGOTxHdWjB,ЗА ДЕНЬГИ ДА,4,0.621,0.0112,119476,-6.729,0.167,114.977,BIEL
0.434,Korol i Shut,1aAcW69jxv3pp3I84oZGqP,Дурак и молния,1,0.744,0.111,114334,-9.449,0.194,178.879,BIEL
0.723,OG Buda,3qCPpBdgNJf1xG9t8O2pjJ,Для Тебя (Пусто),11,0.399,0.459,136421,-11.133,0.247,95.017,BIEL
0.773,MACAN,0uNlsRmW2hrU5UKtBMZE7A,IVL,4,0.556,0.714,200133,-5.319,0.0312,110.023,BIEL
0.497,ooes,0K5arhAxYWj7QxFhpKJe6z,последнее лето,0,0.661,0.515,137739,-7.364,0.0517,172.507,BIEL
0.358,Skryptonite,1P9oRiZJWnxe2pZmYUZ5eC,Это любовь,0,0.416,0.325,279250,-10.972,0.0596,139.945,BIEL
0.593,INTERWORLD,2ksyzVfU0WJoBpu8otr4pz,METAMORPHOSIS,7,0.641,0.426,142839,-12.727,0.0992,175.014,BIEL
0.779,LOVV66,2kLmAwQCBSlvtcptioAoTv,5IVE,1,0.565,0.0977,143014,-10.098,0.37,145.989,BIEL
0.815,YUNGWAY,0cxKqzCYTNND97CQOBWtha,Магазин,6,0.514,0.425,109728,-11.039,0.28,104.985,BIEL
0.815,(G)I-DLE,4uOBL4DDWWVx4RhYKlPbPC,Queencard,4,0.834,0.0327,161240,-2.828,0.0475,129.989,BIEL
