source,target
Yung Yury,ALE
Udo Lindenberg,ALE
Apache 207,ALE
David Kushner,ALE
reezy,ALE
Ikke Hüftgold,ALE
RAF Camora,ALE
RAF Camora,ALE
HoodBlaq,ALE
01099,ALE
Miley Cyrus,ALE
Loreen,ALE
Eminem,ALE
Apache 207,ALE
Bonez MC,ALE
Nimo,ALE
Käärijä,ALE
reezy,ALE
Tiësto,ALE
HoodBlaq,ALE
Julian Sommer,ALE
David Guetta,ALE
Alessandra,ALE
Nina Chuba,ALE
Samra,ALE
AYLIVA,ALE
Nina Chuba,ALE
Peter Fox,ALE
David Guetta,ALE
AK AUSSERKONTROLLE,ALE
Bonez MC,ALE
Luciano,ALE
reezy,ALE
AYLIVA,ALE
Capital Bra,ALE
Apache 207,ALE
Tom Odell,ALE
reezy,ALE
Empire of the Sun,ALE
Jonas Blue,ALE
badmómzjay,ALE
Samra,ALE
Jazeek,ALE
Metro Boomin,ALE
Tream,ALE
reezy,ALE
Miksu / Macloud,ALE
Matt Sassari,ALE
LEA,ALE
Harry Styles,ALE
RAF Camora,AUS
Loreen,AUS
David Kushner,AUS
Käärijä,AUS
TEYA,AUS
Udo Lindenberg,AUS
Yung Yury,AUS
Alessandra,AUS
RAF Camora,AUS
Bonez MC,AUS
Eminem,AUS
Miley Cyrus,AUS
reezy,AUS
HoodBlaq,AUS
David Guetta,AUS
Tom Odell,AUS
Apache 207,AUS
01099,AUS
Ricchi E Poveri,AUS
Luciano,AUS
Bonez MC,AUS
Nina Chuba,AUS
Nimo,AUS
reezy,AUS
Macklemore,AUS
David Guetta,AUS
RAF Camora,AUS
Teya Dora,AUS
Miksu / Macloud,AUS
AK AUSSERKONTROLLE,AUS
Tiësto,AUS
Harry Styles,AUS
Ikke Hüftgold,AUS
AYLIVA,AUS
MEDUZA,AUS
Sam Smith,AUS
OneRepublic,AUS
Miksu / Macloud,AUS
Noa Kirel,AUS
Ed Sheeran,AUS
Amy Macdonald,AUS
Bonez MC,AUS
Matt Sassari,AUS
Ion Miles,AUS
Metro Boomin,AUS
FIFTY FIFTY,AUS
Samra,AUS
Luciano,AUS
Eminem,AUS
Miksu / Macloud,AUS
Loreen,BELG
David Kushner,BELG
Gustaph,BELG
Käärijä,BELG
Miley Cyrus,BELG
Alessandra,BELG
Calvin Harris,BELG
No Limit,BELG
Libianca,BELG
Metro Boomin,BELG
David Guetta,BELG
DYSTINCT,BELG
Tom Odell,BELG
David Guetta,BELG
Maan,BELG
Harry Styles,BELG
Ed Sheeran,BELG
Noa Kirel,BELG
Naps,BELG
SDM,BELG
Goldband,BELG
Metejoor,BELG
Tiësto,BELG
Ninho,BELG
OneRepublic,BELG
Macklemore,BELG
Ayra Starr,BELG
Ninho,BELG
Sam Smith,BELG
Eminem,BELG
Beyoncé,BELG
TEYA,BELG
Creeds,BELG
Måneskin,BELG
PinkPantheress,BELG
Oliver Tree,BELG
Stephen Sanchez,BELG
RAYE,BELG
Lost Frequencies,BELG
Purple Disco Machine,BELG
Moha K,BELG
Hamza,BELG
Coldplay,BELG
PLK,BELG
Loreen,BELG
Rema,BELG
La Zarra,BELG
Vance Joy,BELG
Taylor Swift,BELG
Rosa Linn,BELG
kizaru,BIEL
xxxmanera,BIEL
Pepel Nahudi,BIEL
LOVV66,BIEL
INTERWORLD,BIEL
Scally Milano,BIEL
Kill Eva,BIEL
xxxmanera,BIEL
MACAN,BIEL
Monetochka,BIEL
Korol i Shut,BIEL
Три дня дождя,BIEL
Korol i Shut,BIEL
madk1d,BIEL
Кишлак,BIEL
INSTASAMKA,BIEL
Korol i Shut,BIEL
OG Buda,BIEL
MACAN,BIEL
ooes,BIEL
Skryptonite,BIEL
INTERWORLD,BIEL
LOVV66,BIEL
YUNGWAY,BIEL
(G)I-DLE,BIEL
Korol i Shut,BIEL
OBLADAET,BIEL
Kravz,BIEL
Agatha Christie,BIEL
Pepel Nahudi,BIEL
10AGE,BIEL
INSTASAMKA,BIEL
FACE,BIEL
zhanulka,BIEL
Big Baby Tape,BIEL
Кишлак,BIEL
daryana,BIEL
КАКАЯ РАЗНИЦА,BIEL
Aarne,BIEL
uglystephan,BIEL
glichery,BIEL
INSTASAMKA,BIEL
Kordhell,BIEL
Korol i Shut,BIEL
Big Baby Tape,BIEL
ПОЛМАТЕРИ,BIEL
ПОЛМАТЕРИ,BIEL
NLO,BIEL
Шайни,BIEL
Scally Milano,BIEL
Calin,CZE
STEIN27,CZE
Sofian Medjmedj,CZE
Calin,CZE
David Kushner,CZE
Viktor Sheen,CZE
Calin,CZE
Calin,CZE
Calin,CZE
Viktor Sheen,CZE
Viktor Sheen,CZE
Käärijä,CZE
Calin,CZE
Viktor Sheen,CZE
Loreen,CZE
Miley Cyrus,CZE
David Guetta,CZE
Calin,CZE
Viktor Sheen,CZE
Calin,CZE
Viktor Sheen,CZE
Vesna,CZE
OneRepublic,CZE
Alessandra,CZE
Hard Rico,CZE
CA$HANOVA BULHAR,CZE
Tom Odell,CZE
Separ,CZE
ŠKWOR,CZE
Viktor Sheen,CZE
Hard Rico,CZE
Eminem,CZE
Calin,CZE
Kabát,CZE
Ektor,CZE
Calin,CZE
Harry Styles,CZE
Imagine Dragons,CZE
P T K,CZE
Yzomandias,CZE
BLANKA,CZE
Yzomandias,CZE
Ektor,CZE
Yzomandias,CZE
Måneskin,CZE
Koky,CZE
Kabát,CZE
Macklemore,CZE
Calin,CZE
Yzomandias,CZE
Ukendt Kunstner,DENM
Ukendt Kunstner,DENM
Ukendt Kunstner,DENM
Ukendt Kunstner,DENM
Ukendt Kunstner,DENM
Ukendt Kunstner,DENM
Ukendt Kunstner,DENM
Benny Jamz,DENM
Ukendt Kunstner,DENM
Danser Med Piger,DENM
ICEKIID,DENM
Ukendt Kunstner,DENM
Ukendt Kunstner,DENM
D1MA,DENM
Loreen,DENM
TopGunn,DENM
Ukendt Kunstner,DENM
andreas odbjerg,DENM
Miley Cyrus,DENM
Tobias Rahim,DENM
Benny Jamz,DENM
Tobias Rahim,DENM
Ida Laurberg,DENM
Tobias Rahim,DENM
Saint clara,DENM
Gilli,DENM
Lamin,DENM
Calvin Harris,DENM
Blæst,DENM
David Kushner,DENM
Käärijä,DENM
Englando,DENM
Jimilian,DENM
Baloosh,DENM
Libianca,DENM
The Minds Of 99,DENM
Ed Sheeran,DENM
Pil,DENM
Artigeardit,DENM
Gobs,DENM
Artigeardit,DENM
URO,DENM
Gobs,DENM
Harry Styles,DENM
Zara Larsson,DENM
Alessandra,DENM
Lamin,DENM
Blæst,DENM
Post Malone,DENM
David Guetta,DENM
Saiko,ESP
Lola Indigo,ESP
ROSALÍA,ESP
Marshmello,ESP
Jhayco,ESP
Feid,ESP
Chanel,ESP
KAROL G,ESP
Yandel,ESP
Vicco,ESP
Shakira,ESP
Yng Lvcas,ESP
Álvaro De Luna,ESP
Quevedo,ESP
Feid,ESP
Taiu,ESP
Eladio Carrion,ESP
TINI,ESP
Quevedo,ESP
Eladio Carrion,ESP
Aitana,ESP
Manuel Turizo,ESP
LiL CaKe,ESP
Eslabon Armado,ESP
Quevedo,ESP
Rvfv,ESP
Maikel Delacalle,ESP
Rvfv,ESP
Bizarrap,ESP
Ozuna,ESP
Grupo Frontera,ESP
Bizarrap,ESP
Loreen,ESP
Saiko,ESP
Feid,ESP
Pedro Capó,ESP
Becky G,ESP
Morad,ESP
Morad,ESP
Sebastian Yatra,ESP
Arcángel,ESP
Mora,ESP
Mora,ESP
Aya Nakamura,ESP
Myke Towers,ESP
Aissa,ESP
Miley Cyrus,ESP
Feid,ESP
YoSoyPlex,ESP
Käärijä,ESP
Käärijä,FIN
SHRTY,FIN
Loreen,FIN
Alessandra,FIN
Costi,FIN
Gettomasa,FIN
Korelon,FIN
Antti Tuisku,FIN
Cledos,FIN
Joker Out,FIN
Noa Kirel,FIN
Costi,FIN
KUUMAA,FIN
Fabe,FIN
ABREU,FIN
Isac Elliot,FIN
KUUMAA,FIN
william,FIN
TEYA,FIN
Joe L,FIN
Vesna,FIN
pehmoaino,FIN
BLANKA,FIN
La Zarra,FIN
